Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIRJANA HANŽEKOVIĆ;MLADEN KEŠER;DARKO KOREN;ŽELJKO LACKOVIĆ;ZDRAVKO MATOTAN
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;005;BAKOVČICA;PODRUČNA ŠKOLA BAKOVČICA;ŠKOLSKA 35;267;109;109;108;1;4;37;38;18;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;006;JAGNJEDOVEC;PROSTORIJE MJESNOG ODBORA JAGNJEDOVEC;JAGNJEDOVEC;265;115;115;114;1;5;39;52;12;6
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;007;ŠTAGLINEC;DRUŠTVENI DOM ŠTAGLINEC;ŠTAGLINEC;401;168;168;165;3;3;81;56;20;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;008;HEREŠIN;DRUŠTVENI DOM HEREŠIN;HEREŠIN;610;246;246;227;19;12;55;82;49;29
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;009;KOPRIVNICA;AUTO-KLUB (1) KOPRIVNICA;STAROGRADSKA ULICA 45;837;344;344;324;20;31;94;91;66;42
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;010;KOPRIVNICA;AUTO-KLUB (2) KOPRIVNICA;STAROGRADSKA ULICA 45;783;310;310;302;8;12;110;70;68;42
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;011;KOPRIVNICA;PUČKO OTVORENO UČILIŠTE - DOMOLJUB;STAROGRADSKA ULICA 1;526;207;207;195;12;9;59;58;32;37
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;012;KOPRIVNICA;ELEKTRA KOPRIVNICA;HRVATSKE DRŽAVNOSTI 32;481;198;198;193;5;8;64;43;47;31
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;013;KOPRIVNICA;"GKP ""KOMUNALAC"" KOPRIVNICA";MOSNA ULICA 15;441;169;169;159;10;11;58;35;34;21
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;014;KOPRIVNICA;GRAD KOPRIVNICA, VJENČAONICA;ZRINSKI TRG 1;341;154;154;149;5;3;39;58;30;19
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;015;KOPRIVNICA;"OSNOVNA ŠKOLA ""BRAĆA RADIĆ""  (1) KOPRIVNICA";MIKLINOVEC 6A;823;364;364;349;15;17;83;106;82;61
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;016;KOPRIVNICA;"OSNOVNA ŠKOLA ""BRAĆA RADIĆ"" (2) KOPRIVNICA";MIKLINOVEC 6A;1178;582;582;558;24;21;162;149;154;72
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;017;KOPRIVNICA;DRUŠTVENI DOM MIKLINOVEC;MIKLINOVEC 99 A;1013;401;401;387;14;29;119;104;93;42
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;018;KOPRIVNICA;UDRUGA UMIROVLJENIKA KOPRIVNICA;FRANA GALOVIĆA 4;664;288;288;275;13;8;90;90;53;34
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;019;KOPRIVNICA;SREDNJA ŠKOLA KOPRIVNICA;TRG SLOBODE 7;951;437;437;425;12;12;127;123;89;74
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;020;KOPRIVNICA;"GIMNAZIJA ""FRAN GALOVIĆ"" (1) KOPRIVNICA";DR. ŽELJKA SELINGERA 3A;944;383;383;368;15;14;124;91;85;54
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;021;KOPRIVNICA;"GIMNAZIJA ""FRAN GALOVIĆ"" (2) KOPRIVNICA";ULICA DR. ŽELJKA SELINGERA 3A;492;188;188;180;8;16;58;66;20;20
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;022;KOPRIVNICA;VETERINARSKA STANICA  KOPRIVNICA;ULICA MIHOVILA PAVLEKA MIŠKINE 66;512;180;180;173;7;8;66;38;24;37
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;023;KOPRIVNICA;BIVŠA VOJARNA - GLAVNI ULAZ, BIVŠA STRAŽARA;TRG DR. ŽARKA DOLINARA 1;409;135;135;132;3;12;43;34;29;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;024;KOPRIVNICA;"OSNOVNA ŠKOLA  ""ANTUN NEMČIĆ GOSTOVINSKI"" (1) KOPRIVNICA";ŠKOLSKA ULICA 5;589;224;224;219;5;13;75;53;50;28
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;025;KOPRIVNICA;"OSNOVNA ŠKOLA  ""ANTUN NEMČIĆ GOSTOVINSKI"" (2) KOPRIVNICA";ŠKOLSKA ULICA 5;400;191;191;180;11;5;74;46;38;17
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;026;KOPRIVNICA;COOR PODRAVSKO SUNCE (1) KOPRIVNICA;HERCEGOVAČKA ULICA BB;700;323;323;311;12;12;133;76;57;33
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;027;KOPRIVNICA;COOR PODRAVSKO SUNCE (2) KOPRIVNICA;HERCEGOVAČKA ULICA BB;817;323;323;306;17;12;108;85;77;24
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;028;KOPRIVNICA;PODRAVKIN MUZEJ PREHRANE KOPRIVNICA;STAROGRADSKA ULICA BB;626;311;311;295;16;6;75;93;79;42
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;029;KOPRIVNICA;"""WEST CENTAR"" (1) KOPRIVNICA";ZAGREBAČKA ULICA BB;793;301;301;291;10;25;71;86;58;51
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;030;KOPRIVNICA;"""WEST CENTAR"" (2) KOPRIVNICA";ZAGREBAČKA ULICA BB;917;213;213;205;8;14;70;52;43;26
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;031;KOPRIVNICA;"GKP ""KOMUNALAC"" (1) KOPRIVNICA";VARAŽDINSKA CESTA 18;815;308;308;297;11;22;96;63;45;71
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;032;KOPRIVNICA;"GKP ""KOMUNALAC"" (2) KOPRIVNICA";VARAŽDINSKA CESTA 18;885;301;301;288;13;7;95;72;42;72
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;033;KUNOVEC BREG;DRUŠTVENI DOM U KUNOVEC BREGU;KOPRIVNIČKA ULICA 101;592;183;183;181;2;12;60;67;13;29
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;034;KOPRIVNICA;PODRUČNA ŠKOLA VINICA (1);VINICA 67;995;360;360;350;10;17;94;96;51;92
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;035;KOPRIVNICA;PODRUČNA ŠKOLA VINICA (2);VINICA 67;816;272;272;267;5;30;91;53;42;51
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;036;KOPRIVNICA;"OSIGURANJE ""TRIGLAV"" KOPRIVNICA";TARAŠČICE 21;672;314;314;293;21;12;110;69;67;35
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;037;KOPRIVNICA;"OSNOVNA ŠKOLA ""ĐURO ESTER"" (1) KOPRIVNICA";TRG SLOBODE 5;517;225;225;217;8;15;83;56;41;22
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;038;KOPRIVNICA;"OSNOVNA ŠKOLA ""ĐURO ESTER"" (2) KOPRIVNICA";TRG SLOBODE 5;486;203;203;198;5;12;65;53;44;24
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;001;KRIŽEVCI;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";ULICA BANA JOSIPA JELAČIĆA 23;811;401;401;385;16;30;139;188;23;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;002;KRIŽEVCI;ŽUPANIJSKA UPRAVA ZA CESTE KRIŽEVCI;ULICA IVANA ZAKMARDIJA DIJANKOVEČKOG 3;404;195;195;191;4;9;67;95;16;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;003;KRIŽEVCI;"""KOMUNALNO PODUZEĆE"" D. D. KRIŽEVCI (DVORANA I. NA KATU)";ULICA DRAGE GRDENIĆA 7;508;296;296;288;8;15;84;148;30;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;004;KRIŽEVCI;HRVATSKI DOM  KRIŽEVCI (LIJEVO DVORANA);ULICA ANTUNA GUSTAVA MATOŠA 4;849;359;359;344;15;15;146;142;26;15
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;005;KRIŽEVCI;HRVATSKI DOM KRIŽEVCI (DESNO GALERIJA);ULICA ANTUNA GUSTAVA MATOŠA 4;803;359;358;350;8;14;120;158;36;22
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;006;KRIŽEVCI;AUTO-MOTO KLUB KRIŽEVCI;ZAGREBAČKA ULICA 33;848;363;363;345;18;17;132;157;28;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;007;KRIŽEVCI;HRVATSKI ZAVOD ZA ZAPOŠLJAVANJE - PODRUČNA SLUŽBA KRIŽEVCI;ULICA KRALJA TOMISLAVA 20;654;312;312;302;10;19;111;132;31;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;008;KRIŽEVCI;RADNIK D.D. KRIŽEVCI;ULICA KRALJA TOMISLAVA 45;691;335;335;327;8;22;102;162;29;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;009;KRIŽEVCI;HRVATSKE ŠUME - ŠUMARIJA KRIŽEVCI;ULICA KRALJA TOMISLAVA 114;872;430;430;415;15;13;186;169;37;10
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;010;KRIŽEVCI;"GRADSKA KNJIŽNICA ""FRANJO MARKOVIĆ"" - MULTIMEDIJALNI CENTAR";TRG SVETOG FLORIJANA 14;696;368;368;350;18;18;114;168;34;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;011;KRIŽEVCI;DOM SV. MARKA KRIŽEVČANINA, KRIŽEVCI;ULICA FRANJE MARKOVIĆA 33;673;260;260;253;7;9;62;147;25;10
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;012;KRIŽEVCI;VRTLARIJA KOMUNALNOG PODUZEĆA KRIŽEVCI (DRUŠTVENE PROSTORIJE);ULICA IVANA LEPUŠIĆA 1;608;236;236;229;7;8;102;91;24;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;013;KRIŽEVCI;VATROGASNI DOM KRIŽEVCI;ULICA FRANJE RAČKOGA 2;609;318;318;306;12;19;116;134;24;13
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;014;KRIŽEVCI;"OSNOVNA ŠKOLA ""LJUDEVITA MODECA"" KRIŽEVCI";ULICA FRANJE RAČKOGA 3;831;369;369;364;5;15;125;172;46;6
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;015;MALI POTOČEC;VATROGASNI DOM MALI POTOČEC;MALI POTOČEC;158;77;77;76;1;14;27;26;4;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;016;APATOVEC;VATROGASNI DOM APATOVEC;APATOVEC;276;65;65;61;4;8;17;34;2;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;017;BOJNIKOVEC;VATROGASNI DOM BOJNIKOVEC;BOJNIKOVEC;173;94;94;92;2;5;31;49;6;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;018;BRCKOVČINA;DRUŠTVENI DOM BRCKOVČINA;BRCKOVČINA;260;97;97;93;4;6;41;36;7;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;019;BUKOVJE KRIŽEVAČKO;VATROGASNI DOM BUKOVJE KRIŽEVAČKO;BUKOVJE KRIŽEVAČKO;240;94;94;92;2;4;34;44;7;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;020;CAREVDAR;DRUŠTVENI DOM CAREVDAR;CAREVDAR;361;172;172;161;11;11;44;82;17;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;021;NOVI BOŠNJANI;DRUŠTVENI DOM NOVI BOŠNJANI;NOVI BOŠNJANI;63;28;28;27;1;3;2;18;3;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;022;STARI BOŠNJANI;DRUŠTVENI DOM STARI BOŠNJANI;STARI BOŠNJANI;75;37;37;37;0;2;6;22;7;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;023;DONJI CUBINEC;DRUŠTVENI DOM DONJI CUBINEC;DONJI CUBINEC;204;99;99;97;2;5;49;35;7;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;024;CUBINEC;VATROGASNI DOM CUBINEC;CUBINEC;240;102;102;98;4;7;31;52;8;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;025;DIJANKOVEC;VATROGASNI DOM DIJANKOVEC;DIJANKOVEC;126;62;62;58;4;3;20;30;3;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;026;SREDNJI DUBOVEC;VATROGASNI DOM SREDNJI DUBOVEC;SREDNJI DUBOVEC;166;78;78;77;1;2;45;30;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;027;ĐURĐIC;VATROGASNI DOM ĐURĐIC;ĐURĐIC;326;127;127;122;5;11;33;63;12;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;028;LEMEŠ KRIŽEVAČKI;DRUŠTVENI DOM LEMEŠ KRIŽEVAČKI;LEMEŠ KRIŽEVAČKI;155;89;89;83;6;3;28;37;10;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;029;ERDOVEC;VATROGASNI DOM ERDOVEC;ERDOVEC;162;79;79;78;1;4;28;25;17;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;030;DONJA GLOGOVNICA;PODRUČNA ŠKOLA DONJA GLOGOVNICA;DONJA GLOGOVNICA;347;123;123;118;5;3;33;73;7;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;031;GRAČINA;VATROGASNI DOM GRAČINA;GRAČINA;152;76;76;73;3;3;37;27;4;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;032;IVANEC KRIŽEVAČKI;VATROGASNI DOM IVANEC KRIŽEVAČKI;IVANEC KRIŽEVAČKI;250;90;90;85;5;7;25;45;6;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;033;KLOŠTAR VOJAKOVAČKI;PODRUČNA ŠKOLA KLOŠTAR VOJAKOVAČKI;KLOŠTAR VOJAKOVAČKI;303;83;83;82;1;1;23;48;7;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;034;MAJUREC;VATROGASNI DOM MAJUREC;MAJUREC;351;148;148;143;5;12;49;69;12;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;035;NOVAKI RAVENSKI;VATROGASNI DOM NOVAKI RAVENSKI;NOVAKI RAVENSKI;134;61;61;57;4;4;12;35;2;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;036;OSIJEK VOJAKOVAČKI;DRUŠTVENI DOM OSIJEK VOJAKOVAČKI;OSIJEK VOJAKOVAČKI;133;58;58;58;0;0;41;15;1;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;037;PAVLOVEC RAVENSKI;VATROGASNI DOM PAVLOVEC RAVENSKI;PAVLOVEC RAVENSKI;108;47;47;47;0;7;20;15;5;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;038;POLJANA KRIŽEVAČKA;DRUŠTVENI DOM POLJANA KRIŽEVAČKA;POLJANA KRIŽEVAČKA;275;126;126;118;8;2;58;50;4;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;039;PODGAJEC;DRUŠTVENI DOM PODGAJEC;PODGAJEC;172;83;83;80;3;8;31;33;4;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;040;SVETA HELENA;VATROGASNI DOM SVETA HELENA;SVETA HELENA;234;138;138;138;0;2;54;68;12;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;041;SVETI MARTIN;DRUŠTVENI DOM SVETI MARTIN;SVETI MARTIN;230;96;96;91;5;2;37;44;7;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;042;ŠPIRANEC;VATROGASNI DOM ŠPIRANEC;ŠPIRANEC;140;71;71;70;1;4;36;27;3;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;043;VEĆESLAVEC;DRUŠTVENI DOM VEĆESLAVEC;VEĆESLAVEC;97;27;27;27;0;2;8;11;4;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;044;POVELIĆ;VATROGASNI DOM POVELIĆ;POVELIĆ;57;32;32;31;1;4;4;23;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;045;RUŠEVAC;VATROGASNI DOM RUŠEVAC;RUŠEVAC;126;64;64;63;1;11;9;33;9;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;046;VELIKI POTOČEC;VATROGASNI DOM VELIKI POTOČEC;VELIKI POTOČEC;315;165;165;152;13;12;51;72;12;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;047;VELIKI RAVEN;PODRUČNA ŠKOLA VELIKI RAVEN;VELIKI RAVEN;206;74;74;69;5;2;34;26;6;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;048;VELIKE SESVETE;DRUŠTVENI DOM VELIKE SESVETE;VELIKE SESVETE;96;32;32;30;2;2;13;13;1;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;049;VOJAKOVAC;PODRUČNA ŠKOLA VOJAKOVAC;VOJAKOVAC;388;104;104;101;3;4;46;33;14;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;050;ŽIBRINOVEC;DRUŠTVENI DOM ŽIBRINOVEC;ŽIBRINOVEC;95;45;45;45;0;0;30;15;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;051;LEMEŠ;VATROGASNI DOM LEMEŠ;LEMEŠ;84;33;33;32;1;1;9;21;1;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;DRNJE;001;DRNJE;DRUŠTVENI DOM U DRNJU;TRG KRALJA TOMISLAVA 30;746;366;366;347;19;16;84;117;99;31
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;DRNJE;002;DRNJE;PROSTORIJE OPĆINE DRNJE;TRG KRALJA TOMISLAVA 29;217;109;109;102;7;5;34;26;25;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;DRNJE;003;TORČEC;DRUŠTVENI DOM U TORČECU;PODRAVSKA 30 A;439;233;233;221;12;9;37;77;71;27
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;ĐELEKOVEC;001;ĐELEKOVEC;"DOM KULTURE ""PAJO KANIŽAJ""";ULICA MIHOVILA PAVLEKA MIŠKINE 3;422;221;220;210;10;9;27;58;68;48
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;ĐELEKOVEC;002;ĐELEKOVEC;"DOM KULTURE ""PAJO KANIŽAJ""";ULICA MIHOVILA PAVLEKA MIŠKINE 3;532;305;305;292;13;19;44;92;85;52
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;ĐELEKOVEC;003;IMBRIOVEC;DRUŠTVENI DOM;IMBRIOVEC BB;266;77;77;75;2;7;11;29;4;24
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;FERDINANDOVAC;001;BRODIĆ;VATROGASNI DOM BRODIĆ;ULICA BRODIĆ 24;61;22;22;21;1;2;4;4;11;0
