Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIŠEL JAKŠIĆ;FRANJO MARKOVIĆ;DAVOR MILAKOVIĆ;IVICA SUVALJ;JOSIP VEČENAJ
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;020;KOPRIVNICA;"GIMNAZIJA ""FRAN GALOVIĆ"" (1) KOPRIVNICA";DR. ŽELJKA SELINGERA 3A;944;383;383;378;5;214;37;8;61;58
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;021;KOPRIVNICA;"GIMNAZIJA ""FRAN GALOVIĆ"" (2) KOPRIVNICA";ULICA DR. ŽELJKA SELINGERA 3A;492;188;188;183;5;98;32;8;33;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;022;KOPRIVNICA;VETERINARSKA STANICA  KOPRIVNICA;ULICA MIHOVILA PAVLEKA MIŠKINE 66;512;180;180;178;2;123;16;0;23;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;023;KOPRIVNICA;BIVŠA VOJARNA - GLAVNI ULAZ, BIVŠA STRAŽARA;TRG DR. ŽARKA DOLINARA 1;409;135;135;133;2;81;21;8;10;13
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;024;KOPRIVNICA;"OSNOVNA ŠKOLA  ""ANTUN NEMČIĆ GOSTOVINSKI"" (1) KOPRIVNICA";ŠKOLSKA ULICA 5;589;224;224;221;3;138;22;6;29;26
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;025;KOPRIVNICA;"OSNOVNA ŠKOLA  ""ANTUN NEMČIĆ GOSTOVINSKI"" (2) KOPRIVNICA";ŠKOLSKA ULICA 5;400;191;190;185;5;122;27;4;14;18
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;026;KOPRIVNICA;COOR PODRAVSKO SUNCE (1) KOPRIVNICA;HERCEGOVAČKA ULICA BB;700;323;323;318;5;213;31;7;44;23
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;027;KOPRIVNICA;COOR PODRAVSKO SUNCE (2) KOPRIVNICA;HERCEGOVAČKA ULICA BB;817;323;323;315;8;199;48;9;31;28
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;028;KOPRIVNICA;PODRAVKIN MUZEJ PREHRANE KOPRIVNICA;STAROGRADSKA ULICA BB;626;311;311;305;6;173;39;3;61;29
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;029;KOPRIVNICA;"""WEST CENTAR"" (1) KOPRIVNICA";ZAGREBAČKA ULICA BB;793;301;301;294;7;149;59;12;33;41
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;030;KOPRIVNICA;"""WEST CENTAR"" (2) KOPRIVNICA";ZAGREBAČKA ULICA BB;917;213;213;205;8;142;18;6;26;13
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;031;KOPRIVNICA;"GKP ""KOMUNALAC"" (1) KOPRIVNICA";VARAŽDINSKA CESTA 18;815;308;308;299;9;183;21;18;32;45
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;032;KOPRIVNICA;"GKP ""KOMUNALAC"" (2) KOPRIVNICA";VARAŽDINSKA CESTA 18;885;301;301;289;12;175;48;7;28;31
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;033;KUNOVEC BREG;DRUŠTVENI DOM U KUNOVEC BREGU;KOPRIVNIČKA ULICA 101;592;183;183;180;3;112;34;10;17;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;034;KOPRIVNICA;PODRUČNA ŠKOLA VINICA (1);VINICA 67;995;360;360;351;9;211;64;13;42;21
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;035;KOPRIVNICA;PODRUČNA ŠKOLA VINICA (2);VINICA 67;816;272;272;268;4;183;20;24;19;22
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;036;KOPRIVNICA;"OSIGURANJE ""TRIGLAV"" KOPRIVNICA";TARAŠČICE 21;672;314;314;300;14;206;30;8;36;20
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;037;KOPRIVNICA;"OSNOVNA ŠKOLA ""ĐURO ESTER"" (1) KOPRIVNICA";TRG SLOBODE 5;517;225;225;222;3;158;21;5;22;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;038;KOPRIVNICA;"OSNOVNA ŠKOLA ""ĐURO ESTER"" (2) KOPRIVNICA";TRG SLOBODE 5;486;203;203;198;5;127;29;8;17;17
