Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MATO DEVČIĆ;GORAN GREGUREK;MARKO KATANOVIĆ;IVAN MAJDAK;MARIO RAJN;MIROSLAV STRUČIĆ;IVICA ŠVAGELJ;MLADEN TENODI
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;035;NOVAKI RAVENSKI;VATROGASNI DOM NOVAKI RAVENSKI;NOVAKI RAVENSKI;134;61;61;58;3;5;1;8;1;14;1;14;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;036;OSIJEK VOJAKOVAČKI;DRUŠTVENI DOM OSIJEK VOJAKOVAČKI;OSIJEK VOJAKOVAČKI;133;58;58;57;1;5;0;8;5;37;0;2;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;037;PAVLOVEC RAVENSKI;VATROGASNI DOM PAVLOVEC RAVENSKI;PAVLOVEC RAVENSKI;108;47;47;47;0;3;0;4;3;26;0;11;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;038;POLJANA KRIŽEVAČKA;DRUŠTVENI DOM POLJANA KRIŽEVAČKA;POLJANA KRIŽEVAČKA;275;126;126;123;3;13;2;14;7;64;9;8;6
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;039;PODGAJEC;DRUŠTVENI DOM PODGAJEC;PODGAJEC;172;83;83;81;2;19;3;10;2;23;0;23;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;040;SVETA HELENA;VATROGASNI DOM SVETA HELENA;SVETA HELENA;234;138;138;137;1;39;0;17;14;32;34;1;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;041;SVETI MARTIN;DRUŠTVENI DOM SVETI MARTIN;SVETI MARTIN;230;96;96;96;0;10;3;6;5;56;7;7;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;042;ŠPIRANEC;VATROGASNI DOM ŠPIRANEC;ŠPIRANEC;140;71;71;71;0;8;1;35;2;18;1;4;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;043;VEĆESLAVEC;DRUŠTVENI DOM VEĆESLAVEC;VEĆESLAVEC;97;27;27;26;1;5;0;0;0;21;0;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;044;POVELIĆ;VATROGASNI DOM POVELIĆ;POVELIĆ;57;32;32;32;0;8;0;0;0;17;2;5;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;045;RUŠEVAC;VATROGASNI DOM RUŠEVAC;RUŠEVAC;126;64;64;64;0;12;0;3;0;48;1;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;046;VELIKI POTOČEC;VATROGASNI DOM VELIKI POTOČEC;VELIKI POTOČEC;315;165;165;162;3;6;2;8;114;25;0;6;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;047;VELIKI RAVEN;PODRUČNA ŠKOLA VELIKI RAVEN;VELIKI RAVEN;206;74;74;72;2;3;3;22;1;31;2;8;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;048;VELIKE SESVETE;DRUŠTVENI DOM VELIKE SESVETE;VELIKE SESVETE;96;33;33;33;0;4;0;1;1;27;0;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;049;VOJAKOVAC;PODRUČNA ŠKOLA VOJAKOVAC;VOJAKOVAC;388;105;105;105;0;4;2;9;8;70;3;8;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;050;ŽIBRINOVEC;DRUŠTVENI DOM ŽIBRINOVEC;ŽIBRINOVEC;95;45;45;45;0;0;0;1;4;23;12;4;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;051;LEMEŠ;VATROGASNI DOM LEMEŠ;LEMEŠ;84;33;33;32;1;2;1;0;0;28;0;1;0
