Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ĐANI BUNJA;NENAD KLARIĆ;BOŽIDAR LONGIN;ZLATKO MARASOVIĆ;ANTONIO VUČETIĆ;IVICA ŽUVELA
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;018;MEDVIĐA;MJESNI ODBOR (BIVŠA ŽUPNA KUĆA);MEDVIĐA;153;31;31;31;0;1;0;21;1;2;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;019;POPOVIĆI;PODRUČNA ŠKOLA;POPOVIĆI;218;130;130;124;6;12;24;60;9;2;17
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;020;KORLAT;PODRUČNA ŠKOLA;KORLAT;378;182;177;160;17;9;5;120;6;2;18
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;021;SMILČIĆ;PROSTORIJE MJESNOG ODBORA SMILČIĆ;SMILČIĆ;1037;218;218;205;13;7;19;90;28;10;51
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;022;NADIN;PODRUČNA ŠKOLA;NADIN;487;212;212;198;14;15;20;138;5;2;18
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;023;RAŠTEVIĆ;PODRUČNA ŠKOLA RAŠTEVIĆ;RAŠTEVIĆ;479;184;184;172;12;9;10;104;14;7;28
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;024;TINJ;PODRUČNA ŠKOLA TINJ;TINJ;700;379;379;358;21;21;55;202;30;8;42
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;025;PROVIĆ;PROSTORIJE MJESNOG ODBORA;PROVIĆ;90;38;38;35;3;3;5;15;2;0;10
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;026;ISLAM GRČKI;MJESNI ODBOR;ISLAM GRČKI;660;94;94;84;10;5;1;34;18;3;23
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;027;MIRANJE;OBITELJSKA KUĆA VINKA VUKANČIĆA;MIRANJE;463;128;128;124;4;6;10;75;14;0;19
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;028;KULA ATLAGIĆ;PROSTORIJE BIVŠE ZADRUGE;KULA ATLAGIĆ;383;46;46;44;2;8;1;8;12;3;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;029;DONJI KARIN;TRGOVINA VLASNIŠTVO SLAVKO JABLAN (KARIN PLAŽA);DONJI KARIN;351;43;43;37;6;4;6;14;5;4;4
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;030;BUKOVIĆ;PODRUČNA ŠKOLA;BUKOVIĆ;677;204;204;174;30;16;11;80;23;6;38
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;031;ZAPUŽANE;"ZGRADA TVORNICE ""MINERAL-IGM""";ZAPUŽANE;191;18;18;18;0;2;4;0;9;0;3
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;001;BIOGRAD NA MORU;ZAVIČAJNI MUZEJ BIOGRAD NA MORU;OBALA KRALJA PETRA KREŠIMIRA IV 22, BIOGRAD NA MORU;1066;532;532;508;24;55;15;211;132;31;64
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;002;BIOGRAD NA MORU;SREDNJA ŠKOLA BIOGRAD NA MORU, UČIONICA BROJ 1;AUGUSTA ŠENOE 29, BIOGRAD NA MORU;1192;582;582;536;46;67;27;232;102;27;81
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;003;BIOGRAD NA MORU;SREDNJA ŠKOLA BIOGRAD NA MORU, UČIONICA BROJ 4;AUGUSTA ŠENOE 29, BIOGRAD NA MORU;898;396;396;369;27;30;27;210;42;11;49
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;004;BIOGRAD NA MORU;OSNOVNA ŠKOLA BIOGRAD NA MORU, UČIONICA U PRIZEMLJU;DR. FRANJE TUĐMANA 27, BIOGRAD NA MORU;1052;513;512;487;25;42;27;209;108;26;75
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;005;BIOGRAD NA MORU;PODUZETNIČKI INKUBATOR GRADA BIOGRADA NA MORU;BUKOVAČKA ULICA 23, BIOGRAD NA MORU;1173;702;702;657;45;48;38;423;63;17;68
13;ZADARSKA ŽUPANIJA;grad;NIN;001;GRBE;MJESNI ODBOR;GRBE;183;79;79;76;3;3;4;41;9;6;13
13;ZADARSKA ŽUPANIJA;grad;NIN;002;NIN;DOM KULTURE;NIN;1215;527;526;498;28;47;26;208;61;48;108
13;ZADARSKA ŽUPANIJA;grad;NIN;003;NINSKI STANOVI;"OŠ ""PETAR ZORANIĆ"" NIN PODRUČNA ŠKOLA NINSKI STANOVI";NINSKI STANOVI;328;133;133;124;9;14;6;70;6;11;17
13;ZADARSKA ŽUPANIJA;grad;NIN;004;POLJICA BRIG;MJESNI ODBOR POLJICA BRIG;POLJICA BRIG;260;105;105;102;3;4;4;54;16;7;17
13;ZADARSKA ŽUPANIJA;grad;NIN;005;ZATON;"OŠ ""PETAR ZORANIĆ"" NIN PODRUČNA ŠKOLA U ZATONU";ZATON;652;167;166;161;5;10;20;73;14;25;19
13;ZADARSKA ŽUPANIJA;grad;NIN;006;ŽERAVA;"OŠ ""BARTUL KAŠIĆ"" ZADAR PODRUČNA ŠKOLA ŽERAVA";ŽERAVA;132;43;43;41;2;0;2;32;0;0;7
13;ZADARSKA ŽUPANIJA;grad;NIN;007;ŽERAVA-POLJACI;"PROSTORIJE TVRTKE ""NAJAM""";ŽERAVA-POLJACI KBR 19;63;21;21;21;0;2;0;10;7;1;1
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;001;OBROVAC;SREDNJA ŠKOLA U OBROVCU;OBROVAC;869;473;471;432;39;100;16;202;21;41;52
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;002;KRUŠEVO;OSNOVNA ŠKOLA U KRUŠEVU;KRUŠEVO;1360;727;727;687;40;151;33;374;27;36;66
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;003;GORNJI KARIN;OSNOVNA ŠKOLA U GORNJEM KARINU;GORNJI KARIN;1350;457;457;416;41;102;37;167;31;14;65
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;004;BILIŠANE;MJESNI ODBOR BILIŠANE;BILIŠANE;430;149;149;97;52;16;2;53;9;8;9
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;005;ŽEGAR;OSNOVNA ŠKOLA U ŽEGARU;ŽEGAR;777;173;173;148;25;29;13;57;18;8;23
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;006;KRUPA;OSNOVNA ŠKOLA  KRUPA;KRUPA;167;55;55;51;4;4;2;37;5;1;2
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;007;GOLUBIĆ;OSNOVNA ŠKOLA U GOLUBIĆU;GOLUBIĆ;210;103;103;90;13;13;4;48;14;5;6
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;008;MUŠKOVCI;ZGRADA  RHE VELEBIT;MUŠKOVCI;228;77;77;68;9;16;4;14;14;6;14
13;ZADARSKA ŽUPANIJA;grad;PAG;001;PAG;PAG - MALA SPORTSKA DVORANA OŠ;ANTE STARČEVIĆA 12;603;415;415;390;25;37;9;214;76;31;23
13;ZADARSKA ŽUPANIJA;grad;PAG;002;PAG;PAG - VELIKA SPORTSKA DVORANA OŠ;VUKOVARSKA ULICA B.B.;962;627;626;592;34;41;22;325;132;33;39
13;ZADARSKA ŽUPANIJA;grad;PAG;003;PAG;PAG - PROSTORIJE KNEŽEVOG DVORA;TRG KRALJA PETRA KREŠIMIRA IV;786;523;523;485;38;35;14;259;109;19;49
13;ZADARSKA ŽUPANIJA;grad;PAG;004;GORICA;GORICA -PROSTORIJE DOMA;GORICA;81;54;54;50;4;3;6;29;3;2;7
13;ZADARSKA ŽUPANIJA;grad;PAG;005;DINJIŠKA;OSNOVNA ŠKOLA JURJA DALMATINCA - PODRUČNA ŠKOLA DINJIŠKA;ZADARSKA 1;270;175;175;163;12;8;7;115;13;14;6
13;ZADARSKA ŽUPANIJA;grad;PAG;006;VLAŠIĆI;MJESNI ODBOR VLAŠIĆI;VLAŠIĆI;255;159;159;149;10;8;10;93;18;11;9
13;ZADARSKA ŽUPANIJA;grad;PAG;007;ŠIMUNI;TD ŠIMUNI;ŠIMUNI;142;67;67;64;3;11;5;28;12;0;8
13;ZADARSKA ŽUPANIJA;grad;ZADAR;001;ARBANASI;MJESNI ODBOR ARBANASI;TRG GOSPE LORETSKE 1;898;343;343;322;21;18;12;170;50;17;55
13;ZADARSKA ŽUPANIJA;grad;ZADAR;002;ARBANASI;MJESNI ODBOR ARBANASI - PROSTORIJA VRTIĆA;TRG GOSPE LORETSKE 1;1037;459;459;432;27;21;17;212;75;29;78
13;ZADARSKA ŽUPANIJA;grad;ZADAR;003;BILI BRIG;GRADSKA KNJIŽNICA;PUT PUDARICE 15;1325;504;504;485;19;29;20;166;124;31;115
13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BILI BRIG;"OSNOVNA ŠKOLA  ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1179;542;542;515;27;29;33;173;111;30;139
13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1202;483;483;459;24;22;26;153;107;40;111
13;ZADARSKA ŽUPANIJA;grad;ZADAR;006;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1195;428;427;398;29;18;30;214;41;26;69
13;ZADARSKA ŽUPANIJA;grad;ZADAR;007;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1215;444;442;427;15;23;22;186;74;25;97
13;ZADARSKA ŽUPANIJA;grad;ZADAR;008;BOKANJAC;MJESNI ODBOR BOKANJAC;TRG SV. ŠIME I TADIJE 1;1267;550;550;512;38;32;28;184;58;34;176
13;ZADARSKA ŽUPANIJA;grad;ZADAR;009;BRGULJE;MJESNI ODBOR BRGULJE;BRGULJE;80;47;47;46;1;5;2;21;10;5;3
13;ZADARSKA ŽUPANIJA;grad;ZADAR;010;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1137;472;472;454;18;26;18;135;137;39;99
13;ZADARSKA ŽUPANIJA;grad;ZADAR;011;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1153;470;470;453;17;35;21;143;111;28;115
13;ZADARSKA ŽUPANIJA;grad;ZADAR;012;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1228;517;517;502;15;26;18;131;126;43;158
13;ZADARSKA ŽUPANIJA;grad;ZADAR;013;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1344;486;486;461;25;30;23;176;111;30;91
13;ZADARSKA ŽUPANIJA;grad;ZADAR;014;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1301;428;428;411;17;29;30;113;91;38;110
13;ZADARSKA ŽUPANIJA;grad;ZADAR;015;CRNO;OSNOVNA ŠKOLA U CRNOM;CRNO, CRNO 169;563;241;241;228;13;10;7;132;20;8;51
13;ZADARSKA ŽUPANIJA;grad;ZADAR;016;CRVENE KUĆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;936;313;313;298;15;25;9;126;54;20;64
13;ZADARSKA ŽUPANIJA;grad;ZADAR;017;CRVENE KUĆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;1167;469;469;453;16;35;39;218;54;28;79
13;ZADARSKA ŽUPANIJA;grad;ZADAR;018;DIKLO;OSNOVNA ŠKOLA  DIKLO;ŠPALETINA 1;834;341;341;330;11;25;22;102;77;25;79
13;ZADARSKA ŽUPANIJA;grad;ZADAR;019;DIKLO;OSNOVNA ŠKOLA DIKLO;ŠPALETINA 1;816;305;305;298;7;26;14;109;66;12;71
13;ZADARSKA ŽUPANIJA;grad;ZADAR;020;DRAČEVAC ZADARSKI;TRG ISPRED CRKVE UZNESENJA BLAŽENE DJEVICE MARIJE U DRAČEVCU;DRAČEVAC;201;103;103;99;4;2;7;59;6;3;22
13;ZADARSKA ŽUPANIJA;grad;ZADAR;021;IST;OSNOVNA ŠKOLA ZADARSKI OTOCI;IST;228;89;89;85;4;2;7;27;32;4;13
13;ZADARSKA ŽUPANIJA;grad;ZADAR;022;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;901;395;395;361;34;32;24;78;106;38;83
13;ZADARSKA ŽUPANIJA;grad;ZADAR;023;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;1028;431;430;407;23;41;12;146;106;25;77
13;ZADARSKA ŽUPANIJA;grad;ZADAR;024;JAZINE I;SREDNJOŠKOLSKI ĐAČKI DOM U ZADRU;OBALA KNEZA BRANIMIRA 10 A;693;287;287;278;9;16;10;84;82;25;61
13;ZADARSKA ŽUPANIJA;grad;ZADAR;025;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;1076;413;413;392;21;12;14;156;107;28;75
13;ZADARSKA ŽUPANIJA;grad;ZADAR;026;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;979;356;356;341;15;24;21;116;68;34;78
13;ZADARSKA ŽUPANIJA;grad;ZADAR;027;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;812;304;304;288;16;20;18;78;68;32;72
13;ZADARSKA ŽUPANIJA;grad;ZADAR;028;KOŽINO;OSNOVNA ŠKOLA U KOŽINU;KOŽINO, PUT ZGONA 1;741;302;302;290;12;16;21;105;55;28;65
13;ZADARSKA ŽUPANIJA;grad;ZADAR;029;MALI IŽ;PROSTORIJE MJESNOG ODBORA ISPOD AMBULANTE;MALI IŽ;276;103;103;96;7;6;3;17;41;11;18
13;ZADARSKA ŽUPANIJA;grad;ZADAR;030;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIĆA;BRIBIRSKI PRILAZ 2;1144;483;483;458;25;33;6;131;136;31;121
13;ZADARSKA ŽUPANIJA;grad;ZADAR;031;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIĆA;BRIBIRSKI PRILAZ 2;947;383;382;373;9;20;10;122;105;24;92
13;ZADARSKA ŽUPANIJA;grad;ZADAR;032;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIĆA;BRIBIRSKI PRILAZ 2;988;411;411;394;17;23;37;119;88;23;104
13;ZADARSKA ŽUPANIJA;grad;ZADAR;033;MOLAT;DOM KULTURE MOLAT;MOLAT;155;69;69;68;1;8;1;24;21;8;6
13;ZADARSKA ŽUPANIJA;grad;ZADAR;034;NOVI BOKANJAC;MJESNI ODBOR NOVI BOKANJAC;GRGURA BUDISLAVIĆA 99;1434;622;622;593;29;52;33;198;103;42;165
13;ZADARSKA ŽUPANIJA;grad;ZADAR;035;OLIB;MJESNI ODBOR OLIB;OLIB;192;70;70;65;5;5;2;36;9;6;7
13;ZADARSKA ŽUPANIJA;grad;ZADAR;036;PETRČANE;OSNOVNA ŠKOLA PETRČANE;PETRČANE, ULICA V 3;666;259;259;249;10;16;10;68;39;93;23
13;ZADARSKA ŽUPANIJA;grad;ZADAR;037;PLOČE;MJESNI ODBOR PLOČE;PLOČE;825;328;328;315;13;16;20;167;38;15;59
13;ZADARSKA ŽUPANIJA;grad;ZADAR;038;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIĆA B.B.;1129;474;473;458;15;52;25;178;61;21;121
13;ZADARSKA ŽUPANIJA;grad;ZADAR;039;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIĆA B.B.;1178;425;425;403;22;35;27;182;50;21;88
13;ZADARSKA ŽUPANIJA;grad;ZADAR;040;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIĆ"" ZADAR";TRG PETRA PRERADOVIĆA 1;1017;419;419;405;14;19;17;145;104;27;93
13;ZADARSKA ŽUPANIJA;grad;ZADAR;041;POLUOTOK;MJESNI ODBOR POLUOTOK;N. MATAFARE 2 A;1118;444;444;421;23;25;20;117;122;46;91
13;ZADARSKA ŽUPANIJA;grad;ZADAR;042;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIĆ"" ZADAR";TRG PETRA PRERADOVIĆA 1;1041;427;427;411;16;25;17;135;117;32;85
13;ZADARSKA ŽUPANIJA;grad;ZADAR;043;PREMUDA;PROSTORIJE OSNOVNE ŠKOLE (U PRIZEMLJU);PREMUDA;112;44;44;42;2;6;2;7;13;1;13
13;ZADARSKA ŽUPANIJA;grad;ZADAR;044;PUNTAMIKA;EKONOMSKO-BIROTEHNIČKA I TRGOVAČKA ŠKOLA ZADAR;A.G. MATOŠA 40;1241;483;483;464;19;36;21;193;93;32;89
13;ZADARSKA ŽUPANIJA;grad;ZADAR;045;PUNTAMIKA;EKONOMSKO-BIROTEHNIČKA I TRGOVAČKA ŠKOLA ZADAR;A. G. MATOŠA 40;1184;416;416;399;17;35;24;141;71;35;93
13;ZADARSKA ŽUPANIJA;grad;ZADAR;046;PUNTAMIKA;EKONOMSKO-BIROTEHNIČKA I TRGOVAČKA ŠKOLA ZADAR;A. G. MATOŠA 40;1237;500;499;482;17;26;33;149;108;37;129
13;ZADARSKA ŽUPANIJA;grad;ZADAR;047;RAVA;OSNOVNA ŠKOLA RAVA;RAVA;116;69;69;68;1;4;1;40;17;3;3
13;ZADARSKA ŽUPANIJA;grad;ZADAR;048;RIČINA;MJESNI ODBOR RIČINE;JOSIPA JOVIĆA 1;941;350;349;336;13;14;23;132;85;18;64
13;ZADARSKA ŽUPANIJA;grad;ZADAR;049;RIČINA;MJESNI ODBOR RIČINE;JOSIPA JOVIĆA 1;1107;382;382;367;15;34;21;144;73;23;72
13;ZADARSKA ŽUPANIJA;grad;ZADAR;050;RIČINA;MJESNI ODBOR RIČINE;JOSIPA JOVIĆA 1;949;367;367;344;23;19;8;158;69;26;64
13;ZADARSKA ŽUPANIJA;grad;ZADAR;051;SILBA;OSNOVNA ŠKOLA ZADARSKI OTOCI;SILBA;411;173;173;170;3;14;10;50;55;20;21
13;ZADARSKA ŽUPANIJA;grad;ZADAR;052;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1115;373;373;365;8;27;22;199;46;8;63
13;ZADARSKA ŽUPANIJA;grad;ZADAR;053;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1013;280;280;263;17;22;15;118;40;7;61
13;ZADARSKA ŽUPANIJA;grad;ZADAR;054;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;1172;541;541;511;30;31;45;193;95;31;116
13;ZADARSKA ŽUPANIJA;grad;ZADAR;055;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;943;315;314;298;16;18;20;118;67;18;57
13;ZADARSKA ŽUPANIJA;grad;ZADAR;056;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;1224;428;428;412;16;24;34;174;65;36;79
13;ZADARSKA ŽUPANIJA;grad;ZADAR;057;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1231;530;530;492;38;30;27;224;74;24;113
13;ZADARSKA ŽUPANIJA;grad;ZADAR;058;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;971;398;398;384;14;23;23;170;51;34;83
13;ZADARSKA ŽUPANIJA;grad;ZADAR;059;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1306;538;538;510;28;17;50;209;88;42;104
13;ZADARSKA ŽUPANIJA;grad;ZADAR;060;VELI IŽ;OSNOVNA ŠKOLA U VELOM IŽU;VELI IŽ;433;169;169;162;7;4;8;76;46;9;19
13;ZADARSKA ŽUPANIJA;grad;ZADAR;061;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIĆ 12;779;277;277;259;18;16;13;85;45;14;86
13;ZADARSKA ŽUPANIJA;grad;ZADAR;062;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIĆ 12;1044;382;382;373;9;22;22;157;45;26;101
13;ZADARSKA ŽUPANIJA;grad;ZADAR;063;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIĆA;PUT ŠIMUNOVA 4;1022;428;428;416;12;36;22;112;106;38;102
13;ZADARSKA ŽUPANIJA;grad;ZADAR;064;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIĆA;PUT ŠIMUNOVA 4;1015;420;420;399;21;21;19;104;129;29;97
13;ZADARSKA ŽUPANIJA;grad;ZADAR;065;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIĆA;PUT ŠIMUNOVA 4;929;366;366;346;20;22;12;110;83;22;97
13;ZADARSKA ŽUPANIJA;grad;ZADAR;066;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIĆA;PUT ŠIMUNOVA 4;1156;445;444;426;18;25;20;112;117;28;124
13;ZADARSKA ŽUPANIJA;grad;ZADAR;067;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (I KAT);VESLAČKA 12;859;334;334;318;16;16;17;138;68;17;62
13;ZADARSKA ŽUPANIJA;grad;ZADAR;068;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (I KAT);VESLAČKA 12;669;234;234;227;7;13;13;58;67;19;57
13;ZADARSKA ŽUPANIJA;grad;ZADAR;069;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (PRIZEMLJE);VESLAČKA 12;669;226;226;218;8;11;10;69;62;27;39
13;ZADARSKA ŽUPANIJA;grad;ZADAR;070;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (PRIZEMLJE);VESLAČKA 12;567;209;209;201;8;13;19;59;56;10;44
13;ZADARSKA ŽUPANIJA;grad;ZADAR;071;ZAPUNTEL;DOM MLADEŽI ZAPUNTEL;ZAPUNTEL;65;30;30;28;2;3;1;11;9;1;3
13;ZADARSKA ŽUPANIJA;općina;BIBINJE;001;BIBINJE;"OSNOVNA ŠKOLA ""STJEPAN RADIĆ""";BIBINJE;971;499;498;456;42;65;36;254;24;21;56
13;ZADARSKA ŽUPANIJA;općina;BIBINJE;002;BIBINJE;"OSNOVNA ŠKOLA ""STJEPAN RADIĆ""";BIBINJE;1174;654;654;616;38;93;32;337;39;22;93
13;ZADARSKA ŽUPANIJA;općina;BIBINJE;003;BIBINJE;"OSNOVNA ŠKOLA ""STJEPAN RADIĆ""";BIBINJE;1325;712;712;673;39;91;33;379;33;24;113
13;ZADARSKA ŽUPANIJA;općina;GALOVAC;001;GALOVAC;OSNOVNA ŠKOLA GALOVAC;GALOVAC, ULICA I  175;1103;777;777;723;54;30;51;425;52;40;125
13;ZADARSKA ŽUPANIJA;općina;GRAČAC;001;GRAČAC;"OSNOVNA ŠKOLA ""NIKOLE TESLE"" PRIZEMLJE SOBA BR.1";ŠKOLSKA 12;950;415;415;363;52;30;39;210;67;7;10
13;ZADARSKA ŽUPANIJA;općina;GRAČAC;002;GRAČAC;"OSNOVNA ŠKOLA ""NIKOLE TESLE"" PRIZEMLJE SOBA BR.2";ŠKOLSKA 12;1019;429;429;349;80;24;37;177;80;10;21
13;ZADARSKA ŽUPANIJA;općina;GRAČAC;003;GRAČAC;"OSNOVNA ŠKOLA ""NIKOLE TESLE"" PRIZEMLJE SOBA BR.3";ŠKOLSKA 12;870;409;409;365;44;24;43;238;44;5;11
13;ZADARSKA ŽUPANIJA;općina;GRAČAC;004;SRB;"OSNOVNA ŠKOLA ""NIKOLE TESLE"" SOBA BR.1";ŠKOLSKA BB;795;339;339;234;105;23;30;57;100;9;15
