Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP, STRANKA UMIROVLJENIKA - SU, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ U STEÈAJU - HSP AS;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, AKCIJA MLADIH - AM, HRVATSKA SELJAÈKA STRANKA - HSS, CENTAR, GRAÐANSKO-LIBERALNI SAVEZ - GLAS;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVICA ŽUVELA
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;014;LISIÈIÆ;PODRUÈNA ŠKOLA;LISIÈIÆ;240;145;145;135;10;4;18;93;2;7;0;1;10
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;015;RODALJICE;PODRUÈNA ŠKOLA;RODALJICE;187;36;36;33;3;1;3;16;1;3;3;2;4
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;016;BJELINA;"BIVŠA PRODAVAONICA ""PROMET""";BJELINA, BJELINA 150;206;36;36;36;0;2;5;25;0;0;1;0;3
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;017;BRUŠKA;PODRUÈNA ŠKOLA;BRUŠKA;118;51;51;50;1;1;2;32;0;4;2;0;9
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;018;MEDVIÐA;MJESNI ODBOR (BIVŠA ŽUPNA KUÆA);MEDVIÐA;153;31;31;31;0;0;1;22;1;2;1;0;4
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;019;POPOVIÆI;PODRUÈNA ŠKOLA;POPOVIÆI;218;130;130;123;7;5;26;62;3;9;5;1;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;020;KORLAT;PODRUÈNA ŠKOLA;KORLAT;378;182;181;165;16;5;7;125;2;7;7;0;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;021;SMILÈIÆ;PROSTORIJE MJESNOG ODBORA SMILÈIÆ;SMILÈIÆ;1037;218;218;206;12;14;25;87;4;11;30;1;34
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;022;NADIN;PODRUÈNA ŠKOLA;NADIN;487;212;212;199;13;8;28;135;4;10;3;0;11
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;023;RAŠTEVIÆ;PODRUÈNA ŠKOLA RAŠTEVIÆ;RAŠTEVIÆ;479;185;185;172;13;11;14;109;5;6;6;0;21
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;024;TINJ;PODRUÈNA ŠKOLA TINJ;TINJ;700;379;379;357;22;9;59;192;10;23;29;0;35
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;025;PROVIÆ;PROSTORIJE MJESNOG ODBORA;PROVIÆ;90;38;38;35;3;0;10;13;0;1;3;0;8
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;026;ISLAM GRÈKI;MJESNI ODBOR;ISLAM GRÈKI;660;94;94;88;6;10;3;32;5;5;20;1;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;027;MIRANJE;OBITELJSKA KUÆA VINKA VUKANÈIÆA;MIRANJE;463;128;128;123;5;3;8;76;1;5;16;3;11
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;028;KULA ATLAGIÆ;PROSTORIJE BIVŠE ZADRUGE;KULA ATLAGIÆ;383;41;41;38;3;10;0;6;0;2;14;0;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;029;DONJI KARIN;TRGOVINA VLASNIŠTVO SLAVKO JABLAN (KARIN PLAŽA);DONJI KARIN;351;43;43;37;6;4;5;13;1;3;7;0;4
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;030;BUKOVIÆ;PODRUÈNA ŠKOLA;BUKOVIÆ;677;204;204;177;27;8;13;89;3;10;25;1;28
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;031;ZAPUŽANE;"ZGRADA TVORNICE ""MINERAL-IGM""";ZAPUŽANE;191;18;18;18;0;3;1;1;0;0;11;0;2
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;001;BIOGRAD NA MORU;ZAVIÈAJNI MUZEJ BIOGRAD NA MORU;OBALA KRALJA PETRA KREŠIMIRA IV 22, BIOGRAD NA MORU;1066;531;531;510;21;32;21;204;3;47;142;0;61
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;002;BIOGRAD NA MORU;SREDNJA ŠKOLA BIOGRAD NA MORU, UÈIONICA BROJ 1;AUGUSTA ŠENOE 29, BIOGRAD NA MORU;1192;582;582;543;39;35;34;215;18;52;104;3;82
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;003;BIOGRAD NA MORU;SREDNJA ŠKOLA BIOGRAD NA MORU, UÈIONICA BROJ 4;AUGUSTA ŠENOE 29, BIOGRAD NA MORU;898;396;396;372;24;6;28;210;5;30;46;1;46
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;004;BIOGRAD NA MORU;OSNOVNA ŠKOLA BIOGRAD NA MORU, UÈIONICA U PRIZEMLJU;DR. FRANJE TUÐMANA 27, BIOGRAD NA MORU;1052;513;512;489;23;25;33;210;5;29;108;3;76
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;005;BIOGRAD NA MORU;PODUZETNIÈKI INKUBATOR GRADA BIOGRADA NA MORU;BUKOVAÈKA ULICA 23, BIOGRAD NA MORU;1173;702;702;662;40;22;45;410;21;54;45;3;62
13;ZADARSKA ŽUPANIJA;grad;NIN;001;GRBE;MJESNI ODBOR;GRBE;183;79;79;77;2;10;3;43;0;1;9;0;11
13;ZADARSKA ŽUPANIJA;grad;NIN;002;NIN;DOM KULTURE;NIN;1215;526;526;497;29;48;32;202;12;41;65;2;95
13;ZADARSKA ŽUPANIJA;grad;NIN;003;NINSKI STANOVI;"OŠ ""PETAR ZORANIÆ"" NIN PODRUÈNA ŠKOLA NINSKI STANOVI";NINSKI STANOVI;328;133;133;122;11;12;7;68;2;11;7;1;14
13;ZADARSKA ŽUPANIJA;grad;NIN;004;POLJICA BRIG;MJESNI ODBOR POLJICA BRIG;POLJICA BRIG;260;105;105;101;4;6;3;55;2;6;14;3;12
13;ZADARSKA ŽUPANIJA;grad;NIN;005;ZATON;"OŠ ""PETAR ZORANIÆ"" NIN PODRUÈNA ŠKOLA U ZATONU";ZATON;652;167;166;158;8;20;20;79;2;7;13;2;15
13;ZADARSKA ŽUPANIJA;grad;NIN;006;ŽERAVA;"OŠ ""BARTUL KAŠIÆ"" ZADAR PODRUÈNA ŠKOLA ŽERAVA";ŽERAVA;132;43;43;43;0;2;3;28;0;1;4;0;5
13;ZADARSKA ŽUPANIJA;grad;NIN;007;ŽERAVA-POLJACI;"PROSTORIJE TVRTKE ""NAJAM""";ŽERAVA-POLJACI KBR 19;63;21;21;19;2;2;0;7;2;1;7;0;0
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;001;OBROVAC;SREDNJA ŠKOLA U OBROVCU;OBROVAC;869;473;473;436;37;39;13;191;7;136;17;4;29
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;002;KRUŠEVO;OSNOVNA ŠKOLA U KRUŠEVU;KRUŠEVO;1360;727;727;687;40;43;36;363;8;189;13;4;31
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;003;GORNJI KARIN;OSNOVNA ŠKOLA U GORNJEM KARINU;GORNJI KARIN;1350;457;457;429;28;22;29;176;13;113;33;2;41
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;004;BILIŠANE;MJESNI ODBOR BILIŠANE;BILIŠANE;430;149;149;102;47;12;0;50;1;23;9;2;5
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;005;ŽEGAR;OSNOVNA ŠKOLA U ŽEGARU;ŽEGAR;777;173;173;141;32;10;6;37;3;38;22;2;23
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;006;KRUPA;OSNOVNA ŠKOLA  KRUPA;KRUPA;167;55;55;49;6;3;2;28;2;2;12;0;0
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;007;GOLUBIÆ;OSNOVNA ŠKOLA U GOLUBIÆU;GOLUBIÆ;210;103;103;86;17;6;2;44;7;14;9;1;3
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;008;MUŠKOVCI;ZGRADA  RHE VELEBIT;MUŠKOVCI;228;77;77;66;11;9;4;9;1;20;10;1;12
13;ZADARSKA ŽUPANIJA;grad;PAG;001;PAG;PAG - MALA SPORTSKA DVORANA OŠ;ANTE STARÈEVIÆA 12;603;415;415;388;27;37;12;204;2;21;86;2;24
13;ZADARSKA ŽUPANIJA;grad;PAG;002;PAG;PAG - VELIKA SPORTSKA DVORANA OŠ;VUKOVARSKA ULICA B.B.;962;627;626;598;28;65;23;303;8;36;128;0;35
13;ZADARSKA ŽUPANIJA;grad;PAG;003;PAG;PAG - PROSTORIJE KNEŽEVOG DVORA;TRG KRALJA PETRA KREŠIMIRA IV;787;524;524;484;40;39;20;238;6;23;114;2;42
13;ZADARSKA ŽUPANIJA;grad;PAG;004;GORICA;GORICA -PROSTORIJE DOMA;GORICA;81;55;55;52;3;5;6;25;2;4;2;0;8
13;ZADARSKA ŽUPANIJA;grad;PAG;005;DINJIŠKA;OSNOVNA ŠKOLA JURJA DALMATINCA - PODRUÈNA ŠKOLA DINJIŠKA;ZADARSKA 1;270;175;175;166;9;16;10;116;1;7;11;2;3
13;ZADARSKA ŽUPANIJA;grad;PAG;006;VLAŠIÆI;MJESNI ODBOR VLAŠIÆI;VLAŠIÆI;255;159;159;150;9;19;14;86;3;7;13;1;7
13;ZADARSKA ŽUPANIJA;grad;PAG;007;ŠIMUNI;TD ŠIMUNI;ŠIMUNI;142;67;67;64;3;4;2;28;2;12;9;1;6
13;ZADARSKA ŽUPANIJA;grad;ZADAR;001;ARBANASI;MJESNI ODBOR ARBANASI;TRG GOSPE LORETSKE 1;898;343;343;324;19;17;11;164;2;21;58;3;48
13;ZADARSKA ŽUPANIJA;grad;ZADAR;002;ARBANASI;MJESNI ODBOR ARBANASI - PROSTORIJA VRTIÆA;TRG GOSPE LORETSKE 1;1037;459;459;442;17;25;25;213;9;28;74;1;67
13;ZADARSKA ŽUPANIJA;grad;ZADAR;003;BILI BRIG;GRADSKA KNJIŽNICA;PUT PUDARICE 15;1325;504;504;484;20;23;21;161;3;32;138;0;106
13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BILI BRIG;"OSNOVNA ŠKOLA  ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1179;542;542;514;28;19;35;177;9;32;116;3;123
13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1202;481;481;464;17;41;29;146;7;23;122;2;94
13;ZADARSKA ŽUPANIJA;grad;ZADAR;006;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1195;428;425;395;30;21;29;204;10;21;53;3;54
13;ZADARSKA ŽUPANIJA;grad;ZADAR;007;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1215;440;438;424;14;22;27;177;13;22;84;3;76
13;ZADARSKA ŽUPANIJA;grad;ZADAR;008;BOKANJAC;MJESNI ODBOR BOKANJAC;TRG SV. ŠIME I TADIJE 1;1267;550;550;518;32;33;27;181;9;38;68;8;154
13;ZADARSKA ŽUPANIJA;grad;ZADAR;009;BRGULJE;MJESNI ODBOR BRGULJE;BRGULJE;80;47;47;46;1;7;3;18;3;3;10;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;010;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1137;472;472;457;15;29;28;117;7;33;160;4;79
13;ZADARSKA ŽUPANIJA;grad;ZADAR;011;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1153;470;468;455;13;21;27;140;6;34;132;2;93
13;ZADARSKA ŽUPANIJA;grad;ZADAR;012;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1228;516;516;500;16;28;22;124;2;32;153;6;133
13;ZADARSKA ŽUPANIJA;grad;ZADAR;013;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1344;486;486;464;22;18;29;161;5;35;131;1;84
13;ZADARSKA ŽUPANIJA;grad;ZADAR;014;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1301;430;430;411;19;27;34;114;3;33;101;2;97
13;ZADARSKA ŽUPANIJA;grad;ZADAR;015;CRNO;OSNOVNA ŠKOLA U CRNOM;CRNO, CRNO 169;563;240;240;226;14;7;5;134;2;10;28;0;40
13;ZADARSKA ŽUPANIJA;grad;ZADAR;016;CRVENE KUÆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;936;313;313;301;12;12;13;127;6;26;55;3;59
13;ZADARSKA ŽUPANIJA;grad;ZADAR;017;CRVENE KUÆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1167;469;468;452;16;15;32;214;15;42;59;2;73
13;ZADARSKA ŽUPANIJA;grad;ZADAR;018;DIKLO;OSNOVNA ŠKOLA  DIKLO;ŠPALETINA 1;834;341;340;326;14;19;24;93;0;31;95;0;64
13;ZADARSKA ŽUPANIJA;grad;ZADAR;019;DIKLO;OSNOVNA ŠKOLA DIKLO;ŠPALETINA 1;816;305;305;298;7;10;15;104;6;33;66;0;64
13;ZADARSKA ŽUPANIJA;grad;ZADAR;020;DRAÈEVAC ZADARSKI;TRG ISPRED CRKVE UZNESENJA BLAŽENE DJEVICE MARIJE U DRAÈEVCU;DRAÈEVAC;201;103;103;100;3;2;8;51;0;6;12;1;20
13;ZADARSKA ŽUPANIJA;grad;ZADAR;021;IST;OSNOVNA ŠKOLA ZADARSKI OTOCI;IST;228;88;88;87;1;8;7;23;2;4;32;1;10
13;ZADARSKA ŽUPANIJA;grad;ZADAR;022;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;901;395;395;373;22;31;22;76;17;29;121;0;77
13;ZADARSKA ŽUPANIJA;grad;ZADAR;023;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;1028;431;431;411;20;24;12;145;5;31;113;3;78
13;ZADARSKA ŽUPANIJA;grad;ZADAR;024;JAZINE I;SREDNJOŠKOLSKI ÐAÈKI DOM U ZADRU;OBALA KNEZA BRANIMIRA 10 A;693;287;287;280;7;22;11;76;2;16;96;0;57
13;ZADARSKA ŽUPANIJA;grad;ZADAR;025;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;1076;413;413;399;14;28;15;152;6;22;117;0;59
13;ZADARSKA ŽUPANIJA;grad;ZADAR;026;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;979;356;356;341;15;24;20;107;9;27;76;4;74
13;ZADARSKA ŽUPANIJA;grad;ZADAR;027;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;812;304;304;285;19;19;17;75;5;23;89;1;56
13;ZADARSKA ŽUPANIJA;grad;ZADAR;028;KOŽINO;OSNOVNA ŠKOLA U KOŽINU;KOŽINO, PUT ZGONA 1;741;302;302;287;15;22;19;109;3;18;62;1;53
13;ZADARSKA ŽUPANIJA;grad;ZADAR;029;MALI IŽ;PROSTORIJE MJESNOG ODBORA ISPOD AMBULANTE;MALI IŽ;276;103;103;95;8;7;1;19;0;11;41;0;16
13;ZADARSKA ŽUPANIJA;grad;ZADAR;030;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;1144;483;480;459;21;17;5;129;2;32;161;5;108
13;ZADARSKA ŽUPANIJA;grad;ZADAR;031;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;947;383;382;375;7;13;12;130;8;22;114;1;75
13;ZADARSKA ŽUPANIJA;grad;ZADAR;032;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;988;411;411;397;14;15;31;114;6;37;108;0;86
13;ZADARSKA ŽUPANIJA;grad;ZADAR;033;MOLAT;DOM KULTURE MOLAT;MOLAT;155;69;69;68;1;5;2;20;0;10;25;0;6
13;ZADARSKA ŽUPANIJA;grad;ZADAR;034;NOVI BOKANJAC;MJESNI ODBOR NOVI BOKANJAC;GRGURA BUDISLAVIÆA 99;1434;622;622;597;25;38;29;199;9;51;116;3;152
13;ZADARSKA ŽUPANIJA;grad;ZADAR;035;OLIB;MJESNI ODBOR OLIB;OLIB;192;70;70;66;4;5;4;36;1;3;10;0;7
13;ZADARSKA ŽUPANIJA;grad;ZADAR;036;PETRÈANE;OSNOVNA ŠKOLA PETRÈANE;PETRÈANE, ULICA V 3;666;259;259;249;10;75;11;70;2;24;42;1;24
13;ZADARSKA ŽUPANIJA;grad;ZADAR;037;PLOÈE;MJESNI ODBOR PLOÈE;PLOÈE;825;328;328;317;11;12;18;161;9;25;43;2;47
13;ZADARSKA ŽUPANIJA;grad;ZADAR;038;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIÆA B.B.;1129;474;473;461;12;15;32;166;27;49;70;0;102
13;ZADARSKA ŽUPANIJA;grad;ZADAR;039;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIÆA B.B.;1178;425;423;410;13;13;33;183;5;35;60;4;77
13;ZADARSKA ŽUPANIJA;grad;ZADAR;040;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIÆ"" ZADAR";TRG PETRA PRERADOVIÆA 1;1017;419;417;398;19;15;22;131;0;26;129;4;71
13;ZADARSKA ŽUPANIJA;grad;ZADAR;041;POLUOTOK;MJESNI ODBOR POLUOTOK;N. MATAFARE 2 A;1118;444;444;430;14;27;26;106;14;29;158;5;65
13;ZADARSKA ŽUPANIJA;grad;ZADAR;042;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIÆ"" ZADAR";TRG PETRA PRERADOVIÆA 1;1041;427;427;406;21;22;25;123;3;25;133;2;73
13;ZADARSKA ŽUPANIJA;grad;ZADAR;043;PREMUDA;PROSTORIJE OSNOVNE ŠKOLE (U PRIZEMLJU);PREMUDA;112;44;44;43;1;6;1;7;0;4;13;0;12
13;ZADARSKA ŽUPANIJA;grad;ZADAR;044;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A.G. MATOŠA 40;1241;483;483;467;16;31;20;199;8;39;94;1;75
13;ZADARSKA ŽUPANIJA;grad;ZADAR;045;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A. G. MATOŠA 40;1184;416;416;397;19;24;27;131;4;43;85;3;80
13;ZADARSKA ŽUPANIJA;grad;ZADAR;046;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A. G. MATOŠA 40;1237;500;500;483;17;27;38;140;2;33;130;2;111
13;ZADARSKA ŽUPANIJA;grad;ZADAR;047;RAVA;OSNOVNA ŠKOLA RAVA;RAVA;116;69;69;67;2;4;3;35;0;1;22;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;048;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;941;350;350;338;12;10;23;128;8;24;89;2;54
13;ZADARSKA ŽUPANIJA;grad;ZADAR;049;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;1107;382;382;370;12;11;20;137;19;34;82;2;65
13;ZADARSKA ŽUPANIJA;grad;ZADAR;050;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;949;367;367;342;25;15;12;137;14;25;86;3;50
13;ZADARSKA ŽUPANIJA;grad;ZADAR;051;SILBA;OSNOVNA ŠKOLA ZADARSKI OTOCI;SILBA;411;173;173;171;2;18;9;51;1;12;56;1;23
13;ZADARSKA ŽUPANIJA;grad;ZADAR;052;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1115;373;373;366;7;7;23;198;4;30;42;3;59
13;ZADARSKA ŽUPANIJA;grad;ZADAR;053;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1013;280;280;265;15;6;17;114;10;15;46;0;57
13;ZADARSKA ŽUPANIJA;grad;ZADAR;054;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1172;541;541;517;24;26;47;185;15;37;97;3;107
13;ZADARSKA ŽUPANIJA;grad;ZADAR;055;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;943;309;309;295;14;12;19;115;12;21;62;3;51
13;ZADARSKA ŽUPANIJA;grad;ZADAR;056;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1224;428;428;410;18;11;39;163;25;24;75;5;68
13;ZADARSKA ŽUPANIJA;grad;ZADAR;057;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1231;530;530;493;37;20;27;229;7;31;74;2;103
13;ZADARSKA ŽUPANIJA;grad;ZADAR;058;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;971;398;398;380;18;27;22;169;3;30;58;2;69
13;ZADARSKA ŽUPANIJA;grad;ZADAR;059;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1306;538;538;513;25;28;44;209;4;20;95;11;102
13;ZADARSKA ŽUPANIJA;grad;ZADAR;060;VELI IŽ;OSNOVNA ŠKOLA U VELOM IŽU;VELI IŽ;433;169;169;162;7;11;7;68;0;2;54;0;20
13;ZADARSKA ŽUPANIJA;grad;ZADAR;061;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIÆ 12;779;277;277;261;16;11;15;81;8;16;54;2;74
13;ZADARSKA ŽUPANIJA;grad;ZADAR;062;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIÆ 12;1044;382;382;373;9;21;24;157;11;24;54;2;80
13;ZADARSKA ŽUPANIJA;grad;ZADAR;063;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1022;428;428;409;19;31;19;109;7;29;133;2;79
13;ZADARSKA ŽUPANIJA;grad;ZADAR;064;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1015;420;420;401;19;22;22;101;2;20;144;1;89
13;ZADARSKA ŽUPANIJA;grad;ZADAR;065;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;929;366;366;347;19;23;15;104;2;18;95;3;87
13;ZADARSKA ŽUPANIJA;grad;ZADAR;066;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1156;445;444;434;10;19;24;117;5;30;128;1;110
