Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DEMOKRATSKI SAVEZ SRBA - DSS;DOMOVINSKI POKRET - DP, MOST;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  BORNA NIMAC;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;017;BRUŠKA;PODRUÈNA ŠKOLA;BRUŠKA;118;51;51;50;1;0;8;34;0;1;1;0;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;018;MEDVIÐA;MJESNI ODBOR (BIVŠA ŽUPNA KUÆA);MEDVIÐA;153;31;31;31;0;0;5;19;0;4;3;0;0
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;019;POPOVIÆI;PODRUÈNA ŠKOLA;POPOVIÆI;218;130;130;126;4;0;56;53;1;4;10;0;2
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;020;KORLAT;PODRUÈNA ŠKOLA;KORLAT;378;180;180;171;9;1;15;131;6;2;3;7;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;021;SMILÈIÆ;PROSTORIJE MJESNOG ODBORA SMILÈIÆ;SMILÈIÆ;1037;218;218;213;5;14;51;94;12;5;3;11;23
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;022;NADIN;PODRUÈNA ŠKOLA;NADIN;487;212;212;198;14;0;52;124;5;3;7;0;7
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;023;RAŠTEVIÆ;PODRUÈNA ŠKOLA RAŠTEVIÆ;RAŠTEVIÆ;479;185;185;173;12;0;35;98;32;4;1;0;3
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;024;TINJ;PODRUÈNA ŠKOLA TINJ;TINJ;700;379;379;370;9;4;123;123;0;17;66;31;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;025;PROVIÆ;PROSTORIJE MJESNOG ODBORA;PROVIÆ;90;41;41;38;3;0;17;14;1;0;2;0;4
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;026;ISLAM GRÈKI;MJESNI ODBOR;ISLAM GRÈKI;660;94;94;79;15;10;4;26;0;8;3;22;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;027;MIRANJE;OBITELJSKA KUÆA VINKA VUKANÈIÆA;MIRANJE;463;128;128;128;0;5;8;78;0;1;5;25;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;028;KULA ATLAGIÆ;PROSTORIJE BIVŠE ZADRUGE;KULA ATLAGIÆ;383;57;57;54;3;17;0;5;0;0;2;17;13
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;029;DONJI KARIN;TRGOVINA VLASNIŠTVO SLAVKO JABLAN (KARIN PLAŽA);DONJI KARIN;351;43;43;41;2;5;6;12;1;0;0;10;7
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;030;BUKOVIÆ;PODRUÈNA ŠKOLA;BUKOVIÆ;677;211;211;201;10;41;14;89;0;0;6;29;22
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;031;ZAPUŽANE;"ZGRADA TVORNICE ""MINERAL-IGM""";ZAPUŽANE;191;18;18;18;0;13;0;0;0;0;0;2;3
