Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TOMISLAV BULIĆ;BORNA NIMAC;GORAN NIMAC;FRANE TOKIĆ
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;015;RODALJICE;PODRUČNA ŠKOLA;RODALJICE;187;36;36;33;3;17;6;3;7
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;016;BJELINA;"BIVŠA PRODAVAONICA ""PROMET""";BJELINA, BJELINA 150;206;36;36;36;0;28;5;0;3
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;017;BRUŠKA;PODRUČNA ŠKOLA;BRUŠKA;118;51;51;47;4;34;3;2;8
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;018;MEDVIĐA;MJESNI ODBOR (BIVŠA ŽUPNA KUĆA);MEDVIĐA;153;31;31;31;0;20;3;2;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;019;POPOVIĆI;PODRUČNA ŠKOLA;POPOVIĆI;218;130;130;128;2;51;9;1;67
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;020;KORLAT;PODRUČNA ŠKOLA;KORLAT;378;182;181;173;8;150;5;5;13
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;021;SMILČIĆ;PROSTORIJE MJESNOG ODBORA SMILČIĆ;SMILČIĆ;1037;218;218;206;12;98;14;32;62
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;022;NADIN;PODRUČNA ŠKOLA;NADIN;487;212;212;194;18;128;8;6;52
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;023;RAŠTEVIĆ;PODRUČNA ŠKOLA RAŠTEVIĆ;RAŠTEVIĆ;479;185;185;177;8;124;3;6;44
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;024;TINJ;PODRUČNA ŠKOLA TINJ;TINJ;700;379;379;373;6;117;77;38;141
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;025;PROVIĆ;PROSTORIJE MJESNOG ODBORA;PROVIĆ;90;43;43;42;1;13;6;4;19
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;026;ISLAM GRČKI;MJESNI ODBOR;ISLAM GRČKI;660;94;94;85;9;47;8;19;11
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;027;MIRANJE;OBITELJSKA KUĆA VINKA VUKANČIĆA;MIRANJE;463;128;128;128;0;76;16;29;7
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;028;KULA ATLAGIĆ;PROSTORIJE BIVŠE ZADRUGE;KULA ATLAGIĆ;383;62;62;62;0;16;6;34;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;029;DONJI KARIN;TRGOVINA VLASNIŠTVO SLAVKO JABLAN (KARIN PLAŽA);DONJI KARIN;351;45;45;40;5;16;3;16;5
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;030;BUKOVIĆ;PODRUČNA ŠKOLA;BUKOVIĆ;677;211;211;203;8;100;10;78;15
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;031;ZAPUŽANE;"ZGRADA TVORNICE ""MINERAL-IGM""";ZAPUŽANE;191;18;18;18;0;1;5;12;0
