Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DENIS BARIÆ;DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP, STRANKA UMIROVLJENIKA - SU, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ U STEÈAJU - HSP AS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, GENERACIJA OBNOVE - GO;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ENIO MEŠTROVIÆ;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, AKCIJA MLADIH - AM, HRVATSKA SELJAÈKA STRANKA - HSS, CENTAR, GRAÐANSKO-LIBERALNI SAVEZ - GLAS;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ;STRANKA ZA ZADAR! - ZZ!
13;ZADARSKA ŽUPANIJA;grad;ZADAR;020;DRAÈEVAC ZADARSKI;TRG ISPRED CRKVE UZNESENJA BLAŽENE DJEVICE MARIJE U DRAÈEVCU;DRAÈEVAC;201;103;103;99;4;0;1;10;47;0;0;26;5;8;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;021;IST;OSNOVNA ŠKOLA ZADARSKI OTOCI;IST;228;91;91;86;5;22;2;8;20;0;0;3;2;27;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;022;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;901;396;396;380;16;5;7;27;83;13;2;63;26;141;1;12
13;ZADARSKA ŽUPANIJA;grad;ZADAR;023;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;1028;427;427;406;21;3;4;13;133;8;2;90;19;115;1;18
13;ZADARSKA ŽUPANIJA;grad;ZADAR;024;JAZINE I;SREDNJOŠKOLSKI ÐAÈKI DOM U ZADRU;OBALA KNEZA BRANIMIRA 10 A;693;287;287;281;6;4;5;12;83;1;3;46;8;98;0;21
13;ZADARSKA ŽUPANIJA;grad;ZADAR;025;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;1076;413;413;404;9;19;7;8;153;5;0;82;19;103;0;8
13;ZADARSKA ŽUPANIJA;grad;ZADAR;026;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;979;356;356;348;8;2;15;19;102;15;2;102;16;64;1;10
13;ZADARSKA ŽUPANIJA;grad;ZADAR;027;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;812;304;304;295;9;6;4;19;81;3;2;51;13;99;0;17
13;ZADARSKA ŽUPANIJA;grad;ZADAR;028;KOŽINO;OSNOVNA ŠKOLA U KOŽINU;KOŽINO, PUT ZGONA 1;741;302;302;292;10;3;6;19;99;4;4;77;15;58;0;7
13;ZADARSKA ŽUPANIJA;grad;ZADAR;029;MALI IŽ;PROSTORIJE MJESNOG ODBORA ISPOD AMBULANTE;MALI IŽ;276;103;103;100;3;47;1;1;10;0;0;5;6;27;1;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;030;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;1144;480;479;462;17;7;5;4;124;0;5;127;21;156;2;11
13;ZADARSKA ŽUPANIJA;grad;ZADAR;031;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;947;383;382;378;4;6;1;8;114;7;3;108;15;114;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;032;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;988;411;411;404;7;6;3;31;124;2;4;93;21;112;1;7
13;ZADARSKA ŽUPANIJA;grad;ZADAR;033;MOLAT;DOM KULTURE MOLAT;MOLAT;155;69;69;68;1;27;0;0;13;0;0;7;7;12;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;034;NOVI BOKANJAC;MJESNI ODBOR NOVI BOKANJAC;GRGURA BUDISLAVIÆA 99;1434;625;621;606;15;8;11;32;196;6;2;185;35;124;2;5
13;ZADARSKA ŽUPANIJA;grad;ZADAR;035;OLIB;MJESNI ODBOR OLIB;OLIB;192;70;70;65;5;15;2;1;30;1;0;4;4;8;0;0
13;ZADARSKA ŽUPANIJA;grad;ZADAR;036;PETRÈANE;OSNOVNA ŠKOLA PETRÈANE;PETRÈANE, ULICA V 3;666;259;259;247;12;2;5;21;101;2;0;49;26;39;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;037;PLOÈE;MJESNI ODBOR PLOÈE;PLOÈE;825;328;328;318;10;5;8;18;154;6;2;59;22;38;0;6
13;ZADARSKA ŽUPANIJA;grad;ZADAR;038;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIÆA B.B.;1129;474;473;461;12;3;6;28;169;12;4;96;55;84;1;3
13;ZADARSKA ŽUPANIJA;grad;ZADAR;039;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIÆA B.B.;1178;425;423;417;6;3;5;33;184;4;1;90;24;63;5;5
13;ZADARSKA ŽUPANIJA;grad;ZADAR;040;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIÆ"" ZADAR";TRG PETRA PRERADOVIÆA 1;1017;419;419;410;9;2;7;17;138;7;0;68;16;133;3;19
13;ZADARSKA ŽUPANIJA;grad;ZADAR;041;POLUOTOK;MJESNI ODBOR POLUOTOK;N. MATAFARE 2 A;1118;444;444;435;9;3;10;29;106;12;2;72;17;171;2;11
13;ZADARSKA ŽUPANIJA;grad;ZADAR;042;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIÆ"" ZADAR";TRG PETRA PRERADOVIÆA 1;1041;427;427;418;9;8;6;18;132;2;0;73;20;143;2;14
13;ZADARSKA ŽUPANIJA;grad;ZADAR;043;PREMUDA;PROSTORIJE OSNOVNE ŠKOLE (U PRIZEMLJU);PREMUDA;112;44;44;43;1;23;1;0;5;0;0;2;3;7;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;044;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A.G. MATOŠA 40;1241;483;483;475;8;6;7;28;190;5;1;97;35;98;2;6
13;ZADARSKA ŽUPANIJA;grad;ZADAR;045;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A. G. MATOŠA 40;1184;416;416;404;12;6;7;21;125;4;6;103;28;95;0;9
13;ZADARSKA ŽUPANIJA;grad;ZADAR;046;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A. G. MATOŠA 40;1237;500;500;489;11;6;11;38;138;1;2;117;25;136;2;13
13;ZADARSKA ŽUPANIJA;grad;ZADAR;047;RAVA;OSNOVNA ŠKOLA RAVA;RAVA;116;69;69;68;1;21;1;0;29;1;0;1;1;14;0;0
13;ZADARSKA ŽUPANIJA;grad;ZADAR;048;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;941;350;350;342;8;7;6;19;123;3;2;75;12;79;0;16
13;ZADARSKA ŽUPANIJA;grad;ZADAR;049;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;1107;382;382;368;14;7;6;19;134;13;1;73;25;78;0;12
13;ZADARSKA ŽUPANIJA;grad;ZADAR;050;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;949;367;367;352;15;4;3;15;144;8;2;62;17;81;1;15
13;ZADARSKA ŽUPANIJA;grad;ZADAR;051;SILBA;OSNOVNA ŠKOLA ZADARSKI OTOCI;SILBA;411;173;173;172;1;26;12;8;44;2;1;16;7;49;0;7
13;ZADARSKA ŽUPANIJA;grad;ZADAR;052;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1115;373;373;368;5;0;5;22;186;4;1;77;20;42;0;11
13;ZADARSKA ŽUPANIJA;grad;ZADAR;053;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1013;280;280;270;10;1;0;20;114;3;5;55;11;54;1;6
13;ZADARSKA ŽUPANIJA;grad;ZADAR;054;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1172;541;541;524;17;8;1;54;181;13;4;132;23;96;0;12
13;ZADARSKA ŽUPANIJA;grad;ZADAR;055;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;943;310;309;300;9;2;5;19;105;10;4;67;14;60;1;13
13;ZADARSKA ŽUPANIJA;grad;ZADAR;056;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1224;428;427;418;9;4;3;40;148;25;7;91;17;72;3;8
13;ZADARSKA ŽUPANIJA;grad;ZADAR;057;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1231;530;530;509;21;51;0;0;250;1;3;91;24;76;2;11
13;ZADARSKA ŽUPANIJA;grad;ZADAR;058;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;971;398;398;383;15;2;9;12;175;1;7;84;23;59;1;10
13;ZADARSKA ŽUPANIJA;grad;ZADAR;059;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1306;538;538;522;16;0;7;33;219;9;1;113;18;106;4;12
13;ZADARSKA ŽUPANIJA;grad;ZADAR;060;VELI IŽ;OSNOVNA ŠKOLA U VELOM IŽU;VELI IŽ;433;169;169;161;8;54;5;5;43;0;1;11;0;37;0;5
13;ZADARSKA ŽUPANIJA;grad;ZADAR;061;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIÆ 12;779;277;277;260;17;2;7;11;86;4;4;72;8;59;0;7
13;ZADARSKA ŽUPANIJA;grad;ZADAR;062;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIÆ 12;1044;382;382;379;3;3;7;18;176;3;2;86;24;54;1;5
13;ZADARSKA ŽUPANIJA;grad;ZADAR;063;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1022;428;428;420;8;4;7;17;105;4;5;94;22;146;0;16
13;ZADARSKA ŽUPANIJA;grad;ZADAR;064;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1015;420;420;408;12;4;7;19;102;3;3;95;14;151;0;10
13;ZADARSKA ŽUPANIJA;grad;ZADAR;065;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;929;366;366;357;9;10;14;12;102;1;1;81;13;105;3;15
13;ZADARSKA ŽUPANIJA;grad;ZADAR;066;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1156;445;443;436;7;8;3;24;125;4;0;105;17;139;0;11
13;ZADARSKA ŽUPANIJA;grad;ZADAR;067;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (I KAT);VESLAÈKA 12;859;334;334;325;9;9;7;26;124;0;1;66;12;75;0;5
13;ZADARSKA ŽUPANIJA;grad;ZADAR;068;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (I KAT);VESLAÈKA 12;669;227;227;223;4;8;3;20;50;1;1;49;16;69;1;5
13;ZADARSKA ŽUPANIJA;grad;ZADAR;069;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (PRIZEMLJE);VESLAÈKA 12;669;226;226;222;4;3;4;22;55;1;0;42;8;82;1;4
13;ZADARSKA ŽUPANIJA;grad;ZADAR;070;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (PRIZEMLJE);VESLAÈKA 12;567;209;209;203;6;3;3;36;51;3;0;41;7;50;0;9
13;ZADARSKA ŽUPANIJA;grad;ZADAR;071;ZAPUNTEL;DOM MLADEŽI ZAPUNTEL;ZAPUNTEL;65;30;30;30;0;15;1;1;3;0;1;0;0;7;0;2
