Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ZLATKO DEVEDŽIÆ;MIRKO JURKIÆ;GORAN MATIÆ;ELENA PUH BELCI;DUŠICA RADOJÈIÆ;SANJA RADOLOVIÆ;MAJA ŠARIÆ;FILIP ZORIÈIÆ
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;012;PULA-POLA, BIRAÈKO MJESTO 12.;"PROSTORIJE MO ""ARENA""";EMOVA ULICA 1, PULA-POLA;1044;383;383;374;9;10;31;16;135;53;66;6;57
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;013;PULA-POLA, BIRAÈKO MJESTO 13.;"PROSTORIJE ""HAK-A - AUTO SL 91""";STIGLICHEVA 26, PULA-POLA;808;314;314;307;7;7;23;4;112;39;56;6;60
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;014;PULA-POLA, BIRAÈKO MJESTO 14.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1018;446;446;437;9;10;20;9;210;57;61;6;64
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;015;PULA-POLA, BIRAÈKO MJESTO 15.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1326;513;512;505;7;6;32;9;203;58;83;8;106
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;016;PULA-POLA, BIRAÈKO MJESTO 16.;"OŠ ""VELI VRH""";ZAHTILINA ULICA 1, PULA-POLA;942;417;417;415;2;8;18;3;175;54;56;2;99
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;017;PULA-POLA, BIRAÈKO MJESTO 17.;PROSTORIJE MJESNOG ODBORA ŠTINJAN;ULICA SELO 2, PULA-POLA;891;427;427;422;5;11;33;7;133;52;82;8;96
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;018;PULA-POLA, BIRAÈKO MJESTO 18.;"PODRUÈNA OŠ ""ŠTINJAN""";ULICA VAROŠ 2, PULA-POLA;777;364;364;352;12;10;26;4;122;46;65;3;76
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;019;PULA-POLA, BIRAÈKO MJESTO 19.;PRIZEMLJE ZGRADE KATASTRA;FORUM 13, PULA-POLA;731;283;283;277;6;4;16;8;93;39;54;0;63
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;020;PULA-POLA, BIRAÈKO MJESTO 20.;"OŠ ""CENTAR""";DANTEOV TRG 2, PULA-POLA;707;259;259;252;7;10;15;2;76;44;40;2;63
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;021;PULA-POLA, BIRAÈKO MJESTO 21.;"DOM ""BRAÆE RIBAR""";MARSOVOG POLJA 6, PULA-POLA;893;323;323;317;6;7;27;4;121;58;34;5;61
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;022;PULA-POLA, BIRAÈKO MJESTO 22.;EKONOMSKA ŠKOLA;KOVAÈIÆEVA ULICA 3, PULA-POLA;812;345;345;332;13;8;27;6;97;54;75;8;57
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;023;PULA-POLA, BIRAÈKO MJESTO 23.;"BIVŠA ROBNA KUÆA ""STANDA""";KOPARSKA ULICA 64, PULA-POLA;861;363;363;355;8;9;30;10;135;40;70;6;55
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;024;PULA-POLA, BIRAÈKO MJESTO 24.;"MO ""VALDEBEK""";POD MURVON 2, PULA-POLA;1592;600;600;595;5;9;30;11;227;81;82;8;147
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;025;PULA-POLA, BIRAÈKO MJESTO 25.;UDRUŽENJE OBRTNIKA;SV. FELICITE 5A, PULA-POLA;1406;542;541;530;11;7;30;16;165;87;96;8;121
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;026;PULA-POLA, BIRAÈKO MJESTO 26.;PUÈKO OTVORENO UÈILIŠTE;RIŽANSKE SKUPŠTINE 6, PULA-POLA;931;341;341;335;6;11;25;6;114;48;58;2;71
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;027;PULA-POLA, BIRAÈKO MJESTO 27.;"PROSTORIJE LOVAÈKOG DRUŠTVA ""UNION""";KUKULJEVIÆEVA 5, PULA-POLA;631;226;226;220;6;5;7;6;81;40;38;4;39
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;028;PULA-POLA, BIRAÈKO MJESTO 28.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;780;291;291;282;9;2;16;13;92;54;48;5;52
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;029;PULA-POLA, BIRAÈKO MJESTO 29.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;1000;361;361;356;5;5;17;7;123;52;72;5;75
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;030;PULA-POLA, BIRAÈKO MJESTO 30.;"PROSTORIJE MO ""MONTE ZARO""";RADIÆEVA ULICA 25, PULA-POLA;1252;413;412;399;13;11;43;13;128;69;84;1;50
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;031;PULA-POLA, BIRAÈKO MJESTO 31.;"OSNOVNA ŠKOLA ""MONTE ZARO""";BOŠKOVIÆEV USPON 24, PULA-POLA;1259;420;420;412;8;5;35;11;120;83;70;7;81
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;032;PULA-POLA, BIRAÈKO MJESTO 32.;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 9, PULA-POLA;1165;465;465;453;12;9;22;10;140;89;105;2;76
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;033;PULA-POLA, BIRAÈKO MJESTO 33.;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 11, PULA-POLA;1254;423;422;409;13;5;30;14;118;75;99;9;59
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;034;PULA-POLA, BIRAÈKO MJESTO 34.;"PROSTORIJE ""SSSH""";KRLEŽINA 37, PULA-POLA;1161;465;465;456;9;9;38;12;161;69;84;5;78
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;035;PULA-POLA, BIRAÈKO MJESTO 35.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;833;242;242;239;3;3;13;12;76;47;57;3;28
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;036;PULA-POLA, BIRAÈKO MJESTO 36.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;793;321;321;310;11;7;19;10;121;40;48;5;60
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;037;PULA-POLA, BIRAÈKO MJESTO 37.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;1051;423;423;414;9;9;37;6;152;61;79;2;68
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;038;PULA-POLA, BIRAÈKO MJESTO 38.;"PROSTORIJE MO ""VERUDA""";BANOVÈEVA 4 I 6, PULA-POLA;678;277;277;270;7;4;13;8;114;33;59;7;32
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;039;PULA-POLA, BIRAÈKO MJESTO 39.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA ULICA 1, PULA-POLA;796;319;319;315;4;7;33;8;111;55;43;3;55
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;040;PULA-POLA, BIRAÈKO MJESTO 40.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA ULICA 1, PULA-POLA;877;366;366;357;9;10;25;4;116;60;68;3;71
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;041;PULA-POLA, BIRAÈKO MJESTO 41.;"PROSTORIJE MO ""NOVA VERUDA""";ULICA VIDIKOVAC 7, PULA-POLA;1100;499;499;485;14;10;32;11;179;82;98;3;70
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;042;PULA-POLA, BIRAÈKO MJESTO 42.;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;1159;462;461;456;5;8;43;10;158;69;81;6;81
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;043;PULA-POLA, BIRAÈKO MJESTO 43.;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;871;358;358;353;5;5;24;6;117;60;58;7;76
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;044;PULA-POLA, BIRAÈKO MJESTO 44.;"PROSTORIJE MO ""STOJA""";LETTISOVA ULICA 1, PULA-POLA;772;342;342;335;7;13;20;14;119;35;70;3;61
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;045;PULA-POLA, BIRAÈKO MJESTO 45.;"MO ""STOJA"" (ULAZ IZ ULICE STOJA)";LETTISOVA ULICA 1, PULA-POLA;621;249;249;239;10;14;11;5;111;22;31;1;44
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;046;PULA-POLA, BIRAÈKO MJESTO 46.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;1190;520;520;511;9;12;40;16;204;53;96;3;87
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;047;PULA-POLA, BIRAÈKO MJESTO 47.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;896;385;385;376;9;16;33;13;132;45;60;7;70
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;048;PULA-POLA, BIRAÈKO MJESTO 48.;"OŠ ""KAŠTANJER""";RIMSKE CENTURIJACIJE 29, PULA-POLA;1056;406;406;398;8;15;30;15;150;52;71;6;59
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;049;PULA-POLA, BIRAÈKO MJESTO 49.;PROSTORIJE MO MONVIDAL;VALTURSKA ULICA 2, PULA-POLA;864;328;327;318;9;4;31;4;110;52;41;2;74
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;050;PULA-POLA, BIRAÈKO MJESTO 50.;FILOZOFSKI FAKULTET;MATETIÆA RONJGOVA 1, PULA-POLA;709;235;235;230;5;6;17;4;93;21;40;3;46
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;051;PULA-POLA, BIRAÈKO MJESTO 51.;FILOZOFSKI FAKULTET;ULICA MATETIÆA RONJGOVA 1, PULA-POLA;660;274;274;272;2;2;20;3;102;44;48;2;51
