Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BRUNO CERGNUL;FABRIZIO RADIN
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;019;PULA-POLA, BIRAČKO MJESTO 19.;PRIZEMLJE ZGRADE KATASTRA;FORUM 13, PULA-POLA;26;11;11;10;1;4;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;020;PULA-POLA, BIRAČKO MJESTO 20.;"OŠ ""CENTAR""";DANTEOV TRG 2, PULA-POLA;21;3;3;3;0;2;1
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;021;PULA-POLA, BIRAČKO MJESTO 21.;"DOM ""BRAĆE RIBAR""";MARSOVOG POLJA 6, PULA-POLA;23;10;10;9;1;6;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;022;PULA-POLA, BIRAČKO MJESTO 22.;EKONOMSKA ŠKOLA;KOVAČIĆEVA ULICA 3, PULA-POLA;39;12;12;12;0;7;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;023;PULA-POLA, BIRAČKO MJESTO 23.;"BIVŠA ROBNA KUĆA ""STANDA""";KOPARSKA ULICA 64, PULA-POLA;32;10;10;10;0;4;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;024;PULA-POLA, BIRAČKO MJESTO 24.;"MO ""VALDEBEK""";POD MURVON 2, PULA-POLA;62;17;17;17;0;5;12
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;025;PULA-POLA, BIRAČKO MJESTO 25.;UDRUŽENJE OBRTNIKA;SV. FELICITE 5A, PULA-POLA;50;14;14;13;1;5;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;026;PULA-POLA, BIRAČKO MJESTO 26.;PUČKO OTVORENO UČILIŠTE;RIŽANSKE SKUPŠTINE 6, PULA-POLA;50;18;18;18;0;9;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;027;PULA-POLA, BIRAČKO MJESTO 27.;"PROSTORIJE LOVAČKOG DRUŠTVA ""UNION""";KUKULJEVIĆEVA 5, PULA-POLA;25;10;9;9;0;8;1
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;028;PULA-POLA, BIRAČKO MJESTO 28.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;39;12;12;12;0;8;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;029;PULA-POLA, BIRAČKO MJESTO 29.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;53;8;8;8;0;3;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;030;PULA-POLA, BIRAČKO MJESTO 30.;"PROSTORIJE MO ""MONTE ZARO""";RADIĆEVA ULICA 25, PULA-POLA;62;17;17;17;0;13;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;031;PULA-POLA, BIRAČKO MJESTO 31.;"OSNOVNA ŠKOLA ""MONTE ZARO""";BOŠKOVIĆEV USPON 24, PULA-POLA;49;12;12;11;1;7;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;032;PULA-POLA, BIRAČKO MJESTO 32.;ZGRADA TEHNIČKOG CENTRA;TRG KRALJA TOMISLAVA 9, PULA-POLA;44;6;6;5;1;3;2
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;033;PULA-POLA, BIRAČKO MJESTO 33.;ZGRADA TEHNIČKOG CENTRA;TRG KRALJA TOMISLAVA 11, PULA-POLA;31;6;6;6;0;3;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;034;PULA-POLA, BIRAČKO MJESTO 34.;"PROSTORIJE ""SSSH""";KRLEŽINA 37, PULA-POLA;52;18;18;18;0;5;13
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;035;PULA-POLA, BIRAČKO MJESTO 35.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;33;4;4;4;0;0;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;036;PULA-POLA, BIRAČKO MJESTO 36.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;51;13;13;13;0;6;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;037;PULA-POLA, BIRAČKO MJESTO 37.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;59;20;20;20;0;13;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;038;PULA-POLA, BIRAČKO MJESTO 38.;"PROSTORIJE MO ""VERUDA""";BANOVČEVA 4 I 6, PULA-POLA;38;8;8;6;2;4;2
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;039;PULA-POLA, BIRAČKO MJESTO 39.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIĆEVA ULICA 1, PULA-POLA;36;7;7;7;0;4;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;040;PULA-POLA, BIRAČKO MJESTO 40.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIĆEVA ULICA 1, PULA-POLA;37;10;10;10;0;6;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;041;PULA-POLA, BIRAČKO MJESTO 41.;"PROSTORIJE MO ""NOVA VERUDA""";ULICA VIDIKOVAC 7, PULA-POLA;50;8;8;8;0;4;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;042;PULA-POLA, BIRAČKO MJESTO 42.;INDUSTRIJSKO-OBRTNIČKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;39;12;12;12;0;5;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;043;PULA-POLA, BIRAČKO MJESTO 43.;INDUSTRIJSKO-OBRTNIČKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;35;9;9;9;0;2;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;044;PULA-POLA, BIRAČKO MJESTO 44.;"PROSTORIJE MO ""STOJA""";LETTISOVA ULICA 1, PULA-POLA;41;7;7;7;0;3;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;045;PULA-POLA, BIRAČKO MJESTO 45.;"MO ""STOJA"" (ULAZ IZ ULICE STOJA)";LETTISOVA ULICA 1, PULA-POLA;9;3;3;3;0;0;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;046;PULA-POLA, BIRAČKO MJESTO 46.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;54;19;19;19;0;5;14
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;047;PULA-POLA, BIRAČKO MJESTO 47.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;52;13;13;13;0;9;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;048;PULA-POLA, BIRAČKO MJESTO 48.;"OŠ ""KAŠTANJER""";RIMSKE CENTURIJACIJE 29, PULA-POLA;68;25;25;24;1;12;12
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;049;PULA-POLA, BIRAČKO MJESTO 49.;PROSTORIJE MO MONVIDAL;VALTURSKA ULICA 2, PULA-POLA;34;9;9;9;0;4;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;050;PULA-POLA, BIRAČKO MJESTO 50.;FILOZOFSKI FAKULTET;MATETIĆA RONJGOVA 1, PULA-POLA;33;11;11;11;0;7;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;051;PULA-POLA, BIRAČKO MJESTO 51.;FILOZOFSKI FAKULTET;ULICA MATETIĆA RONJGOVA 1, PULA-POLA;33;8;8;8;0;4;4
