Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;JESSICA ACQUAVITA;VALMER CUSMA
18;ISTARSKA ŽUPANIJA;grad;LABIN;001;RABAC;"DJEÈJI VRTIÆ ""PJERINA VERBANAC""";JADRANSKA BB, RABAC;29;2;2;2;0;1;1
18;ISTARSKA ŽUPANIJA;grad;LABIN;002;RABAC;"DJEÈJI VRTIÆ ""PJERINA VERBANAC""";JADRANSKA  BB RABAC;24;4;4;4;0;4;0
18;ISTARSKA ŽUPANIJA;grad;LABIN;003;RIPENDA;"LOVAÈKI DOM ""KAMENJARKA""";RIPENDA;2;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;LABIN;004;KAPELICA;DRUŠTVENE PROSTORIJE;KAPELICA BR. 57, LABIN;27;6;6;6;0;1;5
18;ISTARSKA ŽUPANIJA;grad;LABIN;005;ROGOÈANA;"PROSTORIJE UDRUGE ZA MLADE ""ALFA ALBONA""/BIVŠI KLUB UMIROVLJENIKA/";KALIÆ 2, LABIN;2;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;LABIN;006;LABIN - STARI GRAD;PROSTORIJE ZAJEDNICE TALIJANA LABIN;J. RAKOVCA 4, LABIN;66;18;18;17;1;10;7
18;ISTARSKA ŽUPANIJA;grad;LABIN;007;LABIN;"ŠKOLA ""LIÈE FARAGUNA"" 1";LABIN;20;1;1;1;0;0;1
18;ISTARSKA ŽUPANIJA;grad;LABIN;008;LABIN;"ŠKOLA ""LIÈE FARAGUNA"" 2";LABIN;14;2;2;2;0;2;0
18;ISTARSKA ŽUPANIJA;grad;LABIN;009;LABIN;"OSNOVNA ŠKOLA ""IVO LOLA RIBAR""";TRG LABINSKIH RUDARA BB, LABIN;23;1;1;1;0;1;0
18;ISTARSKA ŽUPANIJA;grad;LABIN;010;LABIN;PROSTORIJE MJESNOG ODBORA;TRG LABINSKIH RUDARA BB, LABIN;18;4;4;4;0;2;2
18;ISTARSKA ŽUPANIJA;grad;LABIN;011;LABIN - KATURE;"DJEÈJI VRTIÆ ""PJERINA VERBANAC"" 1";LABIN;25;1;1;1;0;0;1
18;ISTARSKA ŽUPANIJA;grad;LABIN;012;LABIN - KATURE;"DJEÈJI VRTIÆ ""PJERINA VERBANAC"" 2";LABIN;20;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;LABIN;013;LABIN - KATURE;PROSTORIJE KLUBA UMIROVLJENIKA;ISTARSKA 13, LABIN;21;2;2;2;0;1;1
18;ISTARSKA ŽUPANIJA;grad;LABIN;014;LABIN - VINEŽ;DOM KULTURE VINEŽ LABIN;LABIN;20;4;4;4;0;4;0
18;ISTARSKA ŽUPANIJA;grad;LABIN;015;LABIN - STARCI;PROSTORIJE HEP-A;LABIN,PULSKA 1;13;3;3;3;0;2;1
18;ISTARSKA ŽUPANIJA;grad;LABIN;016;LABIN - VINEŽ;"PODRUÈNA OŠ ""IVO LOLA RIBAR""";VINEŽ;3;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;001;NOVIGRAD-CITTANOVA;"OSNOVNA ŠKOLA ""RIVARELA""";EMONIJSKA 4, NOVIGRAD;211;45;45;41;4;33;8
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;002;NOVIGRAD-CITTANOVA;"OSNOVNA ŠKOLA ""RIVARELA""";EMONIJSKA 4, NOVIGRAD;218;24;24;24;0;17;7
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;003;DAJLA-DAILA;"ZGRADA NOGOMETNOG KLUBA ""DAJLA""";DAJLA BB, DAJLA;31;9;9;9;0;5;4
18;ISTARSKA ŽUPANIJA;grad;PAZIN;001;BERAM;ZGRADA STARE ŠKOLE;BERAM;3;1;1;1;0;0;1
18;ISTARSKA ŽUPANIJA;grad;PAZIN;002;GRDOSELO;ZGRADA STARE ŠKOLE;GRDOSELO;1;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;003;HEKI;ZGRADA STARE ŠKOLE;HEKI;6;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;004;KAŠÆERGA;ZGRADA MJESNOG ODBORA;KAŠÆERGA;5;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;005;KRŠIKLA;ZGRADA DRUŠTVENIH PROSTORIJA;KRŠIKLA;1;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;006;LINDAR;ZGRADA STARE ŠKOLE;LINDAR;5;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;007;PAZIN - BURAJ;PROSTORIJE ŠAHOVSKOG KLUBA U STAMBENO POSLOVNOJ ZGRADI;STARI TRG 6;15;1;1;1;0;0;1
18;ISTARSKA ŽUPANIJA;grad;PAZIN;008;PAZIN - CENTAR;AUTO - KLUB;DRUŽBA ÆIRILA I METODA 3, PAZIN;11;1;1;1;0;0;1
18;ISTARSKA ŽUPANIJA;grad;PAZIN;009;PAZIN - DRŠÆEVKA;SPOMEN DOM;ŠETALIŠTE PAZINSKE GIMN. 3A, PAZIN;24;3;3;3;0;1;2
18;ISTARSKA ŽUPANIJA;grad;PAZIN;010;PAZIN-DUBRAVICA;"PROSTORIJE ""DRUŠTVO NAŠA DJECA PAZIN""";154. BRIGADE HRVATSKE VOJSKE 4, PAZIN;7;2;2;2;0;0;2
18;ISTARSKA ŽUPANIJA;grad;PAZIN;011;STARI PAZIN NOVO NASELJE;STARI PAZIN;JOSIPA VOLTIÆA BB, PAZIN;14;1;1;1;0;0;1
18;ISTARSKA ŽUPANIJA;grad;PAZIN;012;STARI PAZIN - ROGOVIÆI;AUTOKUÆA ETRADEX;STANCIJA PATAJ 45B;3;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;013;TRVIŽ;DRUŠTVENI DOM;KATUN TRVIŠKI;3;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;014;ZABREŽANI;ZGRADA STARE ŠKOLE;ZABREŽANI;1;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;015;ZAMASK;DRUŠTVENI DOM;ZAMASK;1;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;016;ZAREÈJE;DRUŠTVENI DOM;ZAREÈJE;2;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;001;BADERNA - MOMPADERNO;ZGRADA ŠKOLE;BADERNA;15;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;002;ŽBANDAJ;DRUŠTVENI DOM-PODUZETNIÈKI INKUBATOR U ŽBANDAJU;ŽBANDAJ 34A,ŽBANDAJ;21;2;2;2;0;1;1
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;003;FUŠKULIN-FOSCOLINO;NOVI DRUŠTVENI DOM U FUŠKULINU;FUŠKULIN;21;5;5;4;1;3;1
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;004;POREÈ - PARENZO;DRUŠTVENA PROSTORIJA;TRG KNEZA BRANIMIRA 2, POREÈ;49;9;9;8;1;3;5
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;005;VELI MAJ;ZGRADA ŠKOLE;VELI MAJ, POREÈ;71;12;12;10;2;6;4
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;006;POREÈ - PARENZO;PROSTORIJE MJESNOG ODBORA;CRESKA 36, POREÈ;67;13;13;13;0;7;6
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;007;MUŠALEŽ;PROSTORIJA MJESNOG ODBORA;MUŠALEŽ;19;3;3;3;0;2;1
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;008;VARVARI;ZGRADA ŠKOLE;VARVARI;17;3;3;3;0;1;2
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;009;POREÈ - PARENZO;VATROGASNI DOM;POREÈ;51;15;15;14;1;9;5
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;010;POREÈ - PARENZO;OSNOVNA ŠKOLA FINIDA;ROVINJSKA  12, POREÈ;35;8;8;8;0;5;3
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;011;POREÈ - PARENZO;"SPORTSKA DVORANA ""PALESTRA""";NIKOLE TESLE 16, POREÈ;40;5;5;5;0;2;3
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;012;POREÈ - PARENZO;ZGRADA HRVATSKE ELEKTROPRIVREDE;MATE VLAŠIÆA 2, POREÈ;49;8;8;7;1;4;3
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;013;POREÈ - PARENZO;MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;ALDA NEGRIJA 5, POREÈ;81;24;24;23;1;19;4
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;014;POREÈ - PARENZO;"DJEÈJI VRTIÆ ""RADOST""";RADE KONÈARA 7, POREÈ;41;9;9;8;1;4;4
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;015;NOVA VAS;ZGRADA OSNOVNE ŠKOLE;VIŠNJANSKA 32, NOVA VAS;39;5;5;5;0;1;4
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;016;KUKCI;PROSTORIJA BOÆALIŠTA;JASENOVA 6/A, KUKCI;27;5;5;5;0;3;2
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;017;ÈERVAR - PORAT;PROSTORIJE MJESNOG ODBORA;PARK UÈKA 2,ÈERVAR-PORAT;2;1;1;1;0;0;1
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;001;PULA-POLA, BIRAÈKO MJESTO 1.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;51;9;9;9;0;3;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;002;PULA-POLA, BIRAÈKO MJESTO 2.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;43;10;10;10;0;4;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;003;PULA-POLA, BIRAÈKO MJESTO 3.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;68;14;14;14;0;6;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;004;PULA-POLA, BIRAÈKO MJESTO 4.;"OŠ  ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;41;6;6;6;0;1;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;005;PULA-POLA, BIRAÈKO MJESTO 5.;"OŠ ""ŠIJANA""";43.ISTARSKE DIVIZIJE 5, PULA-POLA;50;17;17;16;1;7;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;006;PULA-POLA, BIRAÈKO MJESTO 6.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;47;14;14;14;0;4;10
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;007;PULA-POLA, BIRAÈKO MJESTO 7.;"PROSTORIJE MO ""ŠIJANA""";KOPARSKA 46, PULA-POLA;42;11;11;11;0;2;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;008;PULA-POLA, BIRAÈKO MJESTO 8.;"PROSTORIJE MO ""KAŠTANJER""";KAŠTANJER 10, PULA-POLA;80;25;25;25;0;8;17
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;009;PULA-POLA, BIRAÈKO MJESTO 9.;"PROSTORIJE MO ""KAŠTANJER""";ULICA KAŠTANJER 8, PULA-POLA;49;16;16;16;0;4;12
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;010;PULA-POLA, BIRAÈKO MJESTO 10.;"PROSTORIJE MO ""BUSOLER""";ŠIŠANSKA CESTA 25A, PULA-POLA;51;14;14;14;0;4;10
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;011;PULA-POLA, BIRAÈKO MJESTO 11.;"PROSTORIJE  MO ""BUSOLER""";ŠIŠANSKA CESTA 106, PULA-POLA;42;10;10;10;0;5;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;012;PULA-POLA, BIRAÈKO MJESTO 12.;"PROSTORIJE MO ""ARENA""";EMOVA ULICA 1, PULA-POLA;59;19;19;19;0;5;14
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;013;PULA-POLA, BIRAÈKO MJESTO 13.;"PROSTORIJE ""HAK-A - AUTO SL 91""";STIGLICHEVA 26, PULA-POLA;49;11;11;11;0;3;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;014;PULA-POLA, BIRAÈKO MJESTO 14.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;54;23;23;22;1;7;15
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;015;PULA-POLA, BIRAÈKO MJESTO 15.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;56;21;21;21;0;2;19
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;016;PULA-POLA, BIRAÈKO MJESTO 16.;"OŠ ""VELI VRH""";ZAHTILINA ULICA 1, PULA-POLA;37;13;13;13;0;8;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;017;PULA-POLA, BIRAÈKO MJESTO 17.;PROSTORIJE MJESNOG ODBORA ŠTINJAN;ULICA SELO 2, PULA-POLA;35;8;8;8;0;3;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;018;PULA-POLA, BIRAÈKO MJESTO 18.;"PODRUÈNA OŠ ""ŠTINJAN""";ULICA VAROŠ 2, PULA-POLA;44;10;10;10;0;6;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;019;PULA-POLA, BIRAÈKO MJESTO 19.;PRIZEMLJE ZGRADE KATASTRA;FORUM 13, PULA-POLA;26;11;11;10;1;2;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;020;PULA-POLA, BIRAÈKO MJESTO 20.;"OŠ ""CENTAR""";DANTEOV TRG 2, PULA-POLA;21;3;3;3;0;0;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;021;PULA-POLA, BIRAÈKO MJESTO 21.;"DOM ""BRAÆE RIBAR""";MARSOVOG POLJA 6, PULA-POLA;23;10;10;9;1;6;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;022;PULA-POLA, BIRAÈKO MJESTO 22.;EKONOMSKA ŠKOLA;KOVAÈIÆEVA ULICA 3, PULA-POLA;39;12;12;12;0;5;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;023;PULA-POLA, BIRAÈKO MJESTO 23.;"BIVŠA ROBNA KUÆA ""STANDA""";KOPARSKA ULICA 64, PULA-POLA;32;10;10;9;1;7;2
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;024;PULA-POLA, BIRAÈKO MJESTO 24.;"MO ""VALDEBEK""";POD MURVON 2, PULA-POLA;62;17;17;17;0;8;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;025;PULA-POLA, BIRAÈKO MJESTO 25.;UDRUŽENJE OBRTNIKA;SV. FELICITE 5A, PULA-POLA;50;14;14;14;0;7;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;026;PULA-POLA, BIRAÈKO MJESTO 26.;PUÈKO OTVORENO UÈILIŠTE;RIŽANSKE SKUPŠTINE 6, PULA-POLA;50;18;18;18;0;4;14
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;027;PULA-POLA, BIRAÈKO MJESTO 27.;"PROSTORIJE LOVAÈKOG DRUŠTVA ""UNION""";KUKULJEVIÆEVA 5, PULA-POLA;25;10;9;9;0;1;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;028;PULA-POLA, BIRAÈKO MJESTO 28.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;39;12;12;10;2;2;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;029;PULA-POLA, BIRAÈKO MJESTO 29.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;53;8;8;8;0;4;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;030;PULA-POLA, BIRAÈKO MJESTO 30.;"PROSTORIJE MO ""MONTE ZARO""";RADIÆEVA ULICA 25, PULA-POLA;62;17;17;17;0;6;11
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;031;PULA-POLA, BIRAÈKO MJESTO 31.;"OSNOVNA ŠKOLA ""MONTE ZARO""";BOŠKOVIÆEV USPON 24, PULA-POLA;49;12;12;11;1;4;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;032;PULA-POLA, BIRAÈKO MJESTO 32.;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 9, PULA-POLA;44;6;6;6;0;2;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;033;PULA-POLA, BIRAÈKO MJESTO 33.;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 11, PULA-POLA;31;6;6;6;0;2;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;034;PULA-POLA, BIRAÈKO MJESTO 34.;"PROSTORIJE ""SSSH""";KRLEŽINA 37, PULA-POLA;52;18;18;18;0;8;10
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;035;PULA-POLA, BIRAÈKO MJESTO 35.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;33;4;4;4;0;1;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;036;PULA-POLA, BIRAÈKO MJESTO 36.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;51;13;13;13;0;5;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;037;PULA-POLA, BIRAÈKO MJESTO 37.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;59;20;20;20;0;4;16
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;038;PULA-POLA, BIRAÈKO MJESTO 38.;"PROSTORIJE MO ""VERUDA""";BANOVÈEVA 4 I 6, PULA-POLA;38;8;8;8;0;0;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;039;PULA-POLA, BIRAÈKO MJESTO 39.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA ULICA 1, PULA-POLA;36;7;7;7;0;2;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;040;PULA-POLA, BIRAÈKO MJESTO 40.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA ULICA 1, PULA-POLA;37;10;10;10;0;2;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;041;PULA-POLA, BIRAÈKO MJESTO 41.;"PROSTORIJE MO ""NOVA VERUDA""";ULICA VIDIKOVAC 7, PULA-POLA;50;8;8;8;0;4;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;042;PULA-POLA, BIRAÈKO MJESTO 42.;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;39;12;12;12;0;8;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;043;PULA-POLA, BIRAÈKO MJESTO 43.;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;35;9;9;9;0;2;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;044;PULA-POLA, BIRAÈKO MJESTO 44.;"PROSTORIJE MO ""STOJA""";LETTISOVA ULICA 1, PULA-POLA;41;7;7;7;0;1;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;045;PULA-POLA, BIRAÈKO MJESTO 45.;"MO ""STOJA"" (ULAZ IZ ULICE STOJA)";LETTISOVA ULICA 1, PULA-POLA;9;3;3;3;0;1;2
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;046;PULA-POLA, BIRAÈKO MJESTO 46.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;54;19;19;17;2;5;12
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;047;PULA-POLA, BIRAÈKO MJESTO 47.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;52;13;13;13;0;2;11
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;048;PULA-POLA, BIRAÈKO MJESTO 48.;"OŠ ""KAŠTANJER""";RIMSKE CENTURIJACIJE 29, PULA-POLA;68;25;25;25;0;9;16
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;049;PULA-POLA, BIRAÈKO MJESTO 49.;PROSTORIJE MO MONVIDAL;VALTURSKA ULICA 2, PULA-POLA;34;9;9;9;0;0;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;050;PULA-POLA, BIRAÈKO MJESTO 50.;FILOZOFSKI FAKULTET;MATETIÆA RONJGOVA 1, PULA-POLA;33;11;11;11;0;3;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;051;PULA-POLA, BIRAÈKO MJESTO 51.;FILOZOFSKI FAKULTET;ULICA MATETIÆA RONJGOVA 1, PULA-POLA;33;8;8;8;0;2;6
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;001;ROVINJ;DOM KULTURE;TRG M.TITA 3;116;37;37;34;3;16;18
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;002;ROVINJ;"OŠ ""VLADMIR NAZOR""";E.DE AMICIS 31;105;40;40;39;1;22;17
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;003;ROVINJ;"OŠ ""VLADIMIR NAZOR""";E.DE AMICIS 31;180;52;52;50;2;24;26
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;004;ROVINJ;"STRUKOVNA ŠKOLA ""E.KUMIÈIÆA""";CARDUCCI 13;175;76;76;71;5;39;32
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;005;ROVINJ;"OŠ ""J:DOBRILE""";S.PAULETIÆA 8;153;39;39;33;6;13;20
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;006;ROVINJ;"OŠ ""J:DOBRILE""";S.PAULETIÆA 8;157;55;55;53;2;30;23
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;007;ROVINJ;DJEÈJI VRTIÆ NEVEN, PODRUÈNO ODJELJENJE VALBRUNA;G.PRIVILEGGIO-PASCIA 2;135;29;29;28;1;18;10
