Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DEMOKRATI, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ZLATKO DEVEDŽIÆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;ISTARSKI DEMOKRATSKI SABOR - IDS, ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP, ZELENI SAVEZ - ZELENI;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;RADNIÈKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  FILIP ZORIÈIÆ
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;026;PULA-POLA, BIRAÈKO MJESTO 26.;PUÈKO OTVORENO UÈILIŠTE;RIŽANSKE SKUPŠTINE 6, PULA-POLA;931;341;341;336;5;3;6;8;27;10;104;58;11;53;56
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;027;PULA-POLA, BIRAÈKO MJESTO 27.;"PROSTORIJE LOVAÈKOG DRUŠTVA ""UNION""";KUKULJEVIÆEVA 5, PULA-POLA;631;226;226;219;7;4;6;5;7;8;74;40;9;33;33
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;028;PULA-POLA, BIRAÈKO MJESTO 28.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;780;291;291;282;9;8;1;3;19;8;80;53;16;41;53
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;029;PULA-POLA, BIRAÈKO MJESTO 29.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;1000;361;361;352;9;7;3;1;21;18;97;53;14;58;80
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;030;PULA-POLA, BIRAÈKO MJESTO 30.;"PROSTORIJE MO ""MONTE ZARO""";RADIÆEVA ULICA 25, PULA-POLA;1252;413;412;391;21;7;6;8;35;20;113;83;13;66;40
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;031;PULA-POLA, BIRAÈKO MJESTO 31.;"OSNOVNA ŠKOLA ""MONTE ZARO""";BOŠKOVIÆEV USPON 24, PULA-POLA;1259;420;420;413;7;5;5;11;42;18;89;94;14;66;69
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;032;PULA-POLA, BIRAÈKO MJESTO 32.;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 9, PULA-POLA;1165;465;465;453;12;4;4;7;27;10;132;102;18;80;69
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;033;PULA-POLA, BIRAÈKO MJESTO 33.;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 11, PULA-POLA;1254;425;424;409;15;3;3;12;31;16;106;88;16;80;54
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;034;PULA-POLA, BIRAÈKO MJESTO 34.;"PROSTORIJE ""SSSH""";KRLEŽINA 37, PULA-POLA;1161;465;465;457;8;10;5;4;45;14;143;72;19;84;61
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;035;PULA-POLA, BIRAÈKO MJESTO 35.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;833;242;242;238;4;2;5;5;13;8;70;58;15;39;23
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;036;PULA-POLA, BIRAÈKO MJESTO 36.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;793;321;321;316;5;4;4;7;20;6;118;45;19;45;48
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;037;PULA-POLA, BIRAÈKO MJESTO 37.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;1051;423;422;414;8;2;10;12;32;24;137;66;12;62;57
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;038;PULA-POLA, BIRAÈKO MJESTO 38.;"PROSTORIJE MO ""VERUDA""";BANOVÈEVA 4 I 6, PULA-POLA;678;277;277;270;7;1;6;6;14;8;103;42;14;49;27
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;039;PULA-POLA, BIRAÈKO MJESTO 39.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA ULICA 1, PULA-POLA;796;319;318;312;6;4;7;7;33;10;104;51;12;38;46
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;040;PULA-POLA, BIRAÈKO MJESTO 40.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA ULICA 1, PULA-POLA;877;366;366;355;11;3;6;9;27;9;104;65;12;60;60
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;041;PULA-POLA, BIRAÈKO MJESTO 41.;"PROSTORIJE MO ""NOVA VERUDA""";ULICA VIDIKOVAC 7, PULA-POLA;1100;499;499;486;13;1;10;3;46;15;164;98;19;66;64
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;042;PULA-POLA, BIRAÈKO MJESTO 42.;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;1159;462;461;460;1;4;11;12;45;5;140;86;24;69;64
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;043;PULA-POLA, BIRAÈKO MJESTO 43.;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;871;357;357;352;5;13;5;6;25;19;103;71;11;39;60
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;044;PULA-POLA, BIRAÈKO MJESTO 44.;"PROSTORIJE MO ""STOJA""";LETTISOVA ULICA 1, PULA-POLA;772;342;342;337;5;5;10;3;22;13;109;46;17;63;49
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;045;PULA-POLA, BIRAÈKO MJESTO 45.;"MO ""STOJA"" (ULAZ IZ ULICE STOJA)";LETTISOVA ULICA 1, PULA-POLA;621;249;249;237;12;2;12;5;17;5;101;23;8;30;34
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;046;PULA-POLA, BIRAÈKO MJESTO 46.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;1190;520;520;509;11;2;12;6;49;23;185;64;20;75;73
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;047;PULA-POLA, BIRAÈKO MJESTO 47.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;896;385;385;375;10;8;15;7;41;12;113;49;19;52;59
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;048;PULA-POLA, BIRAÈKO MJESTO 48.;"OŠ ""KAŠTANJER""";RIMSKE CENTURIJACIJE 29, PULA-POLA;1056;405;405;396;9;2;11;7;31;18;132;64;20;60;51
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;049;PULA-POLA, BIRAÈKO MJESTO 49.;PROSTORIJE MO MONVIDAL;VALTURSKA ULICA 2, PULA-POLA;864;328;328;319;9;3;4;9;38;8;94;54;5;44;60
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;050;PULA-POLA, BIRAÈKO MJESTO 50.;FILOZOFSKI FAKULTET;MATETIÆA RONJGOVA 1, PULA-POLA;709;235;235;229;6;2;8;2;18;6;80;32;8;33;40
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;051;PULA-POLA, BIRAÈKO MJESTO 51.;FILOZOFSKI FAKULTET;ULICA MATETIÆA RONJGOVA 1, PULA-POLA;660;274;274;265;9;1;1;4;20;6;86;52;6;38;51
