Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA MLADIH - AM, ALTERNATIVA 101 - ALTERNATIVA;DEMOKRATI, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;ISTARSKI DEMOKRATSKI SABOR - IDS, ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP, ZELENI SAVEZ - ZELENI;MOST;MOŽEMO! - POLITIČKA PLATFORMA, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH, NOVA LJEVICA - NL;RADNIČKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STRANKA UMIROVLJENIKA - SU, ŽIVI ZID, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI
18;ISTARSKA ŽUPANIJA;grad;BUZET;013;ŠTRPED;DRUŠTVENI DOM SVETI DUH;ŠTRPED;315;198;198;189;9;11;3;2;13;13;84;6;12;3;33;9
18;ISTARSKA ŽUPANIJA;grad;BUZET;014;ŠKULJARI;DRUŠTVENI DOM ŠKULJARI;ŠKULJARI;125;79;79;71;8;4;4;0;5;1;19;5;3;1;25;4
18;ISTARSKA ŽUPANIJA;grad;BUZET;015;VELI MLUN;DRUŠTVENI DOM;VELI MLUN 28, VELI MLUN;109;63;63;59;4;4;0;1;3;3;21;7;4;1;14;1
18;ISTARSKA ŽUPANIJA;grad;BUZET;016;VRH;DRUŠTVENI DOM VRH;VRH;440;249;249;238;11;22;8;1;18;14;101;17;15;1;39;2
18;ISTARSKA ŽUPANIJA;grad;LABIN;001;RABAC;"DJEČJI VRTIĆ ""PJERINA VERBANAC""";JADRANSKA BB, RABAC;524;218;218;214;4;8;2;1;20;8;125;4;11;4;27;4
18;ISTARSKA ŽUPANIJA;grad;LABIN;002;RABAC;"DJEČJI VRTIĆ ""PJERINA VERBANAC""";JADRANSKA  BB RABAC;773;310;310;306;4;10;13;3;24;9;159;4;26;7;48;3
18;ISTARSKA ŽUPANIJA;grad;LABIN;003;RIPENDA;"LOVAČKI DOM ""KAMENJARKA""";RIPENDA;215;90;90;89;1;4;2;1;3;5;54;2;3;2;10;3
18;ISTARSKA ŽUPANIJA;grad;LABIN;004;KAPELICA;DRUŠTVENE PROSTORIJE;KAPELICA BR. 57, LABIN;869;356;356;343;13;11;10;2;30;17;199;7;13;5;43;6
18;ISTARSKA ŽUPANIJA;grad;LABIN;005;ROGOČANA;"PROSTORIJE UDRUGE ZA MLADE ""ALFA ALBONA""/BIVŠI KLUB UMIROVLJENIKA/";KALIĆ 2, LABIN;185;97;97;95;2;6;4;0;5;5;58;5;2;2;5;3
18;ISTARSKA ŽUPANIJA;grad;LABIN;006;LABIN - STARI GRAD;PROSTORIJE ZAJEDNICE TALIJANA LABIN;J. RAKOVCA 4, LABIN;1119;443;443;433;10;12;19;1;23;29;230;12;23;15;56;13
18;ISTARSKA ŽUPANIJA;grad;LABIN;007;LABIN;"ŠKOLA ""LIČE FARAGUNA"" 1";LABIN;477;186;186;180;6;6;4;3;6;9;100;5;9;13;20;5
18;ISTARSKA ŽUPANIJA;grad;LABIN;008;LABIN;"ŠKOLA ""LIČE FARAGUNA"" 2";LABIN;416;162;162;159;3;4;13;2;20;10;70;2;5;10;18;5
18;ISTARSKA ŽUPANIJA;grad;LABIN;009;LABIN;"OSNOVNA ŠKOLA ""IVO LOLA RIBAR""";TRG LABINSKIH RUDARA BB, LABIN;652;229;229;218;11;6;2;2;19;13;100;9;20;12;33;2
18;ISTARSKA ŽUPANIJA;grad;LABIN;010;LABIN;PROSTORIJE MJESNOG ODBORA;TRG LABINSKIH RUDARA BB, LABIN;880;294;294;282;12;5;10;7;22;21;153;12;5;4;37;6
18;ISTARSKA ŽUPANIJA;grad;LABIN;011;LABIN - KATURE;"DJEČJI VRTIĆ ""PJERINA VERBANAC"" 1";LABIN;487;175;175;173;2;4;14;1;13;17;76;3;8;8;26;3
18;ISTARSKA ŽUPANIJA;grad;LABIN;012;LABIN - KATURE;"DJEČJI VRTIĆ ""PJERINA VERBANAC"" 2";LABIN;951;349;349;332;17;7;11;5;22;21;155;9;25;17;52;8
18;ISTARSKA ŽUPANIJA;grad;LABIN;013;LABIN - KATURE;PROSTORIJE KLUBA UMIROVLJENIKA;ISTARSKA 13, LABIN;699;320;320;312;8;12;13;5;22;20;153;5;21;11;43;7
18;ISTARSKA ŽUPANIJA;grad;LABIN;014;LABIN - VINEŽ;DOM KULTURE VINEŽ LABIN;LABIN;1112;445;445;430;15;8;14;9;23;19;260;18;23;3;47;6
18;ISTARSKA ŽUPANIJA;grad;LABIN;015;LABIN - STARCI;PROSTORIJE HEP-A;LABIN,PULSKA 1;554;257;257;249;8;3;11;0;14;19;147;6;14;6;28;1
18;ISTARSKA ŽUPANIJA;grad;LABIN;016;LABIN - VINEŽ;"PODRUČNA OŠ ""IVO LOLA RIBAR""";VINEŽ;177;79;79;79;0;1;5;0;3;1;54;1;3;2;9;0
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;001;NOVIGRAD-CITTANOVA;"OSNOVNA ŠKOLA ""RIVARELA""";EMONIJSKA 4, NOVIGRAD;1919;539;539;510;29;21;3;24;102;14;260;16;31;11;19;9
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;002;NOVIGRAD-CITTANOVA;"OSNOVNA ŠKOLA ""RIVARELA""";EMONIJSKA 4, NOVIGRAD;1476;549;549;529;20;20;8;7;53;31;277;16;46;10;45;16
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;003;DAJLA-DAILA;"ZGRADA NOGOMETNOG KLUBA ""DAJLA""";DAJLA BB, DAJLA;577;166;166;159;7;7;7;3;19;5;74;11;13;7;10;3
18;ISTARSKA ŽUPANIJA;grad;PAZIN;001;BERAM;ZGRADA STARE ŠKOLE;BERAM;385;177;177;169;8;10;3;5;19;9;67;6;33;2;11;4
18;ISTARSKA ŽUPANIJA;grad;PAZIN;002;GRDOSELO;ZGRADA STARE ŠKOLE;GRDOSELO;113;69;69;68;1;5;0;0;6;3;36;3;5;2;7;1
18;ISTARSKA ŽUPANIJA;grad;PAZIN;003;HEKI;ZGRADA STARE ŠKOLE;HEKI;554;229;229;219;10;8;6;8;29;11;89;13;29;6;18;2
18;ISTARSKA ŽUPANIJA;grad;PAZIN;004;KAŠĆERGA;ZGRADA MJESNOG ODBORA;KAŠĆERGA;191;89;89;84;5;2;3;1;6;3;45;2;10;2;6;4
18;ISTARSKA ŽUPANIJA;grad;PAZIN;005;KRŠIKLA;ZGRADA DRUŠTVENIH PROSTORIJA;KRŠIKLA;92;46;46;42;4;1;2;0;2;1;29;1;3;1;2;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;006;LINDAR;ZGRADA STARE ŠKOLE;LINDAR;413;227;227;220;7;13;2;1;20;15;98;7;36;1;21;6
18;ISTARSKA ŽUPANIJA;grad;PAZIN;007;PAZIN - BURAJ;PROSTORIJE ŠAHOVSKOG KLUBA U STAMBENO POSLOVNOJ ZGRADI;STARI TRG 6;758;318;318;303;15;15;9;2;34;17;92;17;75;6;27;9
18;ISTARSKA ŽUPANIJA;grad;PAZIN;008;PAZIN - CENTAR;AUTO - KLUB;DRUŽBA ĆIRILA I METODA 3, PAZIN;779;385;385;376;9;5;5;6;47;17;140;12;91;11;38;4
18;ISTARSKA ŽUPANIJA;grad;PAZIN;009;PAZIN - DRŠĆEVKA;SPOMEN DOM;ŠETALIŠTE PAZINSKE GIMN. 3A, PAZIN;822;437;437;418;19;9;3;3;42;21;159;14;89;11;60;7
18;ISTARSKA ŽUPANIJA;grad;PAZIN;010;PAZIN-DUBRAVICA;"PROSTORIJE ""DRUŠTVO NAŠA DJECA PAZIN""";154. BRIGADE HRVATSKE VOJSKE 4, PAZIN;484;222;222;217;5;9;3;4;21;10;81;11;39;3;33;3
18;ISTARSKA ŽUPANIJA;grad;PAZIN;011;STARI PAZIN NOVO NASELJE;STARI PAZIN;JOSIPA VOLTIĆA BB, PAZIN;856;441;441;421;20;21;8;14;46;21;155;12;97;8;34;5
18;ISTARSKA ŽUPANIJA;grad;PAZIN;012;STARI PAZIN - ROGOVIĆI;AUTOKUĆA ETRADEX;STANCIJA PATAJ 45B;532;251;251;243;8;8;8;4;28;9;102;12;36;5;31;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;013;TRVIŽ;DRUŠTVENI DOM;KATUN TRVIŠKI;654;309;309;290;19;14;8;11;48;17;96;18;41;6;24;7
18;ISTARSKA ŽUPANIJA;grad;PAZIN;014;ZABREŽANI;ZGRADA STARE ŠKOLE;ZABREŽANI;295;124;124;115;9;5;4;0;20;6;50;2;9;2;17;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;015;ZAMASK;DRUŠTVENI DOM;ZAMASK;85;32;32;32;0;2;0;0;3;1;19;0;4;2;1;0
18;ISTARSKA ŽUPANIJA;grad;PAZIN;016;ZAREČJE;DRUŠTVENI DOM;ZAREČJE;257;140;140;137;3;4;3;1;21;5;54;7;25;3;11;3
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;001;BADERNA - MOMPADERNO;ZGRADA ŠKOLE;BADERNA;556;246;246;237;9;11;4;11;22;9;128;7;12;2;21;10
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;002;ŽBANDAJ;DRUŠTVENI DOM-PODUZETNIČKI INKUBATOR U ŽBANDAJU;ŽBANDAJ 34A,ŽBANDAJ;1363;476;476;467;9;10;2;13;42;18;304;13;22;4;33;6
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;003;FUŠKULIN-FOSCOLINO;NOVI DRUŠTVENI DOM U FUŠKULINU;FUŠKULIN;644;343;343;331;12;9;10;11;22;22;192;6;14;9;34;2
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;004;POREČ - PARENZO;DRUŠTVENA PROSTORIJA;TRG KNEZA BRANIMIRA 2, POREČ;943;446;446;433;13;14;8;5;29;34;236;14;26;15;45;7
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;005;VELI MAJ;ZGRADA ŠKOLE;VELI MAJ, POREČ;1435;551;551;528;23;18;6;12;44;35;285;12;38;8;59;11
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;006;POREČ - PARENZO;PROSTORIJE MJESNOG ODBORA;CRESKA 36, POREČ;1206;505;504;489;15;19;6;18;35;28;264;20;28;5;58;8
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;007;MUŠALEŽ;PROSTORIJA MJESNOG ODBORA;MUŠALEŽ;549;193;193;183;10;10;0;8;25;13;94;3;7;6;16;1
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;008;VARVARI;ZGRADA ŠKOLE;VARVARI;852;311;311;292;19;10;2;12;22;6;189;10;18;2;16;5
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;009;POREČ - PARENZO;VATROGASNI DOM;POREČ;823;394;394;378;16;8;5;16;27;18;180;14;32;13;58;7
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;010;POREČ - PARENZO;OSNOVNA ŠKOLA FINIDA;ROVINJSKA  12, POREČ;1159;472;471;456;15;14;7;17;46;22;250;12;24;7;51;6
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;011;POREČ - PARENZO;"SPORTSKA DVORANA ""PALESTRA""";NIKOLE TESLE 16, POREČ;933;450;450;435;15;12;4;9;22;28;246;11;28;12;54;9
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;012;POREČ - PARENZO;ZGRADA HRVATSKE ELEKTROPRIVREDE;MATE VLAŠIĆA 2, POREČ;1088;456;456;430;26;12;2;2;33;22;247;13;29;11;51;8
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;013;POREČ - PARENZO;MALA SALA PUČKOG OTVORENOG UČILIŠTA;ALDA NEGRIJA 5, POREČ;1162;486;486;464;22;15;4;12;40;21;273;11;25;10;36;17
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;014;POREČ - PARENZO;"DJEČJI VRTIĆ ""RADOST""";RADE KONČARA 7, POREČ;538;239;239;229;10;8;8;1;19;11;114;6;15;7;34;6
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;015;NOVA VAS;ZGRADA OSNOVNE ŠKOLE;VIŠNJANSKA 32, NOVA VAS;1276;497;496;476;20;17;6;16;32;24;296;7;10;12;49;7
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;016;KUKCI;PROSTORIJA BOĆALIŠTA;JASENOVA 6/A, KUKCI;1123;395;395;379;16;17;11;15;32;21;198;11;25;4;40;5
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;017;ČERVAR - PORAT;PROSTORIJE MJESNOG ODBORA;PARK UČKA 2,ČERVAR-PORAT;519;202;202;192;10;9;0;4;27;3;120;3;7;5;14;0
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;001;PULA-POLA, BIRAČKO MJESTO 1.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;981;365;365;342;23;12;4;6;36;18;106;13;63;11;64;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;002;PULA-POLA, BIRAČKO MJESTO 2.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;721;253;253;242;11;7;5;3;24;6;81;5;50;12;46;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;003;PULA-POLA, BIRAČKO MJESTO 3.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;1158;445;443;437;6;13;10;9;43;24;134;8;94;21;77;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;004;PULA-POLA, BIRAČKO MJESTO 4.;"OŠ  ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;784;315;315;305;10;17;5;5;34;13;114;8;58;8;40;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;005;PULA-POLA, BIRAČKO MJESTO 5.;"OŠ ""ŠIJANA""";43.ISTARSKE DIVIZIJE 5, PULA-POLA;777;352;352;344;8;15;6;6;24;16;135;8;57;12;59;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;006;PULA-POLA, BIRAČKO MJESTO 6.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;985;297;296;279;17;14;5;5;33;6;107;7;39;15;45;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;007;PULA-POLA, BIRAČKO MJESTO 7.;"PROSTORIJE MO ""ŠIJANA""";KOPARSKA 46, PULA-POLA;1004;357;357;348;9;20;11;6;31;12;119;15;63;16;51;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;008;PULA-POLA, BIRAČKO MJESTO 8.;"PROSTORIJE MO ""KAŠTANJER""";KAŠTANJER 10, PULA-POLA;1074;395;395;387;8;13;9;6;33;19;138;7;78;14;67;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;009;PULA-POLA, BIRAČKO MJESTO 9.;"PROSTORIJE MO ""KAŠTANJER""";ULICA KAŠTANJER 8, PULA-POLA;1365;464;464;451;13;9;10;10;51;13;163;6;86;13;85;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;010;PULA-POLA, BIRAČKO MJESTO 10.;"PROSTORIJE MO ""BUSOLER""";ŠIŠANSKA CESTA 25A, PULA-POLA;1019;411;411;401;10;16;12;15;37;40;125;10;76;17;48;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;011;PULA-POLA, BIRAČKO MJESTO 11.;"PROSTORIJE  MO ""BUSOLER""";ŠIŠANSKA CESTA 106, PULA-POLA;1243;433;433;421;12;21;10;15;69;21;133;8;61;21;53;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;012;PULA-POLA, BIRAČKO MJESTO 12.;"PROSTORIJE MO ""ARENA""";EMOVA ULICA 1, PULA-POLA;1044;383;383;371;12;15;2;11;43;13;126;8;66;22;59;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;013;PULA-POLA, BIRAČKO MJESTO 13.;"PROSTORIJE ""HAK-A - AUTO SL 91""";STIGLICHEVA 26, PULA-POLA;808;314;314;309;5;11;7;8;44;17;113;9;48;9;38;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;014;PULA-POLA, BIRAČKO MJESTO 14.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1018;446;446;432;14;13;8;4;48;18;163;8;77;22;65;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;015;PULA-POLA, BIRAČKO MJESTO 15.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1326;513;513;499;14;13;11;5;68;19;188;10;80;8;96;1
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;016;PULA-POLA, BIRAČKO MJESTO 16.;"OŠ ""VELI VRH""";ZAHTILINA ULICA 1, PULA-POLA;942;417;417;407;10;13;6;6;53;20;161;7;65;8;63;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;017;PULA-POLA, BIRAČKO MJESTO 17.;PROSTORIJE MJESNOG ODBORA ŠTINJAN;ULICA SELO 2, PULA-POLA;891;427;427;415;12;18;11;5;65;17;144;7;62;10;73;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;018;PULA-POLA, BIRAČKO MJESTO 18.;"PODRUČNA OŠ ""ŠTINJAN""";ULICA VAROŠ 2, PULA-POLA;777;364;364;347;17;15;7;5;47;9;114;9;50;17;72;2
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;019;PULA-POLA, BIRAČKO MJESTO 19.;PRIZEMLJE ZGRADE KATASTRA;FORUM 13, PULA-POLA;731;283;283;271;12;17;6;4;34;13;74;1;63;11;39;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;020;PULA-POLA, BIRAČKO MJESTO 20.;"OŠ ""CENTAR""";DANTEOV TRG 2, PULA-POLA;707;259;259;248;11;9;7;10;29;3;77;2;59;7;39;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;021;PULA-POLA, BIRAČKO MJESTO 21.;"DOM ""BRAĆE RIBAR""";MARSOVOG POLJA 6, PULA-POLA;893;323;323;318;5;8;7;11;43;9;121;10;57;12;36;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;022;PULA-POLA, BIRAČKO MJESTO 22.;EKONOMSKA ŠKOLA;KOVAČIĆEVA ULICA 3, PULA-POLA;812;345;345;332;13;10;7;7;40;10;96;11;65;13;67;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;023;PULA-POLA, BIRAČKO MJESTO 23.;"BIVŠA ROBNA KUĆA ""STANDA""";KOPARSKA ULICA 64, PULA-POLA;861;342;342;331;11;16;11;7;37;8;119;6;57;12;55;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;024;PULA-POLA, BIRAČKO MJESTO 24.;"MO ""VALDEBEK""";POD MURVON 2, PULA-POLA;1592;600;600;580;20;24;12;5;60;21;214;18;101;19;92;14
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;025;PULA-POLA, BIRAČKO MJESTO 25.;UDRUŽENJE OBRTNIKA;SV. FELICITE 5A, PULA-POLA;1406;542;542;527;15;17;17;11;51;25;170;13;98;32;88;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;026;PULA-POLA, BIRAČKO MJESTO 26.;PUČKO OTVORENO UČILIŠTE;RIŽANSKE SKUPŠTINE 6, PULA-POLA;931;341;341;329;12;17;5;8;48;16;109;3;59;8;47;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;027;PULA-POLA, BIRAČKO MJESTO 27.;"PROSTORIJE LOVAČKOG DRUŠTVA ""UNION""";KUKULJEVIĆEVA 5, PULA-POLA;631;226;226;217;9;6;3;5;14;7;78;1;51;11;40;1
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;028;PULA-POLA, BIRAČKO MJESTO 28.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;780;291;291;279;12;13;3;7;30;10;82;7;56;21;48;2
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;029;PULA-POLA, BIRAČKO MJESTO 29.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;1000;361;361;344;17;10;10;3;38;23;99;11;64;14;63;9
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;030;PULA-POLA, BIRAČKO MJESTO 30.;"PROSTORIJE MO ""MONTE ZARO""";RADIĆEVA ULICA 25, PULA-POLA;1252;413;412;393;19;11;6;6;60;17;124;7;72;13;73;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;031;PULA-POLA, BIRAČKO MJESTO 31.;"OSNOVNA ŠKOLA ""MONTE ZARO""";BOŠKOVIĆEV USPON 24, PULA-POLA;1259;420;420;410;10;11;12;15;54;14;106;5;99;11;74;9
