Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DANIJEL FERIÆ;IRENA HRSTIÆ;BORIS MILETIÆ;DIVNA RADOLOVIÆ ROSANDA
18;ISTARSKA ŽUPANIJA;grad;LABIN;004;KAPELICA;DRUŠTVENE PROSTORIJE;KAPELICA BR. 57, LABIN;869;356;356;344;12;51;38;230;25
18;ISTARSKA ŽUPANIJA;grad;LABIN;005;ROGOÈANA;"PROSTORIJE UDRUGE ZA MLADE ""ALFA ALBONA""/BIVŠI KLUB UMIROVLJENIKA/";KALIÆ 2, LABIN;185;98;98;97;1;15;5;67;10
18;ISTARSKA ŽUPANIJA;grad;LABIN;006;LABIN - STARI GRAD;PROSTORIJE ZAJEDNICE TALIJANA LABIN;J. RAKOVCA 4, LABIN;1119;443;443;430;13;69;36;285;40
18;ISTARSKA ŽUPANIJA;grad;LABIN;007;LABIN;"ŠKOLA ""LIÈE FARAGUNA"" 1";LABIN;477;186;186;184;2;36;13;117;18
18;ISTARSKA ŽUPANIJA;grad;LABIN;008;LABIN;"ŠKOLA ""LIÈE FARAGUNA"" 2";LABIN;416;162;162;156;6;22;26;91;17
18;ISTARSKA ŽUPANIJA;grad;LABIN;009;LABIN;"OSNOVNA ŠKOLA ""IVO LOLA RIBAR""";TRG LABINSKIH RUDARA BB, LABIN;652;230;230;216;14;52;25;124;15
18;ISTARSKA ŽUPANIJA;grad;LABIN;010;LABIN;PROSTORIJE MJESNOG ODBORA;TRG LABINSKIH RUDARA BB, LABIN;880;294;294;284;10;50;35;184;15
18;ISTARSKA ŽUPANIJA;grad;LABIN;011;LABIN - KATURE;"DJEÈJI VRTIÆ ""PJERINA VERBANAC"" 1";LABIN;487;175;175;170;5;31;24;95;20
18;ISTARSKA ŽUPANIJA;grad;LABIN;012;LABIN - KATURE;"DJEÈJI VRTIÆ ""PJERINA VERBANAC"" 2";LABIN;951;353;353;336;17;78;33;191;34
18;ISTARSKA ŽUPANIJA;grad;LABIN;013;LABIN - KATURE;PROSTORIJE KLUBA UMIROVLJENIKA;ISTARSKA 13, LABIN;699;320;320;308;12;61;43;181;23
18;ISTARSKA ŽUPANIJA;grad;LABIN;014;LABIN - VINEŽ;DOM KULTURE VINEŽ LABIN;LABIN;1112;445;445;430;15;79;37;281;33
18;ISTARSKA ŽUPANIJA;grad;LABIN;015;LABIN - STARCI;PROSTORIJE HEP-A;LABIN,PULSKA 1;554;257;257;246;11;48;25;154;19
18;ISTARSKA ŽUPANIJA;grad;LABIN;016;LABIN - VINEŽ;"PODRUÈNA OŠ ""IVO LOLA RIBAR""";VINEŽ;177;79;79;78;1;11;4;58;5
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;001;NOVIGRAD-CITTANOVA;"OSNOVNA ŠKOLA ""RIVARELA""";EMONIJSKA 4, NOVIGRAD;1919;539;539;513;26;66;140;278;29
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;002;NOVIGRAD-CITTANOVA;"OSNOVNA ŠKOLA ""RIVARELA""";EMONIJSKA 4, NOVIGRAD;1476;549;549;518;31;91;80;314;33
18;ISTARSKA ŽUPANIJA;grad;NOVIGRAD - CITTANOVA;003;DAJLA-DAILA;"ZGRADA NOGOMETNOG KLUBA ""DAJLA""";DAJLA BB, DAJLA;577;166;166;160;6;33;28;85;14
18;ISTARSKA ŽUPANIJA;grad;PAZIN;001;BERAM;ZGRADA STARE ŠKOLE;BERAM;385;177;177;170;7;24;48;79;19
18;ISTARSKA ŽUPANIJA;grad;PAZIN;002;GRDOSELO;ZGRADA STARE ŠKOLE;GRDOSELO;113;69;69;65;4;9;14;37;5
18;ISTARSKA ŽUPANIJA;grad;PAZIN;003;HEKI;ZGRADA STARE ŠKOLE;HEKI;554;229;229;217;12;38;66;87;26
18;ISTARSKA ŽUPANIJA;grad;PAZIN;004;KAŠÆERGA;ZGRADA MJESNOG ODBORA;KAŠÆERGA;191;89;89;84;5;17;12;48;7
18;ISTARSKA ŽUPANIJA;grad;PAZIN;005;KRŠIKLA;ZGRADA DRUŠTVENIH PROSTORIJA;KRŠIKLA;92;46;46;44;2;4;5;31;4
18;ISTARSKA ŽUPANIJA;grad;PAZIN;006;LINDAR;ZGRADA STARE ŠKOLE;LINDAR;413;227;227;211;16;46;36;110;19
18;ISTARSKA ŽUPANIJA;grad;PAZIN;007;PAZIN - BURAJ;PROSTORIJE ŠAHOVSKOG KLUBA U STAMBENO POSLOVNOJ ZGRADI;STARI TRG 6;758;318;318;295;23;72;72;126;25
18;ISTARSKA ŽUPANIJA;grad;PAZIN;008;PAZIN - CENTAR;AUTO - KLUB;DRUŽBA ÆIRILA I METODA 3, PAZIN;779;385;385;361;24;90;68;172;31
18;ISTARSKA ŽUPANIJA;grad;PAZIN;009;PAZIN - DRŠÆEVKA;SPOMEN DOM;ŠETALIŠTE PAZINSKE GIMN. 3A, PAZIN;822;437;437;408;29;120;66;187;35
18;ISTARSKA ŽUPANIJA;grad;PAZIN;010;PAZIN-DUBRAVICA;"PROSTORIJE ""DRUŠTVO NAŠA DJECA PAZIN""";154. BRIGADE HRVATSKE VOJSKE 4, PAZIN;484;222;222;211;11;58;40;95;18
18;ISTARSKA ŽUPANIJA;grad;PAZIN;011;STARI PAZIN NOVO NASELJE;STARI PAZIN;JOSIPA VOLTIÆA BB, PAZIN;856;441;441;410;31;84;101;185;40
18;ISTARSKA ŽUPANIJA;grad;PAZIN;012;STARI PAZIN - ROGOVIÆI;AUTOKUÆA ETRADEX;STANCIJA PATAJ 45B;532;251;251;241;10;55;54;111;21
18;ISTARSKA ŽUPANIJA;grad;PAZIN;013;TRVIŽ;DRUŠTVENI DOM;KATUN TRVIŠKI;654;309;309;286;23;63;89;112;22
18;ISTARSKA ŽUPANIJA;grad;PAZIN;014;ZABREŽANI;ZGRADA STARE ŠKOLE;ZABREŽANI;295;124;124;117;7;22;32;56;7
18;ISTARSKA ŽUPANIJA;grad;PAZIN;015;ZAMASK;DRUŠTVENI DOM;ZAMASK;85;32;32;32;0;4;4;18;6
18;ISTARSKA ŽUPANIJA;grad;PAZIN;016;ZAREÈJE;DRUŠTVENI DOM;ZAREÈJE;257;140;140;135;5;27;42;49;17
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;001;BADERNA - MOMPADERNO;ZGRADA ŠKOLE;BADERNA;556;246;246;234;12;30;52;130;22
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;002;ŽBANDAJ;DRUŠTVENI DOM-PODUZETNIÈKI INKUBATOR U ŽBANDAJU;ŽBANDAJ 34A,ŽBANDAJ;1363;476;476;464;12;47;69;317;31
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;003;FUŠKULIN-FOSCOLINO;NOVI DRUŠTVENI DOM U FUŠKULINU;FUŠKULIN;644;343;343;330;13;43;45;211;31
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;004;POREÈ - PARENZO;DRUŠTVENA PROSTORIJA;TRG KNEZA BRANIMIRA 2, POREÈ;943;446;446;430;16;83;51;270;26
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;005;VELI MAJ;ZGRADA ŠKOLE;VELI MAJ, POREÈ;1435;551;551;513;38;107;72;304;30
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;006;POREÈ - PARENZO;PROSTORIJE MJESNOG ODBORA;CRESKA 36, POREÈ;1206;505;504;486;18;98;61;292;35
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;007;MUŠALEŽ;PROSTORIJA MJESNOG ODBORA;MUŠALEŽ;549;193;193;185;8;26;34;118;7
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;008;VARVARI;ZGRADA ŠKOLE;VARVARI;852;311;311;290;21;34;47;197;12
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;009;POREÈ - PARENZO;VATROGASNI DOM;POREÈ;823;394;394;379;15;89;55;212;23
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;010;POREÈ - PARENZO;OSNOVNA ŠKOLA FINIDA;ROVINJSKA  12, POREÈ;1159;472;471;445;26;79;73;265;28
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;011;POREÈ - PARENZO;"SPORTSKA DVORANA ""PALESTRA""";NIKOLE TESLE 16, POREÈ;933;450;450;427;23;91;38;262;36
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;012;POREÈ - PARENZO;ZGRADA HRVATSKE ELEKTROPRIVREDE;MATE VLAŠIÆA 2, POREÈ;1088;456;455;429;26;74;54;269;32
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;013;POREÈ - PARENZO;MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;ALDA NEGRIJA 5, POREÈ;1162;486;486;459;27;74;54;302;29
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;014;POREÈ - PARENZO;"DJEÈJI VRTIÆ ""RADOST""";RADE KONÈARA 7, POREÈ;538;239;239;227;12;43;27;132;25
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;015;NOVA VAS;ZGRADA OSNOVNE ŠKOLE;VIŠNJANSKA 32, NOVA VAS;1276;497;497;474;23;65;57;324;28
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;016;KUKCI;PROSTORIJA BOÆALIŠTA;JASENOVA 6/A, KUKCI;1123;395;395;372;23;63;61;217;31
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;017;ÈERVAR - PORAT;PROSTORIJE MJESNOG ODBORA;PARK UÈKA 2,ÈERVAR-PORAT;519;202;202;195;7;28;45;120;2
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;001;PULA-POLA, BIRAÈKO MJESTO 1.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;981;365;365;341;24;100;63;135;43
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;002;PULA-POLA, BIRAÈKO MJESTO 2.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;721;253;253;238;15;71;45;95;27
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;003;PULA-POLA, BIRAÈKO MJESTO 3.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;1158;445;445;426;19;146;73;165;42
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;004;PULA-POLA, BIRAÈKO MJESTO 4.;"OŠ  ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;784;315;315;300;15;71;57;138;34
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;005;PULA-POLA, BIRAÈKO MJESTO 5.;"OŠ ""ŠIJANA""";43.ISTARSKE DIVIZIJE 5, PULA-POLA;777;352;352;337;15;87;56;167;27
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;006;PULA-POLA, BIRAÈKO MJESTO 6.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;985;297;296;275;21;73;54;116;32
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;007;PULA-POLA, BIRAÈKO MJESTO 7.;"PROSTORIJE MO ""ŠIJANA""";KOPARSKA 46, PULA-POLA;1004;357;357;339;18;88;55;154;42
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;008;PULA-POLA, BIRAÈKO MJESTO 8.;"PROSTORIJE MO ""KAŠTANJER""";KAŠTANJER 10, PULA-POLA;1074;395;395;381;14;121;68;160;32
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;009;PULA-POLA, BIRAÈKO MJESTO 9.;"PROSTORIJE MO ""KAŠTANJER""";ULICA KAŠTANJER 8, PULA-POLA;1365;464;464;442;22;113;84;204;41
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;010;PULA-POLA, BIRAÈKO MJESTO 10.;"PROSTORIJE MO ""BUSOLER""";ŠIŠANSKA CESTA 25A, PULA-POLA;1019;411;411;387;24;99;78;159;51
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;011;PULA-POLA, BIRAÈKO MJESTO 11.;"PROSTORIJE  MO ""BUSOLER""";ŠIŠANSKA CESTA 106, PULA-POLA;1243;433;433;418;15;90;113;170;45
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;012;PULA-POLA, BIRAÈKO MJESTO 12.;"PROSTORIJE MO ""ARENA""";EMOVA ULICA 1, PULA-POLA;1044;383;383;361;22;91;83;149;38
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;013;PULA-POLA, BIRAÈKO MJESTO 13.;"PROSTORIJE ""HAK-A - AUTO SL 91""";STIGLICHEVA 26, PULA-POLA;808;314;314;300;14;64;68;131;37
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;014;PULA-POLA, BIRAÈKO MJESTO 14.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1018;446;446;431;15;107;82;200;42
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;015;PULA-POLA, BIRAÈKO MJESTO 15.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1326;513;513;490;23;136;95;220;39
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;016;PULA-POLA, BIRAÈKO MJESTO 16.;"OŠ ""VELI VRH""";ZAHTILINA ULICA 1, PULA-POLA;942;417;417;403;14;96;101;174;32
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;017;PULA-POLA, BIRAÈKO MJESTO 17.;PROSTORIJE MJESNOG ODBORA ŠTINJAN;ULICA SELO 2, PULA-POLA;891;427;427;409;18;123;85;165;36
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;018;PULA-POLA, BIRAÈKO MJESTO 18.;"PODRUÈNA OŠ ""ŠTINJAN""";ULICA VAROŠ 2, PULA-POLA;777;364;364;341;23;116;70;127;28
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;019;PULA-POLA, BIRAÈKO MJESTO 19.;PRIZEMLJE ZGRADE KATASTRA;FORUM 13, PULA-POLA;731;283;283;267;16;82;52;103;30
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;020;PULA-POLA, BIRAÈKO MJESTO 20.;"OŠ ""CENTAR""";DANTEOV TRG 2, PULA-POLA;707;259;259;243;16;70;54;95;24
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;021;PULA-POLA, BIRAÈKO MJESTO 21.;"DOM ""BRAÆE RIBAR""";MARSOVOG POLJA 6, PULA-POLA;893;323;323;307;16;61;71;137;38
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;022;PULA-POLA, BIRAÈKO MJESTO 22.;EKONOMSKA ŠKOLA;KOVAÈIÆEVA ULICA 3, PULA-POLA;812;345;345;323;22;109;59;123;32
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;023;PULA-POLA, BIRAÈKO MJESTO 23.;"BIVŠA ROBNA KUÆA ""STANDA""";KOPARSKA ULICA 64, PULA-POLA;861;353;353;335;18;76;65;145;49
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;024;PULA-POLA, BIRAÈKO MJESTO 24.;"MO ""VALDEBEK""";POD MURVON 2, PULA-POLA;1592;600;599;572;27;166;111;236;59
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;025;PULA-POLA, BIRAÈKO MJESTO 25.;UDRUŽENJE OBRTNIKA;SV. FELICITE 5A, PULA-POLA;1406;542;542;508;34;147;109;197;55
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;026;PULA-POLA, BIRAÈKO MJESTO 26.;PUÈKO OTVORENO UÈILIŠTE;RIŽANSKE SKUPŠTINE 6, PULA-POLA;931;341;341;319;22;86;64;136;33
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;027;PULA-POLA, BIRAÈKO MJESTO 27.;"PROSTORIJE LOVAÈKOG DRUŠTVA ""UNION""";KUKULJEVIÆEVA 5, PULA-POLA;631;226;226;216;10;66;33;91;26
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;028;PULA-POLA, BIRAÈKO MJESTO 28.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;780;291;291;272;19;70;59;114;29
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;029;PULA-POLA, BIRAÈKO MJESTO 29.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;1000;361;361;348;13;111;82;122;33
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;030;PULA-POLA, BIRAÈKO MJESTO 30.;"PROSTORIJE MO ""MONTE ZARO""";RADIÆEVA ULICA 25, PULA-POLA;1252;413;413;391;22;127;89;140;35
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;031;PULA-POLA, BIRAÈKO MJESTO 31.;"OSNOVNA ŠKOLA ""MONTE ZARO""";BOŠKOVIÆEV USPON 24, PULA-POLA;1259;420;420;393;27;136;82;141;34
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;032;PULA-POLA, BIRAÈKO MJESTO 32.;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 9, PULA-POLA;1165;465;465;435;30;146;74;179;36
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;033;PULA-POLA, BIRAÈKO MJESTO 33.;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 11, PULA-POLA;1254;423;423;393;30;141;76;138;38
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;034;PULA-POLA, BIRAÈKO MJESTO 34.;"PROSTORIJE ""SSSH""";KRLEŽINA 37, PULA-POLA;1161;465;465;449;16;120;111;168;50
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;035;PULA-POLA, BIRAÈKO MJESTO 35.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;833;242;242;230;12;73;36;98;23
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;036;PULA-POLA, BIRAÈKO MJESTO 36.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;793;321;321;302;19;80;66;139;17
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;037;PULA-POLA, BIRAÈKO MJESTO 37.;"OŠ ""VERUDA""";BANOVÈEVA ULICA 27, PULA-POLA;1051;423;423;403;20;91;86;171;55
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;038;PULA-POLA, BIRAÈKO MJESTO 38.;"PROSTORIJE MO ""VERUDA""";BANOVÈEVA 4 I 6, PULA-POLA;678;277;277;257;20;77;48;119;13
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;039;PULA-POLA, BIRAÈKO MJESTO 39.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA ULICA 1, PULA-POLA;796;319;319;308;11;74;78;125;31
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;040;PULA-POLA, BIRAÈKO MJESTO 40.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA ULICA 1, PULA-POLA;877;366;366;339;27;92;76;144;27
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;041;PULA-POLA, BIRAÈKO MJESTO 41.;"PROSTORIJE MO ""NOVA VERUDA""";ULICA VIDIKOVAC 7, PULA-POLA;1100;499;499;479;20;129;98;197;55
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;042;PULA-POLA, BIRAÈKO MJESTO 42.;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;1159;462;461;448;13;124;102;186;36
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;043;PULA-POLA, BIRAÈKO MJESTO 43.;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;871;357;357;338;19;96;77;128;37
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;044;PULA-POLA, BIRAÈKO MJESTO 44.;"PROSTORIJE MO ""STOJA""";LETTISOVA ULICA 1, PULA-POLA;772;342;342;330;12;96;70;136;28
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;045;PULA-POLA, BIRAÈKO MJESTO 45.;"MO ""STOJA"" (ULAZ IZ ULICE STOJA)";LETTISOVA ULICA 1, PULA-POLA;621;249;248;226;22;54;39;101;32
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;046;PULA-POLA, BIRAÈKO MJESTO 46.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;1190;520;520;501;19;138;100;218;45
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;047;PULA-POLA, BIRAÈKO MJESTO 47.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;896;385;385;367;18;94;91;147;35
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;048;PULA-POLA, BIRAÈKO MJESTO 48.;"OŠ ""KAŠTANJER""";RIMSKE CENTURIJACIJE 29, PULA-POLA;1056;405;405;379;26;96;82;157;44
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;049;PULA-POLA, BIRAÈKO MJESTO 49.;PROSTORIJE MO MONVIDAL;VALTURSKA ULICA 2, PULA-POLA;864;328;327;305;22;68;93;120;24
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;050;PULA-POLA, BIRAÈKO MJESTO 50.;FILOZOFSKI FAKULTET;MATETIÆA RONJGOVA 1, PULA-POLA;709;235;235;222;13;56;41;101;24
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;051;PULA-POLA, BIRAÈKO MJESTO 51.;FILOZOFSKI FAKULTET;ULICA MATETIÆA RONJGOVA 1, PULA-POLA;660;274;273;263;10;73;51;112;27
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;001;ROVINJ;DOM KULTURE;TRG M.TITA 3;808;192;191;184;7;39;39;95;11
