Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BLAŽENKO BOBAN;RANKO OSTOJIÆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;005;BORAK;PROSTORIJE NIKŠE ÈEÈUKA;BORAK, PUT BORKA 67;151;38;38;34;4;13;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;006;BRZET;PROSTORIJE   HOTELSKOG NASELJA BRZET;OMIŠ;145;26;26;25;1;9;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;007;NEMIRA;"PROSTORIJE MJESNOG ODBORA NEMIRA ""IGRALIŠTE"" U NEMIRI";PUT NEMIRE;421;94;94;92;2;60;32
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;008;ÈELINA-STANIÆI;MJESNI ODBOR;STANIÆI;762;113;113;109;4;74;35
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;009;LOKVA ROGOZNICA;PROSTORIJE MJESNOG ODBORA;LOKVA ROGOZNICA, IVAŠNJAK 3;505;64;64;62;2;38;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;010;MIMICE;PROSTORIJE TURIST BIROA;MIMICE;261;81;81;77;4;58;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;011;MARUŠIÆI;SPOMEN DOM U MARUŠIÆIMA, PROSTORIJE MJESNOG ODBORA;MARUŠIÆI, PUT DVORA 35;212;34;34;33;1;18;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;012;PISAK;PROSTORIJE BIVŠE OSNOVNE ŠKOLE U PISKU;PISAK;245;45;45;44;1;23;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;013;SEOCA;PROSTORIJE ZADRUŽNOG DOMA U SEOCIMA;SEOCA;120;53;53;53;0;51;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;014;KOSTANJE;PROSTORIJE U ZADRUŽNOM DOMU U KOSTANJAMA;KOSTANJE;532;134;134;131;3;112;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;015;PODGRAÐE;PROSTORIJE OSNOVNE ŠKOLE U PODGRAÐU;PODGRAÐE;234;75;75;71;4;63;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;016;SLIME;PROSTORIJE OSNOVNE ŠKOLE U SLIMENU;SLIME;253;58;58;53;5;30;23
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;017;KUÈIÆE;PROSTORIJE OSNOVNE ŠKOLE;KUÈIÆE;583;121;121;115;6;101;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;018;SVINIŠÆE;PROSTORIJE ZADRUŽNOG DOMA;SVINIŠÆE;116;34;34;32;2;29;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;019;ZVEÈANJE;PROSTORIJE MJESNOG ODBORA U ZVEÈANJU;ZVEÈANJE;227;60;60;59;1;49;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;020;OSTRVICA DONJA;PROSTORIJE MJESNOG ODBORA (ANTONSKA KUÆA);OSTRVICA DONJA;105;34;34;31;3;26;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;021;OSTRVICA GORNJA;PROSTORIJE HPT-A U OSTRVICI GORNJOJ;OSTRVICA GORNJA;60;21;21;21;0;20;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;022;ÈIŠLA;PROSTORIJE OSNOVNE ŠKOLE;ÈIŠLA;256;49;49;47;2;40;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;023;GATA;PROSTORIJE  DOMA KULTURE;GATA;486;139;139;136;3;90;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;024;ZAKUÈAC;PROSTORIJE MJESNOG ODBORA;ZAKUÈAC;126;30;30;27;3;23;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;025;NAKLICE;PROSTORIJE OSNOVNE ŠKOLE;NAKLICE;205;71;71;67;4;57;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;026;TUGARE  -DOÈINE;PROSTORIJE ZADRUŽNOG DOMA U DOÈINAMA;TUGARE-DOÈINE;371;104;104;96;8;67;29
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;027;TUGARE - PODUME-RAÈNIK;PROSTORIJE MJESNOG ODBORA TUGARE-PODUME-RAÈNIK;TUGARE;325;79;79;77;2;56;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;028;TUGARE   - ÈAŽIN DOLAC;PROSTORIJE MJESNOG ODBORA U ÈAŽIN DOCU;TUGARE;84;23;23;22;1;20;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;029;DUBRAVA;PROSTORIJE OSNOVNE ŠKOLE;DUBRAVA;255;59;59;56;3;54;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;030;BLATO NA CETINI;PROSTORIJE MJESNOG ODBORA (IZNAD POŠTE);BLATO NA CETINI;407;98;98;94;4;82;12
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;031;NOVA SELA;PROSTORIJE MJESNOG ODBORA U NOVIM SELIMA;NOVA SELA;175;47;47;44;3;41;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;032;TRNBUSI;PROSTORIJE BIVŠE OSNOVNE ŠKOLE U TRNBUSIMA;TRNBUSI 86;144;22;22;21;1;16;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;033;SRIJANE I -ZIDINE;PROSTORIJE MJESNOG ODBORA U SRIJANIMA;SRIJANE;30;7;7;7;0;7;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;034;SRIJANE  II -NEÈAJ;PROSTORIJE OSNOVNE ŠKOLE U SRIJANIMA;SRIJANE;184;37;37;36;1;21;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;035;GORNJI DOLAC;PROSTORIJE OSNOVNE ŠKOLE U GORNJEM DOCU;GORNJI DOLAC;113;35;35;32;3;25;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;036;DONJI DOLAC I - RUPA;PROSTORIJE BIVŠE O.Š. RUPA-DONJI DOLAC;DONJI DOLAC;151;44;44;44;0;38;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;037;DONJI DOLAC II  - SMAJIÆI;PROSTORIJE BIVŠE O.Š. SMAJIÆI-DONJI DOLAC;DONJI DOLAC;70;31;31;30;1;25;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;038;DONJI DOLAC III -ROŠCA;OBITELJSKA KUÆA POK.ŽELJKA ŠOŠIÆA, DONJI DOLAC 173B, ROŠCA;DONJI DOLAC;78;16;16;8;8;5;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;039;PUTIŠIÆI;PROSTORIJE MJESNOG ODBORA U PUTIŠIÆIMA;PUTIŠIÆI;35;23;23;23;0;22;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;001;BIRAÈKO MJESTO 1. U SINJU;GALERIJA GALIOTOVIÆ;BRNAŠKA 44;927;441;441;398;43;238;160
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;002;BIRAÈKO MJESTO 2. U SINJU;GALERIJA GALIOTOVIÆ;BRNAŠKA 44;1676;846;845;804;41;528;276
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;003;BIRAÈKO MJESTO 3. U SINJU;"DJEÈJI VRTIÆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;851;445;445;408;37;224;184
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;004;BIRAÈKO MJESTO 4. U SINJU;"DJEÈJI VRTIÆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;1600;746;746;697;49;456;241
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;005;BIRAÈKO MJESTO 5. U SINJU;"OŠ ""MARKA MARULIÆA""";VLADIMIRA NAZORA 33;1855;969;969;877;92;509;368
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;006;BIRAÈKO MJESTO 6. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1209;577;577;529;48;307;222
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;007;BIRAÈKO MJESTO 7. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1532;726;726;687;39;462;225
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;008;BIRAÈKO MJESTO 8. U BRNAZAMA;"DJEÈJI VRTIÆ ""ALKARIÆ""";BRNAZE;967;523;523;494;29;387;107
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;009;BIRAÈKO MJESTO 9. U BRNAZAMA;OŠ BRNAZE;BRNAZE;1779;996;996;942;54;720;222
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;010;BIRAÈKO MJESTO 10. U TURJACIMA;OŠ TURJACI;TURJACI;962;443;443;418;25;360;58
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;011;BIRAÈKO MJESTO 11. U GLAVICAMA DONJIM;OŠ U GLAVICAMA;GLAVICE DONJE;1731;799;798;759;39;507;252
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;012;BIRAÈKO MJESTO 12. GLAVICE GORNJE;OŠ U GLAVICAMA, GLAVICE DONJE;OŠ U GLAVICAMA, GLAVICE DONJE;1472;678;678;630;48;451;179
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;013;BIRAÈKO MJESTO 13. U HANU;OŠ U HANU;HAN;723;286;285;273;12;224;49
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;014;BIRAÈKO MJESTO 14. U BAJAGIÆU;OŠ BAJAGIÆ;BAJAGIÆ;492;200;200;185;15;153;32
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;015;BIRAÈKO MJESTO 15. U GLJEVU;OŠ U GLJEVU;GLJEV;278;143;143;132;11;113;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;016;BIRAÈKO MJESTO 16. U RADOŠIÆU;OŠ U RADOŠIÆU;RADOŠIÆ;565;282;282;255;27;193;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;017;BIRAÈKO MJESTO 17. U SUHAÈU;"PODUZEÆE ""CIGLANE"" U SLANICI";SLANICA;488;338;338;290;48;185;105
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;018;BIRAÈKO MJESTO 18. U LUÈANIMA;OŠ U LUÈANIMA;LUÈANI;538;312;312;297;15;219;78
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;019;BIRAÈKO MJESTO 19. U KARAKAŠICI;OŠ U KARAKAŠICI;KARAKAŠICA;595;337;336;299;37;224;75
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;020;BIRAÈKO MJESTO 20. U JASENSKOM;KUÆA MARIJE ŠUŠNJARE;JASENSKO 55 A;294;134;134;126;8;105;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;021;BIRAÈKO MJESTO 21. U ÈITLUKU;OŠ U ÈITLUKU;ÈITLUK;419;261;261;248;13;221;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;022;BIRAÈKO MJESTO 22. U ZELOVU;"U PROSTORIJAMA BIVŠEG PODUZEÆA ""KONKURENT"" (BIVŠA PRODAVAONICA)";ZELOVO;143;80;80;74;6;68;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;001;CENTAR I;PROSTORIJE ZGRADE GRADSKE UPRAVE GRADA SOLINA;STJEPANA RADIÆA 42, SOLIN;946;455;455;428;27;255;173
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;002;CENTAR II;PROSTORIJE CRVENOG KRIŽA GRADA SOLINA;KRALJA ZVONIMIRA  117 D;579;270;270;255;15;155;100
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;003;CENTAR III;OŠ DON LOVRE KATIÆA;PUT MAJDANA 3, SOLIN;556;230;230;219;11;135;84
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;004;CENTAR IV;OSNOVNA ŠKOLA DON LOVRE KATIÆA;PUT MAJDANA 3, SOLIN;433;194;194;182;12;100;82
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;005;CENTAR V;PROSTORIJE O.Š. DON LOVRE KATIÆA;PUT MAJDANA 3;456;231;231;208;23;129;79
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;006;KUÈINE;PROSTORIJE DRUŠTVENOG DOMA KUÈINE;DRAGE MARKOVIÆA 35, SOLIN;900;451;451;409;42;247;162
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;007;MRAVINCE I;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";GAJEVA ULICA 45, MRAVINCE;985;466;466;434;32;308;126
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;008;MRAVINCE II;"OSNOVNA ŠKOLA ""KRALJICE JELENE """;GAJEVA ULICA 45, MRAVINCE;467;237;237;222;15;137;85
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;009;PRIKO VODA I;"PROSTORIJA OSNOVE ŠKOLU""KRALJICE JELENE";SOLIN, PUT MIRA 3;895;380;380;352;28;245;107
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;010;PRIKO VODE II;O.Š. KRALJICE JELENE;PUT MIRA 3, SOLIN;1107;418;418;370;48;241;129
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;011;PRIKO VODE III;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA  3 SOLIN;1159;470;469;429;40;288;141
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;012;PRIKO VODE IV;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;931;417;415;385;30;260;125
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;013;PRIKO VODE V;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;910;388;388;350;38;246;104
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;014;PRIKO VODE VI;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;1005;387;387;360;27;255;105
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;015;VRANJIC;KULTURNI CENTAR DON F. BULIÆA;OBALA POMORACA 77, VRANJIC;950;465;465;440;25;301;139
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;016;RUPOTINA I;OŠ DON LOVRE KATIÆA - PODRUÈNA ŠKOLA RUPOTINA;ANTE STARÈEVIÆA 143;488;196;196;171;25;123;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;017;RUPOTINA II;OŠ DON LOVRE KATIÆA PODRUÈNA ŠKOLA RUPOTINA;ANTE STARÈEVIÆA 143;784;392;392;360;32;239;121
