Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVICA PULJAK;VICE MIHANOVIÆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;012;SPLIT;O.Š. MANUŠ;VUKOVARSKA 11;619;266;266;261;5;189;72
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;013;SPLIT;DJEÈJI VRTIÆ DUGA;MAŽURANIÈEVO ŠET.12 A;543;284;284;276;8;190;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;014;SPLIT;"O.Š. ""BOL""";HRVATSKIH ISELJENIKA 10;576;238;238;230;8;175;55
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;015;SPLIT;DJEÈJI VRTIÆ LAVANDA;VUKOVARSKA 45;700;328;328;313;15;222;91
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;016;SPLIT;O.Š. BOL;HRV.ISELJENIKA 10;473;198;198;197;1;127;70
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;017;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;1250;528;528;515;13;298;217
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;018;SPLIT;DJEÈJI VRTIÆ FRULICA;ULICA SLOBODE 32;646;281;281;272;9;183;89
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;019;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;712;354;354;344;10;222;122
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;020;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;565;259;259;250;9;172;78
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;021;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;676;290;290;277;13;166;111
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;022;SPLIT;DJEÈJI VRTIÆ POTOÈNICA II;TRŠÈANSKA 35;638;284;284;276;8;190;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;023;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;657;257;257;252;5;175;77
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;024;SPLIT;O.Š. DOBRI;KLIŠKA 25;795;395;395;383;12;235;148
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;025;SPLIT;O.Š. DOBRI;KLIŠKA 25;624;292;292;279;13;149;130
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;026;SPLIT;O.Š. DOBRI;KLIŠKA 25;649;248;248;242;6;150;92
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;027;SPLIT;O.Š. DOBRI;KLIŠKA 25;513;238;238;231;7;161;70
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;028;SPLIT;PARKOVI I NASADI;KAVANJINOVA 12;468;216;216;212;4;163;49
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;029;SPLIT;GRADSKI KOTAR GRAD;OBALA HRV.PREPORODA 10/1;388;151;151;148;3;82;66
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;030;SPLIT;GRADSKI KOTAR GRAD;OBALA HRV.PREPORODA 10/1;301;122;122;118;4;62;56
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;031;SPLIT;O.Š. DOBRI;KLIŠKA 25;771;332;332;327;5;228;99
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;032;SPLIT;DJEÈJI VRTIÆ PALÈIÆ;OSJEÈKA 3;548;237;237;232;5;132;100
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;033;SPLIT;DJEÈJI VRTIÆ BOSILJAK;OSJEÈKA 24;721;339;339;327;12;223;104
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;034;SPLIT;GRADSKI KOTAR GRIPE;MATICE HRVATSKE 16;772;362;362;359;3;233;126
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;035;SPLIT;DJEÈJI VRTIÆ MIKI;OSJEÈKA 12;859;413;413;407;6;265;142
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;036;SPLIT;SPORTSKI CENTAR GRIPE;OSJEÈKA 11;790;345;345;334;11;208;126
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;037;SPLIT;SPORTSKI CENTAR GRIPE;OSJEÈKA 11;858;382;382;367;15;236;131
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;038;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;879;344;344;336;8;164;172
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;039;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1016;401;401;384;17;189;195
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;040;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;817;304;304;296;8;205;91
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;041;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;840;329;328;317;11;191;126
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;042;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;798;296;296;281;15;118;163
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;043;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1198;414;414;404;10;196;208
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;044;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1134;416;416;404;12;215;189
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;045;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1004;362;362;357;5;219;138
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;046;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1398;646;646;632;14;426;206
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;047;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1561;642;642;623;19;390;233
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;048;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1668;778;778;759;19;517;242
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;049;SPLIT;POMORSKA ŠKOLA;ZRINJSKO FRANKOPANSKA 36;1549;654;654;634;20;347;287
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;050;SPLIT;O.Š. SKALICE;PUT SKALICA 18;998;452;452;440;12;321;119
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;051;SPLIT;O.Š. SKALICE;PUT SKALICA 18;913;455;455;446;9;263;183
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;052;SPLIT;DJEÈJI VRTIÆ VESELI DANI;STARÈEVIÆEVA 32;744;348;348;341;7;238;103
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;053;SPLIT;O.Š. SKALICE;PUT SKALICA 18;647;283;283;278;5;217;61
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;054;SPLIT;POMORSKA ŠKOLA;ZRINJSKO FRANKOPANSKA 36;669;310;309;299;10;196;103
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;055;SPLIT;DJEÈJI VRTIÆ ÈAROBNI PIANINO;TERZIÆEVA 9;1055;446;446;430;16;261;169
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;056;SPLIT;ZGRADA STANOUPRAVE;PUT SKALICA 18;1159;629;629;604;25;411;193
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;057;SPLIT;O.Š. SKALICE;PUT SKALICA 18;874;417;417;406;11;281;125
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;058;SPLIT;GIMNAZIJA VLADIMIR NAZOR;ZAGREBAÈKA 2;722;309;309;298;11;186;112
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;059;SPLIT;DJEÈJI VRTIÆ MALA SIRENA;KNEZA VIŠESLAVA 24;678;331;331;322;9;227;95
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;060;SPLIT;GIMNAZIJA VLADIMIR NAZORA;ZAGREBAÈKA 2;769;333;333;328;5;228;100
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;061;SPLIT;O.Š. LUÈAC;OMIŠKA 27;691;336;336;328;8;239;89
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;062;SPLIT;O.Š. LUÈAC;OMIŠKA 27;558;221;220;217;3;119;98
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;063;SPLIT;GIMNAZIJA VLADIMIR NAZOR;ZAGREBAÈKA 2;690;327;327;315;12;195;120
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;064;SPLIT;GRADSKI KOTAR LUÈAC-MANUŠ;OMIŠKA 16;719;370;370;354;16;217;137
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;065;SPLIT;GRADSKI KOTAR MEJE;NJEGOŠEVA 1 A;706;350;350;339;11;243;96
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;066;SPLIT;O.Š. MEJE;S. GUNJAÈE 1;618;296;296;286;10;190;96
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;067;SPLIT;O.Š. MEJE;S. GUNJAÈE 1;999;496;494;480;14;269;211
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;068;SPLIT;DJEÈJI VRTIÆ KAŠTELET;T.P MAROVIÆA 4;834;409;409;393;16;182;211
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;069;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;982;468;468;444;24;281;163
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;070;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;779;341;341;329;12;206;123
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;071;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;812;340;340;334;6;215;119
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;072;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;1042;465;464;437;27;256;181
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;073;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;855;403;402;390;12;232;158
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;074;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;1290;569;567;555;12;342;213
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;075;SPLIT;O.Š. PLOKITE;SLAVONSKA 13;715;302;302;301;1;213;88
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;076;SPLIT;OŠ PLOKITE;SLAVONSKA ULICA 13;871;386;386;379;7;275;104
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;077;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;668;291;291;284;7;194;90
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;078;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;778;305;305;295;10;208;87
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;079;SPLIT;O.Š. PLOKITE;SLAVONSKA 13;604;240;240;236;4;166;70
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;080;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;901;421;421;410;11;280;130
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;081;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;988;379;377;371;6;232;139
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;082;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1105;462;462;448;14;185;263
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;083;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1021;386;386;373;13;247;126
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;084;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1149;477;477;470;7;295;175
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;085;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1035;456;456;444;12;282;162
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;086;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;808;306;306;293;13;151;142
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;087;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;730;285;285;276;9;138;138
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;088;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;692;254;254;250;4;138;112
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;089;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;708;239;239;234;5;146;88
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;090;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;817;310;310;293;17;170;123
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;091;SPLIT;GRADSKI KOTAR RAVNE NJIVE;HERCEGOVAÈKA 40;1207;530;526;510;16;282;228
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;092;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;662;266;266;253;13;135;118
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;093;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;920;455;455;446;9;285;161
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;094;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;861;431;431;425;6;300;125
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;095;SPLIT;O.Š. SPINUT;TESLINA 12;735;353;353;343;10;221;122
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;096;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;728;368;368;359;9;256;103
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;097;SPLIT;O.Š. SPINUT;TESLINA 12;538;271;271;264;7;196;68
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;098;SPLIT;ELEKTROTEHNIÈKA ŠKOLA;TESLINA 2;726;360;360;356;4;278;78
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;099;SPLIT;O.Š. SPINUT;TESLINA 12;785;382;380;360;20;274;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;100;SPLIT;O.Š. SPINUT;TESLINA 12;833;417;417;407;10;322;85
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;101;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;834;420;419;409;10;267;142
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;102;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;827;395;394;373;21;272;101
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;103;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;775;390;390;370;20;240;130
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;104;SPLIT;GRADSKI KOTAR SPLIT III;GETALDIÆEVA 13;743;343;343;328;15;226;102
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;105;SPLIT;GRADSKI KOTAR SPLIT III;GETALDIÆEVA 13;671;281;281;275;6;189;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;106;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;882;313;313;306;7;223;83
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;107;SPLIT;FESB;RUÐERA BOŠKOVIÆA;956;399;399;384;15;229;155
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;108;SPLIT;FAKULTET GRAÐEVINSKIH ZNANOSTI;MATICE HRVATSKE 15;624;280;280;269;11;164;105
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;109;SPLIT;FESB;RUÐERA BOŠKOVIÆA;929;375;375;361;14;245;116
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;110;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1085;429;428;415;13;201;214
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;111;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1297;495;495;479;16;232;247
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;112;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;786;305;305;296;9;166;130
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;113;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;825;334;334;320;14;224;96
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;114;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1066;368;368;355;13;175;180
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;115;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1105;434;433;419;14;229;190
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;116;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1218;483;483;467;16;257;210
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;117;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;842;290;290;284;6;184;100
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;118;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;1008;429;429;414;15;254;160
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;119;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;811;382;382;366;16;254;112
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;120;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;933;414;414;403;11;256;147
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;121;SPLIT;GRADSKI KOTAR TRSTENIK;PUT TRSTENIKA 1;862;349;349;340;9;230;110
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;122;SPLIT;GRADSKI KOTAR TRSTENIK;PUT TRSTENIKA 1;1164;481;481;472;9;307;165
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;123;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;1094;494;484;473;11;269;204
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;124;SPLIT;KRUH SV.ANTE;SINOVÈIÆA 6;920;372;372;366;6;204;162
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;125;SPLIT;KLUB DVORANA;SINOVÈIÆA 6;775;304;304;294;10;145;149
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;126;SPLIT;DJEÈJI VRTIÆ TAMARIN;NAZOROV PRILAZ 20;749;360;360;353;7;196;157
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;127;SPLIT;O.Š. MARJAN;GAJEVA 1;859;336;335;321;14;192;129
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;128;SPLIT;O.Š. MARJAN;GAJEVA 1;885;404;404;391;13;249;142
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;129;SPLIT;O.Š. BRDA;BRDA 2;970;379;379;367;12;121;246
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;130;SPLIT;O.Š.BRDA;BRDA 2;1030;421;420;402;18;189;213
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;131;SPLIT;O.Š.BRDA;BRDA 2;932;454;454;434;20;163;271
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;132;SPLIT;O.Š.BRDA;BRDA 2;998;436;436;426;10;184;242
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;133;SPLIT;O.Š.BRDA;BRDA 2;991;405;405;397;8;195;202
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;134;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1642;731;731;717;14;218;499
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;135;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1147;504;504;485;19;118;367
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;136;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;869;366;366;360;6;92;268
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;137;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1106;522;522;510;12;132;378
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;138;SPLIT;OŠ MEJAŠI;MEJAŠI 20;1293;672;672;650;22;300;350
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;139;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1646;765;765;753;12;243;510
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;140;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;1010;417;417;398;19;179;219
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;141;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;932;364;364;352;12;132;220
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;142;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;1071;415;415;404;11;128;276
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;143;SPLIT;GRADSKI KOTAR SIROBUJA;MANDIÈEVA 30;1110;449;444;437;7;123;314
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;144;SPLIT;GRADSKI KOTAR SIROBUJA;MANDIÆEVA 34;1353;572;572;561;11;165;396
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;145;SPLIT;GRADSKI KOTAR ŠINE;JOSIPOVA 2;1539;621;612;591;21;188;403
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;146;SPLIT;O.Š.VISOKA;VRH VISOKE 8;1626;679;679;653;26;287;366
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;147;SPLIT;GRADSKI KOTAR VISOKA;CESTA MIRA 3;1287;658;658;640;18;265;375
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;148;SPLIT;O.Š.VISOKA;VRH VISOKE 8;1300;560;560;547;13;155;392
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;149;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1206;556;556;542;14;292;250
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;150;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1147;506;506;491;15;261;230
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;151;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1648;712;712;695;17;415;280
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;152;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1293;580;580;557;23;286;271
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;153;SITNO DONJE;DRUŠTVENI DOM SITNO DONJE;HRVATSKIH DRAGOVOLJACA 48;238;163;163;158;5;27;131
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;154;SITNO GORNJE;DRUŠTVENI DOM SITNO GORNJE;SITNO GORNJE;219;128;128;125;3;43;82
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;155;SITNO GORNJE-SIROTKOVIÆI;DRUŠTVENI DOM SIROTKOVIÆI;SITNO GORNJE;134;76;76;74;2;23;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;156;KAMEN;MJESNI ODBOR KAMEN;SV.MIHOVILA 5;1578;662;662;645;17;192;453
