Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR MANDIÆ;DAVOR PETRAÈIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;031;BIRAÈKO MJESTO BR. 31;GIMNAZIJA KARLOVAC;RAKOVAC 4;1184;440;440;428;12;191;237
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;032;BIRAÈKO MJESTO BR. 32;EKONOMSKA ŠKOLA KARLOVAC;KURELÈEVA 2;231;96;96;94;2;24;70
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;033;BIRAÈKO MJESTO BR. 33;PROSTORIJE GRADSKE ÈETVRTI RAKOVAC;DOMOBRANSKA 20 C;1233;541;540;520;20;212;308
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;034;BIRAÈKO MJESTO BR. 34;GIMNAZIJA KARLOVAC;RAKOVAC 4;506;199;199;192;7;118;74
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;035;BIRAÈKO MJESTO BR. 35;PROSTORIJE MO LOGORIŠTE;LOGORIŠTE 38;319;152;152;147;5;87;60
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;036;BIRAÈKO MJESTO BR. 36;PROSTORIJE MO MALA ŠVARÈA;MALA ŠVARÈA 84;691;309;309;308;1;196;112
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;037;BIRAÈKO MJESTO BR. 37;PROSTORIJE GÈ ŠVARÈA;TRG SV.FRANJE KSAVERSKOG 2;915;372;371;366;5;190;176
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;038;BIRAÈKO MJESTO BR. 38;PROSTORIJE GÈ ŠVARÈA;TRG SV.FRANJE KSAVERSKOG 2;1816;649;649;637;12;316;321
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;039;BIRAÈKO MJESTO BR. 39;PROSTORIJE GÈ LUŠÈIÆ-JAMADOL;MEDOVIÆEVA 5 C;1075;460;460;455;5;194;261
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;040;BIRAÈKO MJESTO BR. 40;PROSTORIJE GÈ LUŠÈIÆ-JAMADOL;MEDOVIÆEVA 5 C;1177;471;471;464;7;179;285
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;041;BIRAÈKO MJESTO BR. 41;ŠPORTSKA STRELJANA;JAMADOLSKA 2 A;845;384;384;375;9;181;194
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;042;BIRAÈKO MJESTO BR. 42;MO LADVENJAK-DOM SELIŠÆE;LADVENJAK 56 B;163;80;80;78;2;54;24
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;043;BIRAÈKO MJESTO BR. 43;DRUŠTVENI DOM LADVENJAK;LADVENJAK 101 B;177;50;50;47;3;36;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;044;BIRAÈKO MJESTO BR. 44;OSNOVNA ŠKOLA TUŠILOVIÆ;TUŠILOVIÆ 58;788;328;328;328;0;302;26
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;045;BIRAÈKO MJESTO BR. 45;PROSTORIJE GRADSKE ÈETVRTI MOSTANJE;MOSTANJE 94;515;189;189;188;1;93;95
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;046;BIRAÈKO MJESTO BR. 46;PROSTORIJE GRADSKE ÈETVRTI MOSTANJE-KUD-A MOSTANJE;MOSTANJE 94;556;234;234;232;2;134;98
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;047;BIRAÈKO MJESTO BR. 47;PRIVATNA KUÆA ŽELJKA STAVLJENIÆA;JELAŠI 74;356;130;130;127;3;80;47
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;048;BIRAÈKO MJESTO BR. 48;DRUŠTVENI DOM TURANJSKI GOLJAKI;TURANJSKI GOLJAKI;262;104;104;102;2;77;25
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;049;BIRAÈKO MJESTO BR. 49;DRUŠTVENI DOM ZASTINJA;ZASTINJA 11;125;91;91;88;3;75;13
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;050;BIRAÈKO MJESTO BR. 50;PROSTORIJE GÈ TURANJ;BRAÆE GOJAK 4;1179;392;392;380;12;214;166
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;051;BIRAÈKO MJESTO BR. 51;PROSTORIJE GÈ TURANJ,PROSTORIJA SAJEVAC;BRAÆE GOJAK 111;483;117;117;114;3;80;34
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;052;BIRAÈKO MJESTO BR. 52;PROSTORIJE MO KAMENSKO;KAMENSKO 73 B;410;150;150;147;3;94;53
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;053;BIRAÈKO MJESTO BR. 53;PROSTORIJE MO GORNJE MEKUŠJE;MEKUŠANSKA CESTA 63;416;171;171;165;6;94;71
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;054;BIRAÈKO MJESTO BR. 54;PROSTORIJE MO CEROVAC VUKMANIÆKI;CEROVAC VUKMANIÆKI 58;822;261;261;258;3;210;48
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;055;BIRAÈKO MJESTO BR. 55;PROSTORIJE MO VUKMANIÆ;VUKMANIÆ 88;188;113;113;110;3;95;15
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;056;BIRAÈKO MJESTO BR. 56;PROSTORIJE MO  POPOVIÆ BRDO;POPOVIÆ BRDO 30 B;239;106;106;106;0;96;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;057;BIRAÈKO MJESTO BR. 57;PROSTORIJE MO POPOVIÆ BRDO;POPOVIÆ BRDO 30 B;128;25;25;25;0;14;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;058;BIRAÈKO MJESTO BR. 58;PROSTORIJE MO KABLAR;KABLAR 12;152;91;91;90;1;69;21
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;059;BIRAÈKO MJESTO BR. 59;PRIVATNA KUÆA ANDRIJE KLOBUÈARA;SLUNJSKA SELNICA 51;62;54;54;54;0;25;29
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;060;BIRAÈKO MJESTO BR. 60;PRIVATNA KUÆA ŽELJKA BABURIÆA;BANSKA SELNICA 53;75;68;68;66;2;63;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;061;BIRAÈKO MJESTO BR. 61;PROSTORIJE OSNOVNE ŠKOLE SKAKAVAC;SKAKAVAC 44;249;135;135;134;1;90;44
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;062;BIRAÈKO MJESTO BR. 62;PRIVATNA KUÆA MATE JOHA;SLUNJSKI MORAVCI  3;66;28;28;26;2;16;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;063;BIRAÈKO MJESTO BR. 63;PROSTORIJE MO SJENIÈAK-UTINJA;GORNJI SJENIÈAK 260;217;14;14;14;0;9;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;064;BIRAÈKO MJESTO BR. 64;TRGOVINA TIBICEN;UTINJA 3 A;113;32;32;32;0;30;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;065;BIRAÈKO MJESTO BR. 65;STARA ŠKOLA DUBOVAC;DUBOVAC 8;353;117;117;116;1;54;62
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;066;BIRAÈKO MJESTO BR. 66;PROSTORIJE GÈ DUBOVAC;DUBOVAC 11;807;327;327;325;2;138;187
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;067;BIRAÈKO MJESTO BR. 67;OSNOVNA ŠKOLA DUBOVAC;PRIMORSKA 9;593;213;213;204;9;94;110
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;068;BIRAÈKO MJESTO BR. 68;PROSTORIJE MJESNOG ODBORA, BORLIN;V.BOGOVIÆA 17;1308;621;621;605;16;302;303
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;069;BIRAÈKO MJESTO BR. 69;PROSTORIJE MO ZAGRAD-KALVARIJA-VUÈJAK;KALVARIJA 7 B;665;266;266;265;1;152;113
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;070;BIRAÈKO MJESTO BR. 70;PROSTORIJE MO VELIKA JELSA;DONJA JELSA 186;1407;492;492;484;8;243;241
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;071;BIRAÈKO MJESTO BR. 71;PROSTORIJE MO MALA JELSA;MALA JELSA 9 A;294;150;150;149;1;94;55
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;072;BIRAÈKO MJESTO BR. 72;OSNOVNA ŠKOLA ZADOBARJE;ZADOBARJE;304;158;158;156;2;118;38
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;073;BIRAÈKO MJESTO BR. 73;PROSTORIJE MO GORNJE STATIVE;GORNJE STATIVE 1 A;357;176;176;176;0;134;42
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;074;BIRAÈKO MJESTO BR. 74;"OSNOVNA ŠKOLA ""BRAÆE SELJAN""";DOMOBRANSKA 2;567;242;241;233;8;79;154
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;075;BIRAÈKO MJESTO BR. 75;"OSNOVNA ŠKOLA ""BRAÆA SELJAN""";DOMOBRANSKA 2;863;361;361;355;6;160;195
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;076;BIRAÈKO MJESTO BR. 76;PROSTORIJE GÈ ZVIJEZDA;GUNDULIÆEVA 8;462;189;189;188;1;77;111
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;077;BIRAÈKO MJESTO BR. 77;OSNOVNA ŠKOLA BANIJA;DR.GAJE PETROVIÆA 5;418;157;157;157;0;80;77
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;078;BIRAÈKO MJESTO BR. 78;PROSTORIJE GÈ BANIJA;A.STARÈEVIÆA 20;323;134;134;125;9;57;68
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;079;BIRAÈKO MJESTO BR. 79;OSNOVNA ŠKOLA BANIJA;DR.GAJE PETROVIÆA 5;632;227;227;222;5;126;96
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;080;BIRAÈKO MJESTO BR. 80;PROSTORIJE GÈ BANIJA;A.STARÈEVIÆA 20;443;138;138;134;4;59;75
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;081;BIRAÈKO MJESTO BR. 81;OSNOVNA ŠKOLA BANIJA (PREDVORJE LIJEVO);DR.GAJE PETROVIÆA 5;355;124;124;121;3;70;51
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;082;BIRAÈKO MJESTO BR. 82;PRIVATNA KUÆA NIKOLE I MIRE ŠKRGIÆ;BANIJA 99;284;151;151;144;7;92;52
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;083;BIRAÈKO MJESTO BR. 83;ŠERIF EXPORT-IMPORT D.O.O.;ZAGREBAÈKA 19;242;85;85;78;7;37;41
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;084;BIRAÈKO MJESTO BR.84;GRADSKA ÈETVRT DREŽNIK;DUBROVAÈKA 5 B;818;318;318;303;15;147;156
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;085;BIRAÈKO MJESTO BR.85;PROSTORIJE GÈ DREŽNIK;DUBROVAÈKA 5 B;327;125;125;117;8;73;44
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;086;BIRAÈKO MJESTO BR. 86;OSNOVNA ŠKOLA HRNETIÆ;HRNETIÆ 20;570;226;226;218;8;132;86
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;087;BIRAÈKO MJESTO BR.87;PROSTORIJE MO DONJE POKUPJE;DONJE POKUPJE 72;440;249;249;239;10;164;75
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;088;BIRAÈKO MJESTO BR 88;PROSTORIJE MO MAHIÈNO-TUŠKANI;MAHIÈNO 92;405;133;133;129;4;67;62
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;089;BIRAÈKO MJESTO BR 89;OSNOVNA ŠKOLA MAHIÈNO;MAHIÈNO 1 C;244;91;91;90;1;57;33
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;090;BIRAÈKO MJESTO 90;VATROGASNI DOM DVD PRISELCI;PRISELCI 43 A;86;45;45;45;0;35;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;091;BIRAÈKO MJESTO BR 91;OSNOVNA ŠKOLA GORŠÆAKI;GORŠÆAKI 10;210;84;84;80;4;65;15
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;092;BIRAÈKO MJESTO BR.92;VATROGASNI DOM DVD TUŠKANI;TUŠKANI 11;264;115;115;109;6;90;19
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;093;BIRAÈKO MJESTO BR 93;PROSTORIJE MO KNEZ GORICA;KNEZ GORICA 40 A;106;70;70;70;0;64;6
