Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MAGDALENA KOMES;DARINKO DUMBOVIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;018;MALA GORICA;PODRUČNA ŠKOLA MALA GORICA;MALA GORICA;313;139;139;135;4;70;65
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;019;DONJA BUDIČINA;IGRALIŠTE U DONJOJ BUDIČINI;DONJA BUDIČINA (ŠATOR);229;117;117;115;2;90;25
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;020;TABORIŠTE;HRVATSKI DOM TABORIŠTE;TABORIŠTE;202;114;114;108;6;70;38
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;021;KRIŽ HRASTOVAČKI;PRIVATNA KUĆA ĐURE PEJAKOVIĆA;KRIŽ HRASTOVAČKI 22;256;137;137;131;6;96;35
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;022;HRASTOVICA;"NARODNI DOM ""STJEPAN RADIĆ"" HRASTOVICA";HRASTOVICA BB, HRASTOVICA;388;242;242;229;13;138;91
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;023;SREDNJE MOKRICE;DRUŠTVENI DOM SREDNJE MOKRICE;SREDNJE MOKRICE;185;103;103;100;3;67;33
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;024;NOVI FARKAŠIĆ;HRVATSKI DOM;NOVI FARKAŠIĆ;248;167;167;164;3;62;102
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;025;STRAŠNIK;HRVATSKI DOM STRAŠNIK;STRAŠNIK 26/A;504;271;271;264;7;182;82
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;026;GRABERJE;DRUŠTVENI DOM GRABERJE;GRABERJE 7/A (ŠATOR);123;73;73;70;3;32;38
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;027;NEBOJAN;DRUŠTVENI DOM NEBOJAN;NEBOJAN;148;78;78;70;8;38;32
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;028;MOŠĆENICA;HRVATSKI DOM MOŠĆENICA;MOŠĆENICA, ULICA MARINA DRŽIĆA 7;1209;610;610;594;16;184;410
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;029;MOŠĆENICA;OSNOVNA ŠKOLA MOŠĆENICA;MOŠĆENICA;978;547;547;531;16;123;408
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;030;PRNJAVOR ČUNTIČKI;DIC;PRNJAVOR ČUNTIČKI 1/B;201;103;103;100;3;52;48
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;031;JABUKOVAC;OSNOVNA ŠKOLA;JABUKOVAC;612;327;327;320;7;79;241
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;032;BLINJA;HRVATSKI DOM BLINJA;BLINJA (ŠATOR);319;169;169;163;6;40;123
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;033;GRABOVAC BANSKI;CENTAR ZA ŠLJIVU I KESTEN;DONJA BAČUGA 108/C (ŠATOR);385;161;161;157;4;20;137
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;034;NOVO SELIŠTE;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);276;139;139;136;3;105;31
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;035;SLANA;DRUŠTVENI DOM;SLANA;226;114;114;109;5;98;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;036;PETRINJA;PODRUČNA ŠKOLA MATE LOVRAKA;ČEŠKO SELO, SISAČKA BB;1044;462;462;436;26;290;146
