Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN ANUŠIĆ;IVICA MANDIĆ;VESNA VUČEMILOVIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;013;TIBORJANCI;HRVATSKI DOM;BRAĆE RADIĆA 2;234;136;136;129;7;87;10;32
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;014;VELIŠKOVCI;OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 76;532;233;233;221;12;119;39;63
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;015;VINOGRADCI;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 28;206;111;111;108;3;50;13;45
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;001;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;529;269;269;258;11;167;37;54
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;002;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;603;248;247;236;11;150;26;60
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;003;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;634;235;235;218;17;152;27;39
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;004;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;743;298;298;284;14;201;31;52
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;005;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;763;327;327;304;23;190;48;66
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;006;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;475;204;204;177;27;128;19;30
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;007;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", VELIKA SALA";VUKOVARSKA 1;636;260;260;240;20;156;28;56
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;008;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", MALA SALA";VUKOVARSKA 1;584;197;197;185;12;129;25;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;009;RAKITOVICA;DRUŠTVENI DOM;VENOSEVA 44B;686;290;290;272;18;203;24;45
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;010;MIHOLJAČKI POREČ;MJESNI ODBOR;EUGENA KRAJA 59;134;84;84;80;4;55;12;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;011;GOLINCI;DRUŠTVENI DOM;KRALJA TOMISLAVA BB;344;131;131;129;2;105;13;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;012;RADIKOVCI;MJESNI ODBOR;MATIJE GUPCA 83;237;110;110;106;4;92;4;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;013;SVETI ĐURAĐ;MJESNI ODBOR;ŠKOLSKA 104;618;231;231;226;5;159;16;51
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;014;PODGAJCI PODRAVSKI;VATROGASNI DOM;VLADIMIRA NAZORA 134;509;174;174;167;7;113;5;49
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;001;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 1;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;515;212;212;192;20;101;49;42
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;002;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 2;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;509;248;248;229;19;129;49;51
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;003;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 3;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;587;227;227;219;8;113;57;49
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;004;ĐAKOVO;MUZEJ ĐAKOVŠTINE;ANTE STARČEVIĆA 34;732;344;344;315;29;178;74;63
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;005;ĐAKOVO;POSLOVNI PROSTOR;ANTE STARČEVIĆA 157;529;217;217;192;25;124;38;30
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;006;ĐAKOVO;CENTAR ZA KULTURU;KRALJA TOMISLAVA 13;635;301;301;287;14;196;44;47
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;007;ĐAKOVO;OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA;KRALJA TOMISLAVA 25;481;215;215;195;20;101;57;37
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;008;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 1;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;687;292;292;270;22;176;47;47
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;009;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 2;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;916;425;425;404;21;264;89;51
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;010;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 1;V.NAZORA 68;757;266;265;247;18;163;40;44
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;011;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 2;V.NAZORA 68;624;228;228;215;13;131;44;40
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;012;ĐAKOVO;HRVATSKA AGENCIJA ZA POLJOPRIVREDU I HRANU, URED U ĐAKOVU;V.NAZORA 1;449;180;180;169;11;104;45;20
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;013;ĐAKOVO;POSLOVNI PROSTOR;I.G.KOVAČIĆA 5;899;346;346;320;26;195;55;70
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;014;ĐAKOVO;POSLOVNI PROSTOR;KRALJA TOMISLAVA 67;697;273;273;259;14;159;58;42
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;015;ĐAKOVAČKI PISAK;OSNOVNA ŠKOLA;ĐAKOVAČKI PISAK;253;78;78;70;8;46;13;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;016;ĐAKOVO;STARI DVD, PROSTORIJA I.;MATIJE GUPCA 30;488;209;208;192;16;101;47;44
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;017;ĐAKOVO;STARI DVD, PROSTORIJA II.;MATIJE GUPCA 30;849;378;378;349;29;216;77;56
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;018;ĐAKOVO;PROTUPOŽARNI CENTAR;SPLITSKA BB;591;236;236;221;15;97;64;60
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;019;ĐAKOVO;CENTAR ZA SOCIJALNU SKRB;P.PRERADOVIĆA 2;517;187;187;169;18;97;47;25
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;020;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 1;P.PRERADOVIĆA 15;833;310;310;286;24;153;64;69
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;021;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 2;P.PRERADOVIĆA 15;611;265;265;252;13;146;53;53
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;022;ĐAKOVO;UPRAVNA ZGRADA DOMA ZDRAVLJA;P.PRERADOVIĆA 2;833;345;345;326;19;186;75;65
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;023;ĐAKOVO;ŠUMARIJA;J.PALMOTIĆA 18;992;380;377;350;27;172;105;73
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;024;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 1";ĐAKOVO;746;317;317;299;18;186;67;46
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;025;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 2";ĐAKOVO;788;400;400;378;22;235;80;63
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;026;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 1;SELCI ĐAKOVAČKI;839;306;305;299;6;203;46;50
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;027;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 2;SELCI ĐAKOVAČKI;662;244;244;232;12;144;42;46
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;028;KUŠEVAC;PODRUČNA OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA;KUŠEVAC;892;415;415;402;13;296;50;56
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;029;IVANOVCI ĐAKOVAČKI;DOM DVD-A;IVANOVCI ĐAKOVAČKI;481;202;202;186;16;127;25;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;030;ŠIROKO POLJE;MJESNI DOM;ŠIROKO POLJE;838;422;421;402;19;275;54;73
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;031;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 1;BUDROVCI;610;229;229;220;9;138;39;43
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;032;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 2;BUDROVCI;428;155;155;151;4;100;30;21
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;033;ĐURĐANCI;OSNOVNA ŠKOLA;ĐURĐANCI;355;143;143;134;9;86;14;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;034;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 1;PIŠKOREVCI;782;313;312;286;26;176;32;78
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;035;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 2;PIŠKOREVCI;808;336;336;321;15;209;48;64
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;036;NOVI PERKOVCI;PODRUČNA OSNOVNA ŠKOLA MATIJA GUBEC;NOVI PERKOVCI;194;101;101;97;4;82;11;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;001;NAŠICE;KLUB CRVENOG KRIŽA NAŠICE;PETRA PRERADOVIĆA 2;1081;495;493;477;16;256;92;129
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;002;NAŠICE;GRADSKO DRUŠTVO CRVENOG KRIŽA NAŠICE;UL. KRALJA TOMISLAVA 6;479;235;235;226;9;137;23;66
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;003;NAŠICE;DOM HRVATSKE VOJSKE;TRG DR. FRANJE TUĐMANA 16;377;203;201;191;10;105;40;46
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;004;NAŠICE;"PROSTORIJE ""ELEKTROSLAVONIJE""";NAŠICE;451;228;228;219;9;121;37;61
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;005;NAŠICE;PROSTORIJE GRADSKE UDRUGE UMIROVLJENIKA;SOKOLSKA ULICA 2 (DVORIŠTE ZGRADE);758;397;397;371;26;193;56;122
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;006;NAŠICE;"PROSTORIJE ŠAHOVSKOG KLUBA ""SLAVONAC""";ULICA JOSIPA JURJA STROSSMAYERA 9;510;222;222;211;11;124;33;54
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;007;NAŠICE;OSNOVNA ŠKOLA KRALJA TOMISLAVA;ULICA MATICE HRVATSKE 1;804;379;379;360;19;211;36;113
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;008;NAŠICE;"PROSTORIJE ""NAŠIČKI VODOVOD"" D.O.O.";VATROSLAVA LISINSKOG 63;222;93;93;91;2;57;11;23
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;009;NAŠICE;"PROSTORIJE NK ""RADNIK"" ŠIPOVAC";NAŠICE;303;120;120;118;2;69;17;32
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;010;NAŠICE;PREDVORJE SREDNJE ŠKOLE;NAŠICE;620;335;335;321;14;171;41;109
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;011;NAŠICE;VIŠENAMJENSKA DVORANA SREDNJE ŠKOLE;NAŠICE;1083;506;506;480;26;255;62;163
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;012;MARKOVAC NAŠIČKI;"PROSTORIJE SLOVAČKO KULTURNO UMJETNIČKE UDRUGE ""FRANJO STRAPAČ""";MARKOVAC NAŠIČKI;697;318;318;308;10;158;57;93
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;013;MARKOVAC NAŠIČKI;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA MARKOVAC NAŠIČKI;MARKOVAC NAŠIČKI;578;213;213;204;9;128;20;56
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;014;JELISAVAC;OSNOVNA ŠKOLA IVANA BRNJIKA SLOVAKA;JELISAVAC;725;310;310;299;11;188;57;54
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;015;JELISAVAC;KULTURNI CENTAR SLOVAKA;JELISAVAC;292;116;116;111;5;74;15;22
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;016;LAĐANSKA;OSNOVNA ŠKOLA;LAĐANSKA;226;110;110;103;7;91;4;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;017;LILA;DRUŠTVENI DOM;LILA;191;117;117;114;3;93;5;16
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;018;VELIMIROVAC;OSNOVNA ŠKOLA;VELIMIROVAC;910;376;376;355;21;262;43;50
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;019;VUKOJEVCI;OSNOVNA ŠKOLA;VUKOJEVCI;673;265;265;243;22;152;41;50
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;020;GRANICE;GLJIVARSKI DOM;GRANICE;96;39;39;39;0;33;4;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;021;MAKLOŠEVAC;DRUŠTVENI DOM;MAKLOŠEVAC;127;75;75;57;18;29;18;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;022;CEREMOŠNJAK;DRUŠTVENI DOM;CEREMOŠNJAK;73;43;43;42;1;29;8;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;023;LONDŽICA;DRUŠTVENI DOM KRAJ ŽELJEZNIČKE STANICE;LONDŽICA;149;77;77;73;4;47;24;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;024;GRADAC NAŠIČKI;DRUŠTVENI DOM;GRADAC NAŠIČKI;110;50;50;44;6;31;7;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;025;ZOLJAN;DRUŠTVENI DOM;ZOLJAN;560;227;227;217;10;155;19;43
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;026;MARTIN;DRUŠTVENI DOM;MARTIN;914;422;422;405;17;269;38;98
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;027;BREZIK NAŠIČKI;"PROSTORIJE NOGOMETNOG KLUBA ""BREZIK""";BREZIK NAŠIČKI;307;141;141;135;6;106;5;24
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;001;OSIJEK;DVD RETFALA;ULICA ŠÁNDORA PETÖFIA 1;1112;423;423;384;39;235;52;97
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;002;OSIJEK;DVD RETFALA;ULICA ŠÁNDORA PETÖFIA 1;743;268;268;250;18;140;47;63
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;003;OSIJEK;MAĐARSKO KULTURNO DRUŠTVO NEPKÖR;ULICA ŠÁNDORA PETÖFIA 76;724;316;316;296;20;166;53;77
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;004;OSIJEK;"DJEČJI VRTIĆ ""SUNČICA""";KOLODVORSKA 61A;1069;463;463;437;26;269;64;104
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;005;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA ULICA 51A;1106;481;481;458;23;262;79;117
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;006;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA ULICA 51A;910;413;413;388;25;267;43;78
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;007;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;996;348;348;315;33;182;61;72
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;008;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;903;336;336;319;17;212;41;66
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;009;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;906;357;357;334;23;205;65;64
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;010;OSIJEK;GRADSKA ČETVRT RETFALA;ULICA LJUDEVITA POSAVSKOG 14A;708;266;266;249;17;154;34;61
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;011;OSIJEK;GRADSKA ČETVRT RETFALA;ŠOKAČKA ULICA 1;714;296;296;280;16;187;32;61
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;012;OSIJEK;GRADSKA ČETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;776;288;288;264;24;147;47;70
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;013;OSIJEK;GRADSKA ČETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;661;231;231;210;21;130;33;47
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;014;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIĆA;VIJENAC AUGUSTA CESARCA 36;1147;496;496;451;45;276;96;79
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;015;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIĆA;VIJENAC AUGUSTA CESARCA 36;717;355;355;324;31;205;63;56
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;016;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;JOSIPA JURJA STROSSMAYERA 68;965;407;404;363;41;238;55;70
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;017;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;818;370;370;340;30;215;48;77
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;018;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;505;196;195;178;17;118;28;32
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;019;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;620;227;227;205;22;113;40;52
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;020;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;807;308;308;274;34;168;40;66
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;021;OSIJEK;ZDRAVSTVENA STANICA DRAVA;PROLAZ JOSIPA LEOVIĆA 4;943;393;392;355;37;190;77;88
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;022;OSIJEK;VATROGASNI DOM;ULICA PAVLA PEJAČEVIĆA 44;744;331;331;295;36;195;44;56
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;023;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ADOLFA WALDINGERA 11;862;459;459;418;41;232;74;112
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;024;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ADOLFA WALDINGERA 11;1009;433;433;395;38;251;68;76
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;025;OSIJEK;OSNOVNA ŠKOLA SVETE ANE;ULICA SV. ANE 2;1003;414;414;372;42;213;68;91
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;026;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;TRG LAVA MIRSKOG 1;534;229;229;206;23;129;33;44
