Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VLADIMIR HAM;KATARINA KRUHONJA;GORAN KUŠEC;BERISLAV MLINAREVIĆ;IVAN RADIĆ;VLADIMIR ŠIŠLJAGIĆ;MIROSLAV VANEK
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;014;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIĆA;VIJENAC AUGUSTA CESARCA 36;1147;496;496;478;18;28;17;103;74;198;39;19
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;015;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIĆA;VIJENAC AUGUSTA CESARCA 36;717;356;356;350;6;30;26;72;55;131;24;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;016;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;JOSIPA JURJA STROSSMAYERA 68;965;407;406;394;12;27;18;95;64;146;30;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;017;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;818;372;372;367;5;23;16;63;57;142;50;16
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;018;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;505;196;196;189;7;10;7;48;38;59;15;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;019;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;620;227;227;225;2;9;9;60;52;72;17;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;020;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;807;308;308;301;7;5;11;78;72;95;31;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;021;OSIJEK;ZDRAVSTVENA STANICA DRAVA;PROLAZ JOSIPA LEOVIĆA 4;943;394;394;385;9;24;11;115;71;118;28;18
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;022;OSIJEK;VATROGASNI DOM;ULICA PAVLA PEJAČEVIĆA 44;744;331;331;322;9;22;18;60;41;145;24;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;023;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ADOLFA WALDINGERA 11;862;459;459;446;13;17;19;112;92;149;45;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;024;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ADOLFA WALDINGERA 11;1009;433;433;422;11;34;18;104;80;148;30;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;025;OSIJEK;OSNOVNA ŠKOLA SVETE ANE;ULICA SV. ANE 2;1003;414;414;408;6;23;17;83;93;141;39;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;026;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;TRG LAVA MIRSKOG 1;534;229;229;222;7;11;11;64;45;74;14;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;027;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;TRG LAVA MIRSKOG 1;682;282;282;276;6;20;10;73;52;89;20;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;028;OSIJEK;OSNOVNA ŠKOLA FRANJE KREŽME;ŠKOLSKA 3;433;185;185;177;8;10;14;56;32;50;14;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;029;OSIJEK;OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA;IVANA GUNDULIĆA 5;802;325;325;317;8;20;22;75;53;96;30;21
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;030;OSIJEK;SPORTSKA DVORANA ZRINJEVAC;SJEVERNA STRANA;934;376;376;361;15;16;9;66;64;164;30;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;031;OSIJEK;SPORTSKA DVORANA ZRINJEVAC;SJEVERNA STRANA;464;160;160;157;3;6;8;45;40;35;15;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;032;OSIJEK;"OSNOVNA ŠKOLA ""DOBRIŠA CESARIĆ""";NERETVANSKA 10;631;234;234;219;15;18;17;40;36;81;17;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;033;OSIJEK;"OSNOVNA ŠKOLA ""DOBRIŠA CESARIĆ""";NERETVANSKA 10;505;197;197;190;7;7;12;52;26;78;11;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;034;OSIJEK;GRADSKA ČETVRT INDUSTRIJSKA ČETVRT;VIJENAC KRALJEVE SUTJESKE 2;687;301;300;287;13;21;19;60;42;110;27;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;035;OSIJEK;"OSNOVNA ŠKOLA ""AUGUST ŠENOA""";DRINSKA 14;570;231;231;218;13;7;11;35;43;103;17;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;036;OSIJEK;"DJEČJI VRTIĆ ""PČELICA""";GACKA 1A;607;251;251;246;5;17;8;54;42;107;16;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;037;OSIJEK;GRADSKA ČETVRT INDUSTRIJSKA ČETVRT, DVORAC MAČKAMAMA;DRINSKA 2;512;216;216;212;4;13;10;33;44;89;15;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;038;OSIJEK;"PROSTORIJA UHDDR, TEMELJNI OGRANAK ""FILIPOVICA""";BEDNJANSKA ULICA BB;647;244;244;232;12;8;9;22;73;104;14;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;039;OSIJEK;"DJEČJI VRTIĆ ""PČELICA""";GACKA 1A;1006;414;414;403;11;34;20;76;64;175;25;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;040;OSIJEK;"OSNOVNA ŠKOLA ""AUGUST ŠENOA""";DRINSKA 14;1110;508;508;493;15;22;28;99;102;197;36;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;041;OSIJEK;GRADSKA ČETVRT TVRĐA;TRG FRANJE BARUNA TRENKA 3;718;346;346;337;9;19;21;111;50;96;31;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;042;OSIJEK;GRADSKA ČETVRT TVRĐA;TRG FRANJE BARUNA TRENKA 3;698;302;302;299;3;25;7;91;58;91;16;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;043;OSIJEK;ELEKTROTEHNIČKA I PROMETNA ŠKOLA OSIJEK;ISTARSKA 3;704;320;320;315;5;14;24;90;56;101;18;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;044;OSIJEK;II.GIMNAZIJA OSIJEK;ULICA KAMILA FIRINGERA 5;301;128;128;126;2;12;4;34;39;25;9;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;045;OSIJEK;GRADSKA ČETVRT TVRĐA;VIJENAC IVANA MEŠTROVIĆA 26F;899;411;411;394;17;33;27;82;59;99;41;53
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;046;OSIJEK;GRADSKA ČETVRT TVRĐA;VIJENAC IVANA MEŠTROVIĆA 26F;714;295;295;291;4;17;11;71;48;101;22;21
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;047;OSIJEK;OSNOVNA ŠKOLA VIJENAC;VIJENAC IVANA MEŠTROVIĆA 36;478;197;197;195;2;10;17;33;33;56;17;29
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;048;OSIJEK;OSNOVNA ŠKOLA VIJENAC;VIJENAC IVANA MEŠTROVIĆA 36;533;205;205;198;7;10;10;41;27;73;20;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;049;OSIJEK;"DJEČJI VRTIĆ ""STRIBOR""";VIJENAC IVANA MEŠTROVIĆA 7A;712;327;327;320;7;18;19;69;55;90;36;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;050;OSIJEK;VATROGASNI CENTAR OSIJEK;ULICA IVANA GORANA KOVAČIĆA 2;682;242;242;235;7;14;12;42;56;90;17;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;051;OSIJEK;OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;FRANKOPANSKA 64;498;215;215;210;5;14;5;49;52;64;24;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;052;OSIJEK;OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;MARTINA DIVALTA 53;1120;406;405;397;8;27;26;78;84;128;35;19
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;053;OSIJEK;"DJEČJI VRTIĆ ""JABUKA""";VIJENAC IVANA ČESMIČKOG 7A;434;160;160;155;5;10;4;36;21;56;10;18
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;054;OSIJEK;"OSNOVNA ŠKOLA ""MLADOST""";SJENJAK 7;1075;519;519;512;7;24;19;120;90;208;40;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;055;OSIJEK;"OSNOVNA ŠKOLA ""MLADOST""";SJENJAK 7;991;447;447;431;16;32;23;107;75;135;41;18
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;056;OSIJEK;GRADSKA ČETVRT NOVI GRAD;SJENJAK 133;542;250;250;246;4;15;11;61;61;69;20;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;057;OSIJEK;GRADSKA ČETVRT NOVI GRAD;SJENJAK 133;591;272;271;267;4;14;19;86;28;95;21;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;058;OSIJEK;GRADSKA ČETVRT NOVI GRAD;SJENJAK 133;819;396;396;388;8;25;26;95;65;144;20;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;059;OSIJEK;GRADSKA ČETVRT NOVI GRAD;UICA KRALJA PETRA SVAČIĆA 36;667;247;247;243;4;9;7;45;60;100;17;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;060;OSIJEK;GRADSKA ČETVRT NOVI GRAD;ULICA KRALJA PETRA SVAČIĆA 36;686;286;285;279;6;12;9;65;59;103;24;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;061;OSIJEK;GRADSKA ČETVRT NOVI GRAD;ULICA KRALJA PETRA SVAČIĆA 36;1160;418;418;410;8;16;22;95;94;149;28;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;062;OSIJEK;GRADSKA ČETVRT NOVI GRAD;ULICA KRALJA PETRA SVAČIĆA 36;634;250;250;242;8;13;17;38;63;91;12;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;063;OSIJEK;GRADSKA ČETVRT NOVI GRAD;ULICA KRALJA PETRA SVAČIĆA 36;566;227;227;226;1;20;5;58;46;83;8;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;064;OSIJEK;GRADSKA ČETVRT NOVI GRAD;ULICA KRALJA PETRA SVAČIĆA 36;1042;372;372;364;8;21;20;59;86;143;30;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;065;OSIJEK;"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";KORČULANSKA 1;782;268;268;261;7;18;6;49;63;105;14;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;066;OSIJEK;"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";KORČULANSKA 1;903;379;379;371;8;14;17;53;71;184;18;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;067;OSIJEK;GRADSKA ČETVRT JUG II;SRIJEMSKA ULICA 124B;477;169;169;163;6;14;5;27;35;72;4;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;068;OSIJEK;GRADSKA ČETVRT JUG II;SRIJEMSKA ULICA 124B;720;312;312;307;5;10;5;49;47;165;30;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;069;OSIJEK;GRADSKA ČETVRT JUG II;SRIJEMSKA ULICA 124B;788;253;253;248;5;22;11;29;54;102;25;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;070;OSIJEK;"DJEČJI VRTIĆ ""MASLAČAK""";VELALUŠKA BB;976;407;407;400;7;24;12;65;77;172;41;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;071;OSIJEK;"DJEČJI VRTIĆ ""NEVIČICA""";OPATIJSKA BB;639;221;221;215;6;22;11;43;31;87;15;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;072;OSIJEK;DOM SINDIKATA TVORNICE ŠEĆERA;FRANKOPANSKA 99;756;294;294;290;4;25;11;40;67;110;36;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;073;OSIJEK;DOM SINDIKATA TVORNICE ŠEĆERA;FRANKOPANSKA 99;759;298;298;290;8;27;16;38;69;126;14;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;074;OSIJEK;DOM SINDIKATA TVORNICE ŠEĆERA;FRANKOPANSKA 99;764;292;292;286;6;25;10;48;55;121;20;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;075;OSIJEK;GRADSKA ČETVRT JUG II;KAŠTELANSKA 42B;779;299;299;289;10;14;18;48;51;131;18;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;076;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIĆ""";OPATIJSKA 46;893;304;304;290;14;25;11;33;64;118;23;16
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;077;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIĆ""";OPATIJSKA 46;552;207;207;203;4;12;9;40;57;65;14;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;078;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIĆ""";OPATIJSKA 46;640;238;238;232;6;11;12;46;46;88;25;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;079;OSIJEK;OBRTNIČKA ŠKOLA OSIJEK;TRG BANA JOSIPA JELAČIĆA 24;891;365;365;359;6;17;15;80;74;120;39;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;080;OSIJEK;GRADSKA ČETVRT DONJI GRAD;TRG BANA JOSIPA JELAČIĆA 25;855;330;330;325;5;23;26;75;48;115;32;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;081;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA ULICA 23;872;345;344;331;13;20;15;61;80;116;25;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;082;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA ULICA 23;761;309;309;298;11;20;10;52;71;120;19;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;083;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA ULICA 23;916;316;316;304;12;12;11;45;64;131;33;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;084;OSIJEK;GRADSKA ČETVRT DONJI GRAD;KRSTOVA ULICA 97B;650;259;257;254;3;11;17;47;52;105;13;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;085;OSIJEK;GRADSKA ČETVRT DONJI GRAD;KRSTOVA ULICA 97B;583;254;254;247;7;13;12;45;51;104;15;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;086;OSIJEK;OSNOVNA ŠKOLA LJUDEVITA GAJA;KRSTOVA ULICA 99;646;244;244;234;10;12;9;43;43;101;20;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;087;OSIJEK;OSNOVNA ŠKOLA LJUDEVITA GAJA;KRSTOVA ULICA 99;679;229;227;225;2;21;10;19;37;111;15;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;088;OSIJEK;GRADSKA ČETVRT DONJI GRAD;ZELENO POLJE 5;853;301;301;301;0;25;10;69;52;111;21;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;089;OSIJEK;GRADSKA ČETVRT DONJI GRAD;ZELENO POLJE 5;964;311;311;304;7;15;12;50;69;118;31;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;090;JOSIPOVAC;OSNOVNA ŠKOLA JOSIPOVAC;OSJEČKA 77A;829;282;282;274;8;16;0;14;49;162;32;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;091;JOSIPOVAC;OSNOVNA ŠKOLA JOSIPOVAC;OSJEČKA 77A;1029;401;401;386;15;14;5;32;93;209;23;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;092;JOSIPOVAC;HRVATSKI DOM JOSIPOVAC;OSJEČKA 66;670;275;275;265;10;6;9;19;82;118;29;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;093;JOSIPOVAC;HRVATSKI DOM JOSIPOVAC;OSJEČKA 66;888;317;317;311;6;6;13;25;105;142;18;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;094;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;ULICA J.J. STROSSMAYERA 2;997;392;392;383;9;17;10;42;85;191;27;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;095;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;ULICA J.J. STROSSMAYERA 2;828;311;310;296;14;15;11;22;67;147;29;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;096;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;ULICA J.J. STROSSMAYERA 2;872;332;332;325;7;21;12;47;67;150;27;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;097;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;804;304;304;293;11;15;7;32;74;135;19;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;098;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;668;255;255;246;9;14;3;32;58;109;24;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;099;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;801;323;323;313;10;12;11;54;66;137;29;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;100;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;581;226;226;216;10;9;3;21;56;99;21;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;101;BRIJEŠĆE;OSNOVNA ŠKOLA CVJETNO;ZELENA ULICA 1;515;172;172;170;2;10;6;25;34;89;4;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;102;BRIJEŠĆE;OSNOVNA ŠKOLA CVJETNO;ZELENA ULICA 1;673;173;173;172;1;5;4;15;21;92;17;18
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;103;OSIJEK;MJESNO ODBOR CVJETNO;VIJENAC LIPA 36;783;325;325;320;5;26;14;37;84;130;22;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;104;OSIJEK;MJESNO ODBOR CVJETNO;VIJENAC LIPA 36;737;310;310;303;7;17;5;40;44;160;29;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;105;BRIJEST;MJESNI ODBOR BRIJEST;JUŽNO PREDGRAĐE 54;959;379;379;368;11;18;16;38;66;181;45;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;106;PODRAVLJE;MJESNI ODBOR OSIJEK - LIJEVA OBALA;ULICA PRINCA EUGENA SAVOJSKOG 38;493;265;265;258;7;15;8;20;61;100;48;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;107;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;746;260;260;253;7;13;3;31;59;126;14;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;108;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;809;305;305;301;4;15;6;55;68;133;18;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;109;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;686;274;274;272;2;3;8;36;44;145;19;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;110;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;698;272;272;270;2;11;8;42;46;137;11;15
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;111;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;1092;317;317;309;8;20;6;28;75;158;17;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;112;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;973;199;199;187;12;17;11;30;39;70;16;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;113;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;1023;230;229;209;20;25;17;29;39;87;11;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;114;KLISA;MJESNI ODBOR KLISA;VUKOVARSKA ULICA 48;231;118;118;100;18;5;7;12;6;6;64;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;115;SARVAŠ;MJESNI ODBOR SARVAŠ;OSJEČKA ULICA 64;811;298;298;295;3;16;4;24;58;153;35;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;116;SARVAŠ;MJESNI ODBOR SARVAŠ;OSJEČKA ULICA 64;741;268;268;261;7;10;11;39;53;125;19;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;117;TVRĐAVICA;PROSTOR ŽELJKE BARIŠIĆ;TVRĐAVICA 84;494;236;236;226;10;7;14;29;21;102;39;14
