Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VOJISLAV BOJANIĆ;RADOMIR ČVARKOVIĆ;BOŠKO GVERO
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;005;BELIŠĆE;VATROGASNO SPREMIŠTE;ŽELJEZNIČKA 11;24;1;1;1;0;0;1;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;006;BELIŠĆE;"DJEČJI VRTIĆ ""MASLAČAK""";VIJENAC DR. FRANJE TUĐMANA 2;19;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;007;BISTRINCI;RIBIČKI DOM;BISTRINCI;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;008;BISTRINCI;"NOGOMETNI KLUB ""PODRAVAC""";FISKULTURNA 35;9;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;009;BOCANJEVCI;HRVATSKI DOM;MATIJE GUPCA 73;5;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;010;GAT;DRUŠTVENI DOM;KOLODVORSKA ULICA 47;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;011;GORICA VALPOVAČKA;DRUŠTVENI DOM;STJEPANA RADIĆA 44;13;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;012;KITIŠANCI;DOM HRVATSKE MLADEŽI;NOVA 22;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;013;TIBORJANCI;HRVATSKI DOM;BRAĆE RADIĆA 2;1;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;014;VELIŠKOVCI;OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 76;3;1;1;0;1;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;015;VINOGRADCI;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 28;0;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;001;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;30;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;002;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;27;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;003;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;22;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;004;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;21;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;005;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;15;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;006;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;15;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;007;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", VELIKA SALA";VUKOVARSKA 1;15;1;1;1;0;0;1;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;008;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", MALA SALA";VUKOVARSKA 1;28;2;2;2;0;1;1;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;009;RAKITOVICA;DRUŠTVENI DOM;VENOSEVA 44B;5;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;010;MIHOLJAČKI POREČ;MJESNI ODBOR;EUGENA KRAJA 59;0;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;011;GOLINCI;DRUŠTVENI DOM;KRALJA TOMISLAVA BB;4;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;012;RADIKOVCI;MJESNI ODBOR;MATIJE GUPCA 83;2;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;013;SVETI ĐURAĐ;MJESNI ODBOR;ŠKOLSKA 104;4;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;014;PODGAJCI PODRAVSKI;VATROGASNI DOM;VLADIMIRA NAZORA 134;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;001;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 1;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;9;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;002;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 2;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;7;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;003;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 3;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;5;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;004;ĐAKOVO;MUZEJ ĐAKOVŠTINE;ANTE STARČEVIĆA 34;9;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;005;ĐAKOVO;POSLOVNI PROSTOR;ANTE STARČEVIĆA 157;8;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;006;ĐAKOVO;CENTAR ZA KULTURU;KRALJA TOMISLAVA 13;2;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;007;ĐAKOVO;OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA;KRALJA TOMISLAVA 25;7;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;008;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 1;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;11;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;009;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 2;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;6;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;010;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 1;V.NAZORA 68;17;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;011;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 2;V.NAZORA 68;19;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;012;ĐAKOVO;HRVATSKA AGENCIJA ZA POLJOPRIVREDU I HRANU, URED U ĐAKOVU;V.NAZORA 1;12;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;013;ĐAKOVO;POSLOVNI PROSTOR;I.G.KOVAČIĆA 5;9;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;014;ĐAKOVO;POSLOVNI PROSTOR;KRALJA TOMISLAVA 67;7;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;015;ĐAKOVAČKI PISAK;OSNOVNA ŠKOLA;ĐAKOVAČKI PISAK;4;1;1;1;0;1;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;016;ĐAKOVO;STARI DVD, PROSTORIJA I.;MATIJE GUPCA 30;1;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;017;ĐAKOVO;STARI DVD, PROSTORIJA II.;MATIJE GUPCA 30;11;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;018;ĐAKOVO;PROTUPOŽARNI CENTAR;SPLITSKA BB;5;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;019;ĐAKOVO;CENTAR ZA SOCIJALNU SKRB;P.PRERADOVIĆA 2;8;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;020;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 1;P.PRERADOVIĆA 15;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;021;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 2;P.PRERADOVIĆA 15;4;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;022;ĐAKOVO;UPRAVNA ZGRADA DOMA ZDRAVLJA;P.PRERADOVIĆA 2;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;023;ĐAKOVO;ŠUMARIJA;J.PALMOTIĆA 18;30;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;024;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 1";ĐAKOVO;4;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;025;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 2";ĐAKOVO;6;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;026;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 1;SELCI ĐAKOVAČKI;1;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;027;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 2;SELCI ĐAKOVAČKI;2;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;028;KUŠEVAC;PODRUČNA OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA;KUŠEVAC;7;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;029;IVANOVCI ĐAKOVAČKI;DOM DVD-A;IVANOVCI ĐAKOVAČKI;2;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;030;ŠIROKO POLJE;MJESNI DOM;ŠIROKO POLJE;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;031;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 1;BUDROVCI;1;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;032;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 2;BUDROVCI;0;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;033;ĐURĐANCI;OSNOVNA ŠKOLA;ĐURĐANCI;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;034;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 1;PIŠKOREVCI;1;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;035;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 2;PIŠKOREVCI;6;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;036;NOVI PERKOVCI;PODRUČNA OSNOVNA ŠKOLA MATIJA GUBEC;NOVI PERKOVCI;0;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;001;NAŠICE;KLUB CRVENOG KRIŽA NAŠICE;PETRA PRERADOVIĆA 2;50;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;002;NAŠICE;GRADSKO DRUŠTVO CRVENOG KRIŽA NAŠICE;UL. KRALJA TOMISLAVA 6;11;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;003;NAŠICE;DOM HRVATSKE VOJSKE;TRG DR. FRANJE TUĐMANA 16;14;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;004;NAŠICE;"PROSTORIJE ""ELEKTROSLAVONIJE""";NAŠICE;15;2;2;2;0;2;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;005;NAŠICE;PROSTORIJE GRADSKE UDRUGE UMIROVLJENIKA;SOKOLSKA ULICA 2 (DVORIŠTE ZGRADE);40;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;006;NAŠICE;"PROSTORIJE ŠAHOVSKOG KLUBA ""SLAVONAC""";ULICA JOSIPA JURJA STROSSMAYERA 9;27;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;007;NAŠICE;OSNOVNA ŠKOLA KRALJA TOMISLAVA;ULICA MATICE HRVATSKE 1;30;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;008;NAŠICE;"PROSTORIJE ""NAŠIČKI VODOVOD"" D.O.O.";VATROSLAVA LISINSKOG 63;8;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;009;NAŠICE;"PROSTORIJE NK ""RADNIK"" ŠIPOVAC";NAŠICE;18;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;010;NAŠICE;PREDVORJE SREDNJE ŠKOLE;NAŠICE;11;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;011;NAŠICE;VIŠENAMJENSKA DVORANA SREDNJE ŠKOLE;NAŠICE;37;2;2;2;0;2;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;012;MARKOVAC NAŠIČKI;"PROSTORIJE SLOVAČKO KULTURNO UMJETNIČKE UDRUGE ""FRANJO STRAPAČ""";MARKOVAC NAŠIČKI;20;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;013;MARKOVAC NAŠIČKI;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA MARKOVAC NAŠIČKI;MARKOVAC NAŠIČKI;4;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;014;JELISAVAC;OSNOVNA ŠKOLA IVANA BRNJIKA SLOVAKA;JELISAVAC;1;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;015;JELISAVAC;KULTURNI CENTAR SLOVAKA;JELISAVAC;1;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;016;LAĐANSKA;OSNOVNA ŠKOLA;LAĐANSKA;2;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;017;LILA;DRUŠTVENI DOM;LILA;4;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;018;VELIMIROVAC;OSNOVNA ŠKOLA;VELIMIROVAC;41;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;019;VUKOJEVCI;OSNOVNA ŠKOLA;VUKOJEVCI;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;020;GRANICE;GLJIVARSKI DOM;GRANICE;0;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;021;MAKLOŠEVAC;DRUŠTVENI DOM;MAKLOŠEVAC;33;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;022;CEREMOŠNJAK;DRUŠTVENI DOM;CEREMOŠNJAK;8;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;023;LONDŽICA;DRUŠTVENI DOM KRAJ ŽELJEZNIČKE STANICE;LONDŽICA;25;3;3;3;0;1;2;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;024;GRADAC NAŠIČKI;DRUŠTVENI DOM;GRADAC NAŠIČKI;44;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;025;ZOLJAN;DRUŠTVENI DOM;ZOLJAN;3;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;026;MARTIN;DRUŠTVENI DOM;MARTIN;32;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;027;BREZIK NAŠIČKI;"PROSTORIJE NOGOMETNOG KLUBA ""BREZIK""";BREZIK NAŠIČKI;18;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;001;OSIJEK;DVD RETFALA;ULICA ŠÁNDORA PETÖFIA 1;68;1;1;1;0;0;1;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;002;OSIJEK;DVD RETFALA;ULICA ŠÁNDORA PETÖFIA 1;40;1;1;1;0;1;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;003;OSIJEK;MAĐARSKO KULTURNO DRUŠTVO NEPKÖR;ULICA ŠÁNDORA PETÖFIA 76;22;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;004;OSIJEK;"DJEČJI VRTIĆ ""SUNČICA""";KOLODVORSKA 61A;52;1;1;1;0;0;1;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;005;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA ULICA 51A;37;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;006;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA ULICA 51A;44;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;007;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;60;1;1;1;0;0;1;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;008;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;11;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;009;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;25;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;010;OSIJEK;GRADSKA ČETVRT RETFALA;ULICA LJUDEVITA POSAVSKOG 14A;31;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;011;OSIJEK;GRADSKA ČETVRT RETFALA;ŠOKAČKA ULICA 1;31;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;012;OSIJEK;GRADSKA ČETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;24;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;013;OSIJEK;GRADSKA ČETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;34;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;014;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIĆA;VIJENAC AUGUSTA CESARCA 36;53;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;015;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIĆA;VIJENAC AUGUSTA CESARCA 36;27;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;016;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;JOSIPA JURJA STROSSMAYERA 68;46;1;1;1;0;0;0;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;017;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;41;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;018;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;11;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;019;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;18;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;020;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;36;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;021;OSIJEK;ZDRAVSTVENA STANICA DRAVA;PROLAZ JOSIPA LEOVIĆA 4;62;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;022;OSIJEK;VATROGASNI DOM;ULICA PAVLA PEJAČEVIĆA 44;22;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;023;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ADOLFA WALDINGERA 11;36;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;024;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;ULICA ADOLFA WALDINGERA 11;49;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;025;OSIJEK;OSNOVNA ŠKOLA SVETE ANE;ULICA SV. ANE 2;62;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;026;OSIJEK;GRADSKA ČETVRT GORNJI GRAD;TRG LAVA MIRSKOG 1;21;1;1;1;0;0;1;0
