Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIRJANA ADRIĆ;MARKO BERBEROVIĆ;IRENA GLUHAK FOREMPOHER;DANKO KOČIŠ;MARIN MANDARIĆ;TIHOMIR MIHALJ
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;020;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 1;P.PRERADOVIĆA 15;833;310;310;301;9;86;21;57;32;91;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;021;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 2;P.PRERADOVIĆA 15;611;265;265;261;4;63;13;34;35;102;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;022;ĐAKOVO;UPRAVNA ZGRADA DOMA ZDRAVLJA;P.PRERADOVIĆA 2;833;345;345;333;12;96;9;36;50;116;26
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;023;ĐAKOVO;ŠUMARIJA;J.PALMOTIĆA 18;992;380;380;364;16;88;12;48;53;151;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;024;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 1";ĐAKOVO;746;317;317;312;5;69;9;41;23;158;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;025;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 2";ĐAKOVO;788;400;400;388;12;82;22;65;42;168;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;026;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 1;SELCI ĐAKOVAČKI;839;306;306;301;5;83;17;21;12;148;20
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;027;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 2;SELCI ĐAKOVAČKI;662;244;244;238;6;64;20;13;14;99;28
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;028;KUŠEVAC;PODRUČNA OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA;KUŠEVAC;892;415;415;407;8;70;20;17;11;245;44
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;029;IVANOVCI ĐAKOVAČKI;DOM DVD-A;IVANOVCI ĐAKOVAČKI;481;202;202;196;6;28;64;10;10;82;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;030;ŠIROKO POLJE;MJESNI DOM;ŠIROKO POLJE;838;422;419;405;14;107;11;6;19;235;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;031;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 1;BUDROVCI;610;229;229;223;6;106;11;8;14;75;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;032;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 2;BUDROVCI;428;155;155;154;1;68;3;5;9;66;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;033;ĐURĐANCI;OSNOVNA ŠKOLA;ĐURĐANCI;355;145;145;139;6;39;5;14;4;71;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;034;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 1;PIŠKOREVCI;782;313;313;304;9;84;4;11;12;123;70
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;035;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 2;PIŠKOREVCI;808;336;336;328;8;99;16;14;10;128;61
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;036;NOVI PERKOVCI;PODRUČNA OSNOVNA ŠKOLA MATIJA GUBEC;NOVI PERKOVCI;194;101;101;99;2;30;5;0;0;59;5
