Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;011;NAŠICE;VIŠENAMJENSKA DVORANA SREDNJE ŠKOLE;NAŠICE;1083;506;506;490;16;89;210;11;180
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;012;MARKOVAC NAŠIČKI;"PROSTORIJE SLOVAČKO KULTURNO UMJETNIČKE UDRUGE ""FRANJO STRAPAČ""";MARKOVAC NAŠIČKI;697;318;318;316;2;79;137;5;95
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;013;MARKOVAC NAŠIČKI;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA MARKOVAC NAŠIČKI;MARKOVAC NAŠIČKI;578;213;213;210;3;39;115;1;55
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;014;JELISAVAC;OSNOVNA ŠKOLA IVANA BRNJIKA SLOVAKA;JELISAVAC;725;310;310;300;10;33;146;13;108
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;015;JELISAVAC;KULTURNI CENTAR SLOVAKA;JELISAVAC;292;116;116;114;2;20;59;1;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;016;LAĐANSKA;OSNOVNA ŠKOLA;LAĐANSKA;226;110;110;107;3;11;85;3;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;017;LILA;DRUŠTVENI DOM;LILA;191;117;117;115;2;12;85;4;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;018;VELIMIROVAC;OSNOVNA ŠKOLA;VELIMIROVAC;910;376;376;367;9;22;240;2;103
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;019;VUKOJEVCI;OSNOVNA ŠKOLA;VUKOJEVCI;673;265;265;253;12;24;125;7;97
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;020;GRANICE;GLJIVARSKI DOM;GRANICE;96;39;39;39;0;3;34;0;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;021;MAKLOŠEVAC;DRUŠTVENI DOM;MAKLOŠEVAC;127;75;75;67;8;5;23;1;38
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;022;CEREMOŠNJAK;DRUŠTVENI DOM;CEREMOŠNJAK;73;43;43;43;0;1;25;1;16
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;023;LONDŽICA;DRUŠTVENI DOM KRAJ ŽELJEZNIČKE STANICE;LONDŽICA;149;76;76;76;0;0;43;2;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;024;GRADAC NAŠIČKI;DRUŠTVENI DOM;GRADAC NAŠIČKI;110;51;51;49;2;2;29;1;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;025;ZOLJAN;DRUŠTVENI DOM;ZOLJAN;560;227;227;224;3;30;145;3;46
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;026;MARTIN;DRUŠTVENI DOM;MARTIN;914;422;422;414;8;73;245;6;90
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;027;BREZIK NAŠIČKI;"PROSTORIJE NOGOMETNOG KLUBA ""BREZIK""";BREZIK NAŠIČKI;307;141;141;135;6;22;97;2;14
