Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ANTUN ANTUNOVIÆ;ANA BLEÈIÆ JELENOVIÆ;HRVOJE BURIÆ;MARKO FILIPOVIÆ;NIKOLA IVANIŠ;MARIN MILETIÆ;JOSIP OSTROGOVIÆ;KATARINA PEOVIÆ;DAVOR ŠTIMAC;VEDRAN VIVODA;NEBOJŠA ZELIÈ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;013;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1373;506;505;497;8;6;25;5;157;76;48;57;16;75;9;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;014;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1302;446;444;438;6;5;3;2;142;78;52;58;6;70;13;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;015;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1240;446;446;436;10;2;14;10;105;76;52;57;12;71;14;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;016;SRDOÈI;PROSTORIJE MJESNOG ODBORA;MIROSLAVA KRLEŽE 4;1506;653;652;647;5;1;18;1;153;81;99;122;12;118;13;29
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;017;SRDOÈI;"OSNOVNA ŠKOLA ""SRDOÈI""";ANTE MODRUŠANA 33;1372;550;550;539;11;1;29;4;162;84;82;77;9;70;10;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;018;SRDOÈI;"OSNOVNA ŠKOLA ""SRDOÈI""";ANTE MODRUŠANA 33;1317;448;446;442;4;3;27;10;129;51;71;53;7;60;12;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;019;SRDOÈI;"OSNOVNA ŠKOLA ""SRDOÈI""";ANTE MODRUŠANA 33;1510;568;568;564;4;2;35;3;128;61;94;85;14;106;16;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;020;GRBCI;PROSTORIJE MJESNOG ODBORA;DRAŽIÈKA 4;1443;502;502;490;12;5;15;7;81;102;53;143;10;58;5;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;021;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;911;273;270;268;2;3;6;4;88;26;40;43;7;38;5;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;022;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1247;413;413;404;9;4;16;3;107;57;64;78;11;48;8;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;023;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1106;355;355;350;5;3;5;2;88;45;61;72;8;52;5;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;024;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1376;427;427;403;24;1;7;5;135;35;61;54;5;82;6;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;025;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;935;372;372;362;10;10;17;1;101;36;50;44;13;65;10;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;026;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;801;361;361;355;6;9;15;5;114;31;37;42;16;51;15;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;027;BELVEDER;"""DOM MLADIH"" RIJEKA";LAGINJINA 15;1000;354;354;352;2;5;20;5;120;56;34;32;12;48;8;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;028;KOZALA;"""DOM MLADIH"" RIJEKA";LAGINJINA 15;1005;452;452;445;7;2;10;6;133;55;42;54;15;86;11;31
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;029;KOZALA;"OŠ  ""KOZALA""";ANTE KOVAÈIÆA 21;1174;522;522;511;11;2;27;4;167;59;26;47;19;103;16;41
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;030;KOZALA;PROSTORIJE MJESNOG ODBORA;VOLÈIÆEV TRG 2;1205;466;466;458;8;8;32;3;134;48;50;51;20;77;12;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;031;KOZALA;PROSTORIJE MJESNOG ODBORA;VOLÈIÆEV TRG 2;953;404;404;399;5;1;12;1;115;42;43;60;16;66;11;32
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;032;BRAŠÆINE-PULAC;"OŠ ""BELVEDER""";KOZALA 41;1039;424;424;419;5;5;14;3;137;28;53;64;10;71;13;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;033;BRAŠÆINE-PULAC;"OŠ ""BELVEDER""";KOZALA 41;929;296;296;286;10;4;12;5;74;26;42;49;5;51;10;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;034;DRENOVA;PROSTORIJE MJESNOG ODBORA;CVETKOV TRG 1;1189;444;444;432;12;1;20;9;136;52;38;71;15;65;11;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;035;DRENOVA;PROSTORIJE MJESNOG ODBORA;CVETKOV TRG 1;1239;445;445;434;11;6;16;3;120;29;68;84;14;62;12;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;036;DRENOVA;"""DVD"" DRENOVA";CVETKOV TRG 1;1363;554;554;545;9;10;20;5;164;50;78;77;11;102;7;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;037;DRENOVA;"PROSTORIJE ""LINGUAE"" ŠKOLE STRANIH JEZIKA";CVETKOV TRG 1;1203;455;455;452;3;5;15;4;124;43;51;99;12;75;6;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;038;DRENOVA;ZAVIÈAJNI MUZEJ MO DRENOVA;DRENOVSKI PUT 138A;861;287;287;284;3;2;17;2;82;39;40;38;9;44;3;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;039;DRENOVA;ZAVIÈAJNI MUZEJ MO DRENOVA;DRENOVSKI PUT 138A;782;240;240;237;3;4;19;6;76;21;29;31;10;29;6;6
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;040;ŠKURINJE;"OŠ  ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1316;431;431;420;11;3;10;6;126;47;67;54;10;70;12;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;041;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1090;321;321;318;3;2;8;7;93;26;49;48;17;52;9;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;042;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1182;427;427;419;8;5;18;1;139;52;54;59;9;55;10;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;043;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1106;355;355;346;9;1;16;1;116;31;41;51;7;58;11;13
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;044;ŠKURINJSKA DRAGA;GEODETSKI ZAVOD RIJEKA;FRANA KRESNIKA 33;957;369;369;363;6;6;16;2;104;41;43;59;15;46;13;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;045;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAÈEVA DRAGA 13;1065;384;382;369;13;3;13;6;120;44;39;45;22;53;8;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;046;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAÈEVA DRAGA 13;862;246;246;242;4;5;9;1;59;31;25;28;18;42;9;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;047;ŠKURINJSKA DRAGA;PROSTORIJE MJESNOG ODBORA;POREÈKA 94;808;286;286;281;5;2;7;4;77;35;40;42;11;40;12;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;048;OREHOVICA;PROSTORIJE MJESNOG ODBORA;KALINA 2;467;155;155;153;2;0;3;1;47;21;10;24;10;33;4;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;049;PAŠAC;"DOM ""PAŠAC""";BALDE FUÆKA 39;331;134;134;132;2;0;6;2;37;18;8;11;4;31;8;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;050;SVILNO;"DOM KULTURE ""SVILNO""";SVILNO 82;777;287;287;281;6;2;7;2;70;25;51;50;9;43;11;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;051;BRAJDA;PROSTORIJE MJESNOG ODBORA;POMERIO 26;901;353;353;347;6;2;22;2;115;36;24;39;13;61;16;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;052;BRAJDA;"EKONOMSKA ŠKOLA ""MIJE MIRKOVIÆA""";IVANA FILIPOVIÆA 2;978;340;340;336;4;1;10;2;96;36;33;40;10;66;12;30
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;053;BRAJDA;"EKONOMSKA ŠKOLA ""MIJE MIRKOVIÆA""";IVANA FILIPOVIÆA 2;859;347;346;338;8;3;25;9;84;28;35;32;11;68;12;31
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;054;DOLAC;PRVA RIJEÈKA HRVATSKA GIMNAZIJA;FRANA KURELCA 1;583;225;225;221;4;0;5;3;69;28;19;29;9;46;6;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;055;LUKA;PROSTORIJE MJESNOG ODBORA;VERDIEVA 11;1137;445;445;435;10;1;11;3;138;34;47;79;8;88;4;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;056;ŠKOLJIÆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUÈARIÆA 1;683;244;244;243;1;1;9;2;79;18;35;38;7;36;6;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;057;ŠKOLJIÆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUÈARIÆA 1;754;284;284;281;3;3;10;7;88;29;37;30;7;38;10;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;058;MLAKA;OŠ PODMURVICE;PODMURVICE 6;1212;406;404;394;10;5;12;1;127;24;36;59;13;83;13;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;059;MLAKA;SREDNJA ŠKOLA ZA ELEKTROTEHNIKU I RAÈUNALSTVO;ZVONIMIROVA 12;1067;412;412;407;5;0;11;2;151;39;42;61;10;65;14;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;060;MLAKA;PROSTORIJE MJESNOG ODBORA;GIUSEPPEA DUELLE 2B;953;388;388;385;3;2;8;1;141;44;30;51;9;70;8;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;061;BANDEROVO;MEDICINSKI FAKULTET;BRAÆE BRANCHETTA 20;798;272;272;266;6;3;16;1;89;29;15;37;7;54;5;10
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;062;BANDEROVO;PROSTORIJE MJESNOG ODBORA;RUDOLFA TOMŠIÆA 15;1037;392;392;389;3;5;17;3;122;27;45;66;15;71;9;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;063;POTOK;PROSTORIJE MJESNOG ODBORA;MILANA BUTKOVIÆA 2;1153;486;486;481;5;4;19;3;141;50;45;65;18;101;9;26
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;064;PODMURVICE;PRAVNI FAKULTET;HAHLIÆ 6;1364;496;494;483;11;8;15;4;158;48;74;51;14;76;19;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;065;PODMURVICE;PRAVNI FAKULTET;HAHLIÆ 6;1233;391;391;384;7;6;15;0;136;36;33;50;14;62;13;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;066;PODMURVICE;PROSTORIJE MJESNOG ODBORA;DUBROVAÈKA 2;1099;406;405;394;11;10;15;5;126;39;39;57;18;61;7;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;067;PODMURVICE;"DJEÈJI VRTIÆ ""PODMURVICE""";CAVTATSKA 4;1126;401;401;395;6;6;22;4;124;27;46;70;10;59;11;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;068;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ÈURBEGA 18;975;305;305;301;4;6;7;1;113;49;31;37;4;37;5;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;069;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ÈURBEGA 18;1094;377;375;366;9;3;10;4;144;34;50;50;10;43;9;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;070;SVETI NIKOLA;PROSTORIJE MJESNOG ODBORA;ZAMETSKA 6;1033;337;337;325;12;1;6;2;120;51;31;31;6;55;7;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;071;SVETI NIKOLA;PROSTORIJE MJESNOG ODBORA;ZAMETSKA 6;1056;356;356;351;5;4;13;3;138;46;31;39;18;46;4;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;072;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;1293;475;475;465;10;2;14;9;157;42;51;68;18;69;7;28
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;073;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;1222;490;490;484;6;3;12;1;183;40;56;90;11;57;11;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;074;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;859;305;305;300;5;3;6;2;117;25;31;52;8;46;2;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;075;TURNIÆ;"OŠ ""TURNIÆ""";FRANJE ÈANDEKA 20;841;267;267;262;5;0;11;4;104;36;25;23;8;37;8;6
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;076;TURNIÆ;PROSTORIJE MJESNOG ODBORA;FRANJE ÈANDEKA 36B;872;260;260;254;6;1;7;6;93;27;29;38;7;30;1;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;077;TURNIÆ;PROSTORIJE MJESNOG ODBORA;FRANJE ÈANDEKA 36B;923;285;285;283;2;6;9;2;105;16;24;43;6;48;6;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;078;TURNIÆ;PROSTORIJE MJESNOG ODBORA;FRANJE ÈANDEKA 36B;904;290;290;285;5;3;23;6;81;43;27;37;4;36;12;13
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;079;BULEVARD;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE IVANA GORANA KOVAÈIÆA 14;777;372;372;366;6;2;15;0;89;48;46;43;12;68;11;32
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;080;BULEVARD;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE IVANA GORANA KOVAÈIÆA 14;894;409;407;402;5;0;29;2;117;42;34;51;9;85;7;26
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;081;KRIMEJA;PROSTORIJE MJESNOG ODBORA;KUMIÈIÆEVA 50;1205;496;496;489;7;3;21;6;145;52;46;69;18;93;14;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;082;KRIMEJA;PROSTORIJE MJESNOG ODBORA;KUMIÈIÆEVA 50;1257;521;520;513;7;1;16;3;179;49;45;60;8;97;18;37
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;083;CENTAR - SUŠAK;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE ANDRIJE KAÈIÆA MIOŠIÆA 8A;606;240;240;239;1;0;12;0;96;24;16;24;4;44;3;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;084;CENTAR - SUŠAK;"OŠ ""CENTAR""";PODHUMSKIH ŽRTAVA 5;842;303;303;296;7;3;11;3;106;25;39;34;5;47;6;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;085;PEÆINE;PROSTORIJE MJESNOG ODBORA;JANKA POLIÆA KAMOVA 73A;1205;518;518;516;2;3;18;5;205;49;27;75;12;87;9;26
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;086;PEÆINE;"OŠ ""PEÆINE""";ŠETALIŠTE TRINAESTE DIVIZIJE 25;761;341;341;337;4;0;11;2;108;51;26;22;11;75;6;25
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;087;PODVEŽICA;DOM UÈENIKA SUŠAK;DRAGE GERVAISA 34;1062;451;450;445;5;1;14;3;146;26;44;75;21;80;10;25
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;088;PODVEŽICA;PROSTORIJE MJESNOG ODBORA;KVATERNIKOVA 58B;1238;549;549;546;3;5;20;6;170;57;62;84;17;88;17;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;089;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;1300;519;519;513;6;6;32;5;149;41;62;72;15;89;22;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;090;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;1161;483;483;473;10;1;32;7;123;41;66;93;15;65;10;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;091;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;950;389;389;384;5;1;14;7;89;36;68;57;9;62;13;28
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;092;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;973;438;438;432;6;0;13;23;116;50;42;58;5;91;9;25
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;093;VOJAK;"OŠ ""VLADIMIR GORTAN""";PRILAZ VLADIMIRA GORTANA 2;1166;576;576;566;10;3;15;11;208;71;63;66;22;69;20;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;094;VOJAK;"OŠ ""VLADIMIR GORTAN""";PRILAZ VLADIMIRA GORTANA 2;1111;505;505;499;6;0;9;22;147;54;79;49;23;77;18;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;095;GORNJA VEŽICA;HRVATSKI DOM VEŽICA;ZDRAVKA KUÈIÆA 1;1175;437;435;428;7;3;19;7;141;38;57;60;9;68;16;10
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;096;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;1038;442;442;433;9;6;11;1;121;43;59;81;13;65;11;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;097;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;991;394;394;383;11;7;15;11;140;29;30;66;15;46;9;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;098;GORNJA VEŽICA;"DJEÈJI VRTIÆ ""MORÈIÆ""";BRAÆE STIPÈIÆ 32;1025;425;424;419;5;0;16;3;148;35;68;60;10;55;9;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;099;GORNJA VEŽICA;"DJEÈJI VRTIÆ ""MORÈIÆ""";BRAÆE STIPÈIÆ 32;1023;405;405;400;5;1;26;5;140;41;48;43;6;67;5;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;100;DRAGA;HRVATSKI DOM DRAGA;BRIG 24;1243;434;434;427;7;1;23;20;114;33;59;68;14;72;11;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;101;SVETI KUZAM;"HRVATSKI DOM ""SVETI KUZAM""";SVETI KUZAM 19;189;71;71;70;1;1;12;2;17;6;5;12;1;11;1;2
