Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA, ALTERNATIVA 101 - ALTERNATIVA;BURA;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;LISTA ZA RIJEKU - RI;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL;PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;RADNIÈKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA SELJAÈKA STRANKA - HSS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DAVOR ŠTIMAC
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;039;DRENOVA;ZAVIÈAJNI MUZEJ MO DRENOVA;DRENOVSKI PUT 138A;782;240;240;237;3;14;10;1;36;24;22;18;17;9;69;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;040;ŠKURINJE;"OŠ  ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1316;430;430;416;14;20;8;13;65;18;56;22;38;15;112;49
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;041;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1090;325;325;318;7;14;12;9;46;17;53;14;12;15;85;41
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;042;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1182;427;427;416;11;18;2;11;63;16;51;26;32;21;139;37
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;043;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1106;355;355;348;7;22;1;8;54;15;41;20;37;11;96;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;044;ŠKURINJSKA DRAGA;GEODETSKI ZAVOD RIJEKA;FRANA KRESNIKA 33;957;369;369;358;11;20;2;9;57;20;41;28;28;15;103;35
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;045;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAÈEVA DRAGA 13;1065;384;382;371;11;14;5;8;63;10;37;28;31;28;113;34
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;046;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAÈEVA DRAGA 13;862;246;246;240;6;18;0;0;31;7;37;28;21;16;54;28
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;047;ŠKURINJSKA DRAGA;PROSTORIJE MJESNOG ODBORA;POREÈKA 94;808;286;286;282;4;26;3;8;47;13;37;17;27;15;67;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;048;OREHOVICA;PROSTORIJE MJESNOG ODBORA;KALINA 2;467;155;155;155;0;8;2;4;30;1;11;6;20;8;45;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;049;PAŠAC;"DOM ""PAŠAC""";BALDE FUÆKA 39;331;134;134;132;2;18;1;2;15;3;10;11;12;9;34;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;050;SVILNO;"DOM KULTURE ""SVILNO""";SVILNO 82;777;287;287;281;6;13;3;7;55;10;49;14;18;10;74;28
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;051;BRAJDA;PROSTORIJE MJESNOG ODBORA;POMERIO 26;901;353;352;343;9;29;3;3;34;24;23;32;25;18;102;50
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;052;BRAJDA;"EKONOMSKA ŠKOLA ""MIJE MIRKOVIÆA""";IVANA FILIPOVIÆA 2;978;340;340;332;8;13;0;2;42;10;35;43;27;18;85;57
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;053;BRAJDA;"EKONOMSKA ŠKOLA ""MIJE MIRKOVIÆA""";IVANA FILIPOVIÆA 2;859;347;346;339;7;22;7;12;39;24;38;38;25;15;79;40
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;054;DOLAC;PRVA RIJEÈKA HRVATSKA GIMNAZIJA;FRANA KURELCA 1;583;220;220;217;3;11;3;2;34;12;20;18;18;9;62;28
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;055;LUKA;PROSTORIJE MJESNOG ODBORA;VERDIEVA 11;1137;445;445;433;12;19;4;2;89;15;44;38;31;11;113;67
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;056;ŠKOLJIÆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUÈARIÆA 1;683;244;244;244;0;15;5;1;43;11;30;24;13;7;68;27
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;057;ŠKOLJIÆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUÈARIÆA 1;754;284;284;279;5;15;7;7;37;15;28;37;21;9;80;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;058;MLAKA;OŠ PODMURVICE;PODMURVICE 6;1212;406;403;395;8;22;5;7;58;19;33;29;22;14;123;63
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;059;MLAKA;SREDNJA ŠKOLA ZA ELEKTROTEHNIKU I RAÈUNALSTVO;ZVONIMIROVA 12;1067;412;412;402;10;23;5;5;69;13;37;18;27;21;144;40
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;060;MLAKA;PROSTORIJE MJESNOG ODBORA;GIUSEPPEA DUELLE 2B;953;388;388;383;5;17;4;10;61;12;29;36;37;11;128;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;061;BANDEROVO;MEDICINSKI FAKULTET;BRAÆE BRANCHETTA 20;798;272;272;265;7;13;6;5;38;19;15;16;16;13;82;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;062;BANDEROVO;PROSTORIJE MJESNOG ODBORA;RUDOLFA TOMŠIÆA 15;1037;392;392;382;10;26;3;8;71;30;40;16;19;21;97;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;063;POTOK;PROSTORIJE MJESNOG ODBORA;MILANA BUTKOVIÆA 2;1153;486;486;482;4;24;6;8;77;25;45;49;45;22;118;63
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;064;PODMURVICE;PRAVNI FAKULTET;HAHLIÆ 6;1364;496;495;487;8;33;5;19;61;23;56;27;40;24;145;54
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;065;PODMURVICE;PRAVNI FAKULTET;HAHLIÆ 6;1233;391;391;386;5;25;3;10;58;16;34;23;33;28;118;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;066;PODMURVICE;PROSTORIJE MJESNOG ODBORA;DUBROVAÈKA 2;1099;406;405;395;10;19;7;10;64;21;33;31;27;23;117;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;067;PODMURVICE;"DJEÈJI VRTIÆ ""PODMURVICE""";CAVTATSKA 4;1126;401;401;394;7;28;5;5;78;23;40;23;23;15;116;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;068;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ÈURBEGA 18;975;305;305;299;6;9;2;7;44;11;26;13;36;11;110;30
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;069;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ÈURBEGA 18;1094;376;376;366;10;15;8;6;56;16;40;13;31;18;136;27
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;070;SVETI NIKOLA;PROSTORIJE MJESNOG ODBORA;ZAMETSKA 6;1033;337;336;325;11;9;4;5;41;18;25;24;31;6;125;37
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;071;SVETI NIKOLA;PROSTORIJE MJESNOG ODBORA;ZAMETSKA 6;1056;356;356;352;4;15;3;7;46;21;25;19;40;22;125;29
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;072;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;1293;475;475;468;7;26;6;16;79;14;38;48;41;28;129;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;073;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;1222;490;490;486;4;22;0;9;94;14;46;30;47;21;163;40
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;074;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;859;305;305;294;11;7;5;7;52;10;29;20;30;6;100;28
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;075;TURNIÆ;"OŠ ""TURNIÆ""";FRANJE ÈANDEKA 20;841;260;260;255;5;18;5;4;29;11;20;12;32;11;95;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;076;TURNIÆ;PROSTORIJE MJESNOG ODBORA;FRANJE ÈANDEKA 36B;872;260;260;257;3;11;7;2;43;9;23;20;19;8;94;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;077;TURNIÆ;PROSTORIJE MJESNOG ODBORA;FRANJE ÈANDEKA 36B;923;285;285;284;1;15;3;5;52;10;26;27;13;10;96;27
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;078;TURNIÆ;PROSTORIJE MJESNOG ODBORA;FRANJE ÈANDEKA 36B;904;289;289;282;7;16;5;8;49;24;25;20;29;4;83;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;079;BULEVARD;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE IVANA GORANA KOVAÈIÆA 14;777;372;372;367;5;24;5;4;46;11;47;47;36;13;87;47
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;080;BULEVARD;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE IVANA GORANA KOVAÈIÆA 14;894;409;409;406;3;20;10;4;48;28;29;48;41;10;106;62
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;081;KRIMEJA;PROSTORIJE MJESNOG ODBORA;KUMIÈIÆEVA 50;1205;496;496;491;5;26;9;7;87;29;38;34;47;16;139;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;082;KRIMEJA;PROSTORIJE MJESNOG ODBORA;KUMIÈIÆEVA 50;1257;521;519;513;6;25;7;5;68;21;46;62;33;16;161;69
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;083;CENTAR - SUŠAK;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE ANDRIJE KAÈIÆA MIOŠIÆA 8A;606;240;240;235;5;11;1;2;34;10;14;27;13;3;84;36
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;084;CENTAR - SUŠAK;"OŠ ""CENTAR""";PODHUMSKIH ŽRTAVA 5;842;303;303;296;7;18;3;5;41;16;29;25;25;13;83;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;085;PEÆINE;PROSTORIJE MJESNOG ODBORA;JANKA POLIÆA KAMOVA 73A;1205;518;518;512;6;19;8;13;89;21;30;45;45;14;179;49
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;086;PEÆINE;"OŠ ""PEÆINE""";ŠETALIŠTE TRINAESTE DIVIZIJE 25;761;343;338;337;1;14;5;4;30;10;24;49;39;16;98;48
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;087;PODVEŽICA;DOM UÈENIKA SUŠAK;DRAGE GERVAISA 34;1062;451;450;444;6;26;8;10;79;21;41;40;20;22;121;56
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;088;PODVEŽICA;PROSTORIJE MJESNOG ODBORA;KVATERNIKOVA 58B;1238;548;548;539;9;40;7;11;84;26;57;35;43;17;151;68
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;089;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;1300;519;519;509;10;42;6;16;73;32;48;31;36;21;141;63
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;090;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;1161;481;481;475;6;20;11;24;99;32;55;29;34;17;106;48
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;091;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;950;389;389;385;4;25;8;9;75;18;52;39;28;11;81;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;092;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;973;438;438;432;6;22;26;5;59;15;42;40;40;12;112;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;093;VOJAK;"OŠ ""VLADIMIR GORTAN""";PRILAZ VLADIMIRA GORTANA 2;1166;576;576;565;11;37;12;13;70;23;57;49;44;24;189;47
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;094;VOJAK;"OŠ ""VLADIMIR GORTAN""";PRILAZ VLADIMIRA GORTANA 2;1111;505;505;493;12;28;21;14;56;18;66;36;29;27;140;58
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;095;GORNJA VEŽICA;HRVATSKI DOM VEŽICA;ZDRAVKA KUÈIÆA 1;1175;437;436;430;6;28;8;6;66;22;55;23;33;14;133;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;096;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;1038;442;442;434;8;22;4;11;90;15;51;34;38;17;108;44
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;097;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;991;394;394;381;13;27;8;9;70;21;37;23;29;12;117;28
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;098;GORNJA VEŽICA;"DJEÈJI VRTIÆ ""MORÈIÆ""";BRAÆE STIPÈIÆ 32;1025;424;424;414;10;20;2;6;77;15;61;24;20;15;136;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;099;GORNJA VEŽICA;"DJEÈJI VRTIÆ ""MORÈIÆ""";BRAÆE STIPÈIÆ 32;1023;405;405;398;7;13;6;6;45;34;47;32;33;12;123;47
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;100;DRAGA;HRVATSKI DOM DRAGA;BRIG 24;1243;434;434;428;6;31;25;6;86;19;57;21;18;16;108;41
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;101;SVETI KUZAM;"HRVATSKI DOM ""SVETI KUZAM""";SVETI KUZAM 19;189;71;71;69;2;5;1;0;11;10;4;4;9;1;15;9
