Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARIO RAJN;MATO DEVČIĆ
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;028;LEMEŠ KRIŽEVAČKI;DRUŠTVENI DOM LEMEŠ KRIŽEVAČKI;LEMEŠ KRIŽEVAČKI;156;82;82;81;1;74;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;029;ERDOVEC;VATROGASNI DOM ERDOVEC;ERDOVEC;162;76;76;76;0;73;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;030;DONJA GLOGOVNICA;PODRUČNA ŠKOLA DONJA GLOGOVNICA;DONJA GLOGOVNICA;347;119;119;116;3;48;68
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;031;GRAČINA;VATROGASNI DOM GRAČINA;GRAČINA;152;64;64;62;2;46;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;032;IVANEC KRIŽEVAČKI;VATROGASNI DOM IVANEC KRIŽEVAČKI;IVANEC KRIŽEVAČKI;250;91;91;89;2;34;55
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;033;KLOŠTAR VOJAKOVAČKI;PODRUČNA ŠKOLA KLOŠTAR VOJAKOVAČKI;KLOŠTAR VOJAKOVAČKI;303;88;88;85;3;50;35
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;034;MAJUREC;VATROGASNI DOM MAJUREC;MAJUREC;350;128;128;120;8;69;51
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;035;NOVAKI RAVENSKI;VATROGASNI DOM NOVAKI RAVENSKI;NOVAKI RAVENSKI;134;51;51;50;1;31;19
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;036;OSIJEK VOJAKOVAČKI;DRUŠTVENI DOM OSIJEK VOJAKOVAČKI;OSIJEK VOJAKOVAČKI;133;68;68;66;2;57;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;037;PAVLOVEC RAVENSKI;VATROGASNI DOM PAVLOVEC RAVENSKI;PAVLOVEC RAVENSKI;108;47;47;47;0;39;8
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;038;POLJANA KRIŽEVAČKA;DRUŠTVENI DOM POLJANA KRIŽEVAČKA;POLJANA KRIŽEVAČKA;275;120;120;119;1;90;29
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;039;PODGAJEC;DRUŠTVENI DOM PODGAJEC;PODGAJEC;172;70;70;65;5;37;28
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;040;SVETA HELENA;VATROGASNI DOM SVETA HELENA;SVETA HELENA;236;138;138;135;3;71;64
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;041;SVETI MARTIN;DRUŠTVENI DOM SVETI MARTIN;SVETI MARTIN;230;87;87;84;3;70;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;042;ŠPIRANEC;VATROGASNI DOM ŠPIRANEC;ŠPIRANEC;140;50;50;49;1;39;10
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;043;VEĆESLAVEC;DRUŠTVENI DOM VEĆESLAVEC;VEĆESLAVEC;97;27;27;26;1;23;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;044;POVELIĆ;VATROGASNI DOM POVELIĆ;POVELIĆ;57;36;36;36;0;25;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;045;RUŠEVAC;VATROGASNI DOM RUŠEVAC;RUŠEVAC;126;62;62;61;1;47;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;046;VELIKI POTOČEC;VATROGASNI DOM VELIKI POTOČEC;VELIKI POTOČEC;315;113;113;102;11;64;38
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;047;VELIKI RAVEN;PODRUČNA ŠKOLA VELIKI RAVEN;VELIKI RAVEN;206;79;79;78;1;64;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;048;VELIKE SESVETE;DRUŠTVENI DOM VELIKE SESVETE;VELIKE SESVETE;96;28;28;28;0;24;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;049;VOJAKOVAC;PODRUČNA ŠKOLA VOJAKOVAC;VOJAKOVAC;389;93;93;93;0;86;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;050;ŽIBRINOVEC;DRUŠTVENI DOM ŽIBRINOVEC;ŽIBRINOVEC;95;39;39;37;2;28;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;051;LEMEŠ;VATROGASNI DOM LEMEŠ;LEMEŠ;84;31;31;31;0;28;3
