Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;FOKUS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA STRANKA PRAVA - HSP;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;011;NOVI SENKOVAC;PODRUČNA OSNOVNA ŠKOLA;NOVI SENKOVAC;221;97;97;95;2;19;12;41;16;0;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;012;RADOSAVCI;KUĆA U VLASNIŠTVU ZDENKA FODORA;RADOSAVCI 14;82;53;53;51;2;5;2;15;19;2;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;013;SLADOJEVAČKI LUG;DOM MJESNOG ODBORA;SLADOJEVAČKI LUG;71;30;30;30;0;10;1;14;0;0;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;014;SLADOJEVCI;PODRUČNA OSNOVNA ŠKOLA;SLADOJEVCI;580;210;210;204;6;40;8;121;12;2;21
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;015;SLATINA;DOM MJESNOG ODBORA BRAĆE RADIĆ I MATIJA GUBEC (ZGRADA ''III.RAJON'');BRAĆE RADIĆA 124;656;257;257;250;7;62;44;106;12;1;25
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;016;SLATINA;ZGRADA HRVATSKOG DOMA;BRAĆE RADIĆA 4;657;318;318;303;15;72;44;115;19;8;45
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;017;SLATINA;INDUSTRIJSKO-OBRTNIČKA ŠKOLA SLATINA;TRG RUĐERA BOŠKOVIĆA 5 A;608;273;273;258;15;63;37;99;11;4;44
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;018;SLATINA;"ZGRADA DJEČJEG VRTIĆA ""ZEKO""";TRG ZBORA NARODNE GARDE 1;637;306;306;294;12;52;54;110;3;15;60
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;019;SLATINA;ZGRADA NEVLADINIH ORGANIZACIJA I GRADSKOG DRUŠTVA CRVENOG KRIŽA;BRAĆE RADIĆA 13A;869;319;319;310;9;75;62;126;7;8;32
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;020;SLATINA;DOM DVD-A;ANTE KOVAČIĆA 4;669;277;277;273;4;66;50;86;15;13;43
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;021;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;634;282;282;269;13;56;54;105;6;6;42
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;022;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;640;250;250;241;9;67;27;103;11;1;32
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;023;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;714;317;317;307;10;58;52;145;8;5;39
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;024;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;684;331;331;315;16;64;51;147;9;7;37
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;025;SLATINA;OSNOVNA ŠKOLA EUGENA KUMIČIĆA;DOBRIŠE CESARIĆA 24;997;413;413;396;17;93;65;136;25;14;63
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;026;SLATINA;"DOM MJESNOG ODBORA ""VLADIMIR NAZOR""";SLATINA;810;336;336;327;9;80;61;142;5;7;32
