Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IGOR PAVKOVIĆ;STANIŠA ŽARKOVIĆ
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;001;ČAČINCI;OSNOVNA ŠKOLA A.G.MATOŠA;ČAČINCI, TRG KARDINALA FRANJE KUHARIĆA 3;46;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;002;ČAČINCI;VIJEĆNICA OPĆINE ČAČINCI;TRG KARDINALA FRANJE KUHARIĆA 2;30;2;2;2;0;1;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;003;ČAČINCI;ZGRADA ŠUMARIJE;ČAČINCI, FRANJE JUSUPA 2;27;2;2;1;1;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;004;BUKVIK;DRUŠTVENI DOM BUKVIK;OMERA ŠILOVIĆA BB;4;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;005;BREZOVLJANI VOJLOVIČKI;DRUŠTVENI DOM;BREZOVLJANI VOJLOVIČKI BB;23;3;3;3;0;1;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;006;PAUŠINCI;DRUŠTVENI DOM;PAUŠINCI, JOSIPA JURENCA BB;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;007;HUMLJANI;PODRUČNA ŠKOLA;HUMLJANI BB;7;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;008;SLATINSKI DRENOVAC;CENTAR ZA POSJETITELJE JU PARK PRIRODE PAPUK;SLATINSKI DRENOVAC, TRG BANA JELAČIĆA 2;69;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;001;ČAĐAVICA;VIJEĆNICA OPĆINSKOG VIJEĆA;KOLODVORSKA 2;17;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;002;ČAĐAVIČKI LUG;MJESNI DOM;ČAĐAVIČKI LUG;27;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;003;ZVONIMIROVAC;VATROGASNI DOM;ZVONIMIROVAC;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;004;DONJE BAZIJE;MJESNI DOM;DONJE BAZIJE;12;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;005;ŠAŠEVO;MJESNI DOM;ŠAŠEVO;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;006;STARIN;VATROGASNI DOM;STARIN;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;007;VRANEŠEVCI;MJESNI DOM;VRANEŠEVCI;48;32;32;31;1;23;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;008;NOSKOVCI;MJESNI DOM;NOSKOVCI;16;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;001;GRADINA;VATROGASNI DOM GRADINA (SALA);TRG HRVATSKIH BRANITELJA 1;28;5;5;5;0;4;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;002;GRADINA;VATROGASNI DOM GRADINA (PRIJAŠNJE PROSTORIJE OPĆINE);TRG HRVATSKIH BRANITELJA 1;6;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;003;BAČEVAC;PODRUČNA ŠKOLA BAČEVAC;BAČEVAC 67;6;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;004;BREZOVICA;DRUŠTVENI DOM BREZOVICA;BREZOVICA, STJEPANA RADIĆA 2;10;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;005;BUDAKOVAC;DRUŠTVENI DOM BUDAKOVAC;ČOROVA 43;40;12;12;10;2;9;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;006;DETKOVAC;DRUŠTVENI DOM DETKOVAC;DETKOVAC 99;49;11;11;11;0;8;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;007;LIPOVAC;DOM KULTURE LIPOVAC;ALOJZIJA STEPINCA 10;62;8;8;8;0;6;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;008;LUG GRADINSKI;PODRUČNA ŠKOLA LUG GRADINSKI;LUG GRADINSKI 85;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;009;NOVI GRADAC;DRUŠTVENI DOM NOVI GRADAC;NOVI GRADAC 48;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;010;RUŠANI;PODRUČNA ŠKOLA RUŠANI;RUŠANI 83;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;011;ŽLEBINA;DRUŠTVENI DOM ŽLEBINA;ZDENKA SABOLIĆA 3;45;8;8;8;0;6;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;001;TEREZINO POLJE;DRUŠTVENI DOM;TEREZINO POLJE;55;7;7;5;2;2;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;002;VELIKO POLJE;OSNOVNA ŠKOLA;VELIKO POLJE;9;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;003;VELIKO POLJE;DRUŠTVENI DOM;VELIKO POLJE;44;11;11;11;0;2;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;004;GORNJE BAZJE;DRUŠTVENI DOM;GORNJE BAZJE;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;005;TURANOVAC;PROSTORIJE MJESNOG ODBORA;TURANOVAC;11;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;006;KAPELA DVOR;DRUŠTVENI DOM;KAPELA DVOR;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;007;LUKAČ;OSNOVNA ŠKOLA;LUKAČ;7;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;008;BUDROVAC LUKAČKI;DRUŠTVENI DOM;BUDROVAC LUKAČKI;17;5;5;5;0;0;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;009;DUGO SELO LUKAČKO;DRUŠTVENI DOM;DUGO SELO LUKAČKO;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;010;BREZIK;PROSTORIJE MJESNOG ODBORA NA DJEČJEM IGRALIŠTU;BREZIK;5;1;1;0;1;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;MIKLEUŠ;001;MIKLEUŠ;VIJEĆNICA OPĆINSKOG VIJEĆA OPĆINE MIKLEUŠ;NIKOLE ŠUBIĆA ZRINSKOG 93;59;8;8;7;1;7;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;MIKLEUŠ;002;BORIK;ZGRADA BIVŠE OSNOVNE ŠKOLE;BORIK;27;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;MIKLEUŠ;003;ČETEKOVAC;ZGRADA OSNOVNE ŠKOLE ČETEKOVAC;ČETEKOVAC;6;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;001;NOVA BUKOVICA;DOM KULTURE NOVA BUKOVICA;TRG DR. FRANJE TUĐMANA 1;20;3;3;1;2;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;002;NOVA BUKOVICA;VATROGASNI DOM NOVA BUKOVICA;ZAGREBAČKA 3;7;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;003;BREZIK;MJESNI DOM;BREZIK;10;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;004;MILJEVCI;HRVATSKI-SLOVAČKI DOM;KRALJA TOMISLAVA 18;17;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;005;DOBROVIĆ;SEOSKI DOM;DOBROVIĆ;48;19;19;19;0;5;14
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;006;BUKOVAČKI ANTUNOVAC;SEOSKI DOM;BUKOVAČKI ANTUNOVAC;25;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;007;DONJA BUKOVICA;SEOSKI DOM;DONJA BUKOVICA;34;17;17;16;1;15;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;001;KLADARE;VATROGASNI DOM;KLADARE 33 B;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;002;DINJEVAC;PODRUČNA ŠKOLA;DINJEVAC, VLADIMIRA NAZORA 60;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;003;GRABROVNICA;PODRUČNA ŠKOLA;GRABROVNICA 98 A;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;004;STAROGRADAČKI MAROF;PODRUČNA ŠKOLA;STAROGRADAČKI MAROF 6 A;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;005;STARI GRADAC;PODRUČNA ŠKOLA;STARI GRADAC, VLADIMIRA NAZORA 115 B;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;006;TURNAŠICA;PODRUČNA ŠKOLA;TURNAŠICA, TRG STJEPANA SULIMANCA 5;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;007;SEDLARICA;PODRUČNA ŠKOLA;SEDLARICA 65 A;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;008;VELIKA ČREŠNJEVICA;PODRUČNA ŠKOLA;VELIKA ČREŠNJEVICA 130;20;3;3;3;0;3;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;009;MALA ČREŠNJEVICA;PODRUČNA ŠKOLA;MALA ČREŠNJEVICA 105;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;010;OTROVANEC;PODRUČNA ŠKOLA;OTROVANEC 89 A;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;011;PITOMAČA;VATROGASNI DOM;VINOGRADSKA 32;5;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;012;PITOMAČA;OPĆINA PITOMAČA;LJUDEVITA GAJA 26/I;5;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;013;PITOMAČA;ZGRADA UDRUŽENJA OBRTNIKA OPĆINE PITOMAČA;PETRA PRERADOVIĆA 5;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;014;PITOMAČA;PRIVATNA KUĆA VLADE SILADIĆA;PITOMAČA, BRAĆE RADIĆA 70;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;015;PITOMAČA;PRIVATNA KUĆA MARINE JAKUPEC;VLADIMIRA NAZORA 85 A;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;016;PITOMAČA;OSNOVNA ŠKOLA PETRA PRERADOVIĆA;TRG KRALJA TOMISLAVA 9;5;0;0;0;0;0;0
