Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VLADIMIR BESEK;IVICA KIRIN;DRAŽEN KUREČIĆ;SINIŠA PRPIĆ
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;015;VIROVITICA;GLAZBENA ŠKOLA JAN VLAŠIMSKY VIROVITICA;ULICA ANTUNA MIHANOVIĆA 21;635;343;343;337;6;29;209;57;42
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;016;VIROVITICA;OSNOVNA ŠKOLA IVANE BRLIĆ MAŽURANIĆ;ULICA TINA UJEVIĆA 18;507;279;279;274;5;35;114;74;51
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;017;VIROVITICA;HOK-OSIGURANJE D.D.;ULICA STJEPANA RADIĆA 66;470;220;220;211;9;29;97;58;27
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;018;VIROVITICA;BIVŠI VATROGASNI DOM;TRG KRALJA ZVONIMIRA 2;620;317;317;311;6;35;160;66;50
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;019;VIROVITICA;DOM UMIROVLJENIKA;ULICA MATIJE GUPCA 12;460;220;220;209;11;39;79;34;57
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;020;VIROVITICA;VISOKA ŠKOLA VIROVITICA (BIVŠA ''VOJARNA'');ULICA MATIJE GUPCA 78;556;234;234;228;6;23;136;25;44
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;021;VIROVITICA;ELEKTRA VIROVITICA;ULICA ANTUNA MIHANOVIĆA 42;635;317;317;306;11;36;174;50;46
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;022;VIROVITICA;AUTOŠKOLA ARTIS;ULICA ĐURE BASARIČEKA 20 (PROSTOR PREDAVAONICE);886;463;461;448;13;65;185;114;84
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;023;VIROVITICA;OSNOVNA ŠKOLA VLADIMIR NAZOR;ULICA TOMAŠA MASARYKA 21;707;359;359;351;8;45;177;55;74
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;024;VIROVITICA;DJEČJI VRTIĆ CVRČAK (JASLICE);PEJAČEVIĆEVA ULICA 1;884;449;449;429;20;55;241;76;57
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;025;VIROVITICA;KAZALIŠTE VIROVITICA;TRG LJUDEVITA PATAČIĆA 2;609;286;286;278;8;29;148;50;51
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;026;VIROVITICA;VETERINARSKA STANICA VIROVITICA D.O.O.;ULICA JOSIPA JURJA STROSSMAYERA 38;804;352;352;338;14;37;179;53;69
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;027;VIROVITICA;CENTAR ZA SOCIJALNU SKRB;ULICA VLADIMIRA NAZORA 1;388;206;206;199;7;16;119;35;29
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;028;VIROVITICA;''OPECO'' VIROVITICA;ULICA JOSIPA JURJA STROSSMAYERA 106;646;276;276;264;12;45;133;41;45
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;029;VIROVITICA;TEHNIČKA ŠKOLA;ULICA ZBORA NARODNE GARDE 29;904;365;365;344;21;31;175;76;62
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;030;VIROVITICA;FLORA VTC D.O.O.;VUKOVARSKA CESTA 5;634;266;266;260;6;35;151;42;32
