Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR MANDIÆ;DAVOR PETRAÈIÆ;DRAŽENKA POLOVIÆ;AMIRUDIN TALAKIÆ;ÈEDOMIR TATALOVIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;016;BIRAÈKO MJESTO BR. 16;DRUŠTVENI DOM HUSJE;HUSJE 29 B;148;97;97;91;6;68;10;5;5;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;017;BIRAÈKO MJESTO BR. 17;VATROGASNI DOM DVD POKUPSKI KOBILIÆ;KOBILIÆ POKUPSKI 29 A;35;22;22;21;1;13;6;0;1;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;018;BIRAÈKO MJESTO BR. 18;PROSTORIJE MO POKUPSKA DOLINA;DONJE MEKUŠJE 33 A;176;119;119;116;3;86;24;2;2;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;019;BIRAÈKO MJESTO BR. 19;PROSTORIJE DRUŠTVENOG DOMA VODOSTAJ;VODOSTAJ 42 C;227;120;120;120;0;83;29;7;1;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;020;BIRAÈKO MJESTO BR. 20;DRUŠTVENI DOM ÈURJACI;VODOSTAJ 140 B;51;24;24;23;1;11;12;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;021;BIRAÈKO MJESTO BR. 21;PROSTORIJE MO REÈICA;POKUPSKA LUKA  9;313;101;101;98;3;66;18;6;5;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;022;BIRAÈKO MJESTO BR. 22;DRUŠTVENI DOM KARASI;KARASI 13 A;53;37;37;35;2;23;11;0;0;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;023;BIRAÈKO MJESTO BR. 23;"PROSTORIJE ""ZUK"" ZAMRŠJE";ZAMRŠJE 30 B;144;75;75;70;5;50;15;3;2;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;024;BIRAÈKO MJESTO BR. 24;PROSTORIJE ZDRAVSTVENE AMB.REÈICA;REÈICA 47 B;271;168;168;159;9;136;15;1;6;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;025;BIRAÈKO MJESTO BR. 25;VATROGASNI DOM DVD DONJA REÈICA;REÈICA 166;164;92;92;85;7;73;8;1;3;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;026;BIRAÈKO MJESTO BR. 26;VATROGASNI DOM DVD KORITINJA;KORITINJA 23 A;131;70;70;67;3;53;10;3;1;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;027;BIRAÈKO MJESTO BR. 27;PROSTORIJE MO ŠIŠLJAVIÆ;ŠIŠLJAVIÆ 67;407;186;186;180;6;145;20;5;7;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;028;BIRAÈKO MJESTO BR. 28;DRUŠTVENI DOM RIBARI;RIBARI 29 A;123;106;106;104;2;98;4;1;1;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;029;BIRAÈKO MJESTO BR. 29;VATROGASNI DOM DVD BROÐANI;BROÐANI 38 A;30;21;21;21;0;18;2;1;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;030;BIRAÈKO MJESTO BR. 30;"LOVAÈKI DOM ""LISICA""";BREŽANI 9 A;101;71;71;69;2;58;10;0;0;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;031;BIRAÈKO MJESTO BR. 31;GIMNAZIJA KARLOVAC;RAKOVAC 4;1185;449;449;433;16;169;164;76;17;7
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;032;BIRAÈKO MJESTO BR. 32;EKONOMSKA ŠKOLA KARLOVAC;KURELÈEVA 2;231;103;103;100;3;19;55;17;6;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;033;BIRAÈKO MJESTO BR. 33;PROSTORIJE GRADSKE ÈETVRTI RAKOVAC;DOMOBRANSKA 20 C;1230;578;576;549;27;200;237;81;19;12
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;034;BIRAÈKO MJESTO BR. 34;GIMNAZIJA KARLOVAC;RAKOVAC 4;506;207;207;195;12;72;84;31;5;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;035;BIRAÈKO MJESTO BR. 35;PROSTORIJE MO LOGORIŠTE;LOGORIŠTE 38;320;154;154;152;2;86;51;11;1;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;036;BIRAÈKO MJESTO BR. 36;PROSTORIJE MO MALA ŠVARÈA;MALA ŠVARÈA 84;691;290;290;284;6;150;101;17;9;7
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;037;BIRAÈKO MJESTO BR. 37;PROSTORIJE GÈ ŠVARÈA;TRG SV.FRANJE KSAVERSKOG 2;915;394;393;385;8;173;147;35;20;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;038;BIRAÈKO MJESTO BR. 38;PROSTORIJE GÈ ŠVARÈA;TRG SV.FRANJE KSAVERSKOG 2;1815;657;655;636;19;293;234;86;11;12
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;039;BIRAÈKO MJESTO BR. 39;PROSTORIJE GÈ LUŠÈIÆ-JAMADOL;MEDOVIÆEVA 5 C;1075;467;467;467;0;183;191;68;16;9
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;040;BIRAÈKO MJESTO BR. 40;PROSTORIJE GÈ LUŠÈIÆ-JAMADOL;MEDOVIÆEVA 5 C;1178;484;483;469;14;176;226;46;11;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;041;BIRAÈKO MJESTO BR. 41;ŠPORTSKA STRELJANA;JAMADOLSKA 2 A;844;389;389;379;10;170;159;33;12;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;042;BIRAÈKO MJESTO BR. 42;MO LADVENJAK-DOM SELIŠÆE;LADVENJAK 56 B;163;72;72;70;2;42;19;2;2;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;043;BIRAÈKO MJESTO BR. 43;DRUŠTVENI DOM LADVENJAK;LADVENJAK 101 B;177;52;52;51;1;35;10;0;5;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;044;BIRAÈKO MJESTO BR. 44;OSNOVNA ŠKOLA TUŠILOVIÆ;TUŠILOVIÆ 58;788;248;246;231;15;169;28;15;8;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;045;BIRAÈKO MJESTO BR. 45;PROSTORIJE GRADSKE ÈETVRTI MOSTANJE;MOSTANJE 94;515;212;212;208;4;89;84;27;4;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;046;BIRAÈKO MJESTO BR. 46;PROSTORIJE GRADSKE ÈETVRTI MOSTANJE-KUD-A MOSTANJE;MOSTANJE 94;555;244;244;235;9;134;68;22;10;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;047;BIRAÈKO MJESTO BR. 47;PRIVATNA KUÆA ŽELJKA STAVLJENIÆA;JELAŠI 74;356;145;145;140;5;77;40;9;10;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;048;BIRAÈKO MJESTO BR. 48;DRUŠTVENI DOM TURANJSKI GOLJAKI;TURANJSKI GOLJAKI;262;108;108;106;2;67;20;10;4;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;049;BIRAÈKO MJESTO BR. 49;DRUŠTVENI DOM ZASTINJA;ZASTINJA 11;125;77;77;76;1;61;13;1;1;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;050;BIRAÈKO MJESTO BR. 50;PROSTORIJE GÈ TURANJ;BRAÆE GOJAK 4;1179;441;441;427;14;197;148;37;34;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;051;BIRAÈKO MJESTO BR. 51;PROSTORIJE GÈ TURANJ,PROSTORIJA SAJEVAC;BRAÆE GOJAK 111;483;138;138;135;3;84;26;11;12;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;052;BIRAÈKO MJESTO BR. 52;PROSTORIJE MO KAMENSKO;KAMENSKO 73 B;411;195;194;186;8;95;33;4;48;6
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;053;BIRAÈKO MJESTO BR. 53;PROSTORIJE MO GORNJE MEKUŠJE;MEKUŠANSKA CESTA 63;417;181;181;173;8;88;59;8;10;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;054;BIRAÈKO MJESTO BR. 54;PROSTORIJE MO CEROVAC VUKMANIÆKI;CEROVAC VUKMANIÆKI 58;822;262;262;252;10;187;29;8;12;16
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;055;BIRAÈKO MJESTO BR. 55;PROSTORIJE MO VUKMANIÆ;VUKMANIÆ 88;188;124;124;118;6;93;11;3;0;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;056;BIRAÈKO MJESTO BR. 56;PROSTORIJE MO  POPOVIÆ BRDO;POPOVIÆ BRDO 30 B;239;115;115;110;5;95;10;0;2;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;057;BIRAÈKO MJESTO BR. 57;PROSTORIJE MO POPOVIÆ BRDO;POPOVIÆ BRDO 30 B;128;26;26;24;2;9;10;0;2;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;058;BIRAÈKO MJESTO BR. 58;PROSTORIJE MO KABLAR;KABLAR 12;153;89;89;82;7;68;12;0;1;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;059;BIRAÈKO MJESTO BR. 59;PRIVATNA KUÆA ANDRIJE KLOBUÈARA;SLUNJSKA SELNICA 51;62;53;53;52;1;37;11;1;1;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;060;BIRAÈKO MJESTO BR. 60;PRIVATNA KUÆA ŽELJKA BABURIÆA;BANSKA SELNICA 53;76;58;58;58;0;52;2;2;0;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;061;BIRAÈKO MJESTO BR. 61;PROSTORIJE OSNOVNE ŠKOLE SKAKAVAC;SKAKAVAC 44;248;99;99;95;4;70;20;2;3;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;062;BIRAÈKO MJESTO BR. 62;PRIVATNA KUÆA MATE JOHA;SLUNJSKI MORAVCI  3;66;38;38;33;5;27;6;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;063;BIRAÈKO MJESTO BR. 63;PROSTORIJE MO SJENIÈAK-UTINJA;GORNJI SJENIÈAK 260;218;30;30;29;1;20;3;2;0;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;064;BIRAÈKO MJESTO BR. 64;TRGOVINA TIBICEN;UTINJA 3 A;113;33;33;33;0;27;3;1;1;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;065;BIRAÈKO MJESTO BR. 65;STARA ŠKOLA DUBOVAC;DUBOVAC 8;353;127;127;122;5;50;52;14;4;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;066;BIRAÈKO MJESTO BR. 66;PROSTORIJE GÈ DUBOVAC;DUBOVAC 11;809;350;349;339;10;133;144;50;6;6
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;067;BIRAÈKO MJESTO BR. 67;OSNOVNA ŠKOLA DUBOVAC;PRIMORSKA 9;593;213;213;205;8;84;78;32;9;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;068;BIRAÈKO MJESTO BR. 68;PROSTORIJE MJESNOG ODBORA, BORLIN;V.BOGOVIÆA 17;1308;587;587;565;22;272;218;29;25;21
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;069;BIRAÈKO MJESTO BR. 69;PROSTORIJE MO ZAGRAD-KALVARIJA-VUÈJAK;KALVARIJA 7 B;664;260;260;250;10;131;79;30;3;7
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;070;BIRAÈKO MJESTO BR. 70;PROSTORIJE MO VELIKA JELSA;DONJA JELSA 186;1406;515;515;496;19;243;159;46;22;26
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;071;BIRAÈKO MJESTO BR. 71;PROSTORIJE MO MALA JELSA;MALA JELSA 9 A;294;149;149;145;4;84;50;8;2;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;072;BIRAÈKO MJESTO BR. 72;OSNOVNA ŠKOLA ZADOBARJE;ZADOBARJE;304;140;140;134;6;92;32;6;3;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;073;BIRAÈKO MJESTO BR. 73;PROSTORIJE MO GORNJE STATIVE;GORNJE STATIVE 1 A;357;174;173;171;2;130;30;6;3;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;074;BIRAÈKO MJESTO BR. 74;"OSNOVNA ŠKOLA ""BRAÆE SELJAN""";DOMOBRANSKA 2;567;240;239;230;9;77;108;32;9;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;075;BIRAÈKO MJESTO BR. 75;"OSNOVNA ŠKOLA ""BRAÆA SELJAN""";DOMOBRANSKA 2;865;359;359;350;9;143;142;44;13;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;076;BIRAÈKO MJESTO BR. 76;PROSTORIJE GÈ ZVIJEZDA;GUNDULIÆEVA 8;462;204;204;198;6;90;70;34;4;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;077;BIRAÈKO MJESTO BR. 77;OSNOVNA ŠKOLA BANIJA;DR.GAJE PETROVIÆA 5;418;168;168;163;5;68;60;23;8;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;078;BIRAÈKO MJESTO BR. 78;PROSTORIJE GÈ BANIJA;A.STARÈEVIÆA 20;324;152;152;143;9;58;59;18;5;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;079;BIRAÈKO MJESTO BR. 79;OSNOVNA ŠKOLA BANIJA;DR.GAJE PETROVIÆA 5;633;247;246;230;16;117;76;20;11;6
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;080;BIRAÈKO MJESTO BR. 80;PROSTORIJE GÈ BANIJA;A.STARÈEVIÆA 20;444;153;153;146;7;51;64;15;6;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;081;BIRAÈKO MJESTO BR. 81;OSNOVNA ŠKOLA BANIJA (PREDVORJE LIJEVO);DR.GAJE PETROVIÆA 5;355;121;121;117;4;53;40;13;8;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;082;BIRAÈKO MJESTO BR. 82;PRIVATNA KUÆA NIKOLE I MIRE ŠKRGIÆ;BANIJA 99;284;151;151;148;3;87;38;15;7;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;083;BIRAÈKO MJESTO BR. 83;ŠERIF EXPORT-IMPORT D.O.O.;ZAGREBAÈKA 19;242;74;74;69;5;29;29;10;1;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;084;BIRAÈKO MJESTO BR.84;GRADSKA ÈETVRT DREŽNIK;DUBROVAÈKA 5 B;818;343;343;323;20;149;97;55;15;7
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;085;BIRAÈKO MJESTO BR.85;PROSTORIJE GÈ DREŽNIK;DUBROVAÈKA 5 B;328;128;128;122;6;61;40;11;6;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;086;BIRAÈKO MJESTO BR. 86;OSNOVNA ŠKOLA HRNETIÆ;HRNETIÆ 20;569;248;248;235;13;118;86;16;9;6
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;087;BIRAÈKO MJESTO BR.87;PROSTORIJE MO DONJE POKUPJE;DONJE POKUPJE 72;440;268;268;255;13;146;57;27;16;9
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;088;BIRAÈKO MJESTO BR 88;PROSTORIJE MO MAHIÈNO-TUŠKANI;MAHIÈNO 92;405;143;143;138;5;75;49;11;3;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;089;BIRAÈKO MJESTO BR 89;OSNOVNA ŠKOLA MAHIÈNO;MAHIÈNO 1 C;244;90;90;84;6;50;23;9;2;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;090;BIRAÈKO MJESTO 90;VATROGASNI DOM DVD PRISELCI;PRISELCI 43 A;86;39;39;39;0;30;5;2;2;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;091;BIRAÈKO MJESTO BR 91;OSNOVNA ŠKOLA GORŠÆAKI;GORŠÆAKI 10;210;89;89;84;5;63;14;1;5;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;092;BIRAÈKO MJESTO BR.92;VATROGASNI DOM DVD TUŠKANI;TUŠKANI 11;264;104;104;101;3;70;13;11;3;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;093;BIRAÈKO MJESTO BR 93;PROSTORIJE MO KNEZ GORICA;KNEZ GORICA 40 A;106;76;76;76;0;69;4;0;2;1
