Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA UMIROVLJENICI ZAJEDNO - AUZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;011;BIRAČKO MJESTO BR. 11;KUĆA PROTULIPAC VIDE;PETRAKOVO BRDO 22B;118;66;66;64;2;3;19;5;33;4
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;012;BIRAČKO MJESTO BR. 12;PROSTORIJE SPORTSKOG DRUŠTVA BRODAC;GORNJE MRZLO POLJE MREŽNIČKO 101 C;531;239;239;228;11;14;65;17;103;29
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;013;BIRAČKO MJESTO BR. 13;PROSTORIJE MO VAROŠ;RADIĆEVA ULICA BB;799;361;361;353;8;12;99;13;201;28
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;014;BIRAČKO MJESTO BR. 14;PROSTORIJE MO BELAJSKA VINICA;BELAJSKA VINICA BB;232;121;121;119;2;12;41;12;51;3
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;015;BIRAČKO MJESTO BR. 15;PROSTORIJE BIVŠE EKONOMIJE;MREŽNIČKI BRIG 51;283;136;136;133;3;5;26;38;56;8
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;016;BIRAČKO MJESTO BR. 16;MONTAŽNI OBJEKT PORED KUĆE MIJE MIHALIĆA;MIHALIĆ SELO 15;111;49;49;47;2;1;18;8;17;3
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;017;BIRAČKO MJESTO BR. 17;PROSTOR MO SVETA JELENA;MREŽNIČKI NOVAKI BB;148;78;78;75;3;5;40;7;20;3
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;018;BIRAČKO MJESTO BR. 18;PROSTORIJE PODRUČNE ŠKOLE BELAVIĆI;BELAVIĆI;476;233;233;230;3;9;63;22;124;12
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;019;BIRAČKO MJESTO BR. 19;DRUŠTVENI DOM DVORJANCI;DVORJANCI BB;174;92;92;92;0;9;23;7;50;3
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;020;BIRAČKO MJESTO BR. 20;PODRUČNA ŠKOLA ZVEČAJ;ZVEČAJ 78;248;125;125;123;2;7;59;8;35;14
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;021;BIRAČKO MJESTO BR. 21;ŠKOLA DONJI ZVEČAJ;DONJI ZVEČAJ 8;144;83;83;79;4;1;29;8;24;17
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;022;BIRAČKO MJESTO BR. 22;KUĆA MALOVIĆ IVICE;MREŽNIČKI VENAC 17;113;62;62;59;3;3;27;2;20;7
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;023;BIRAČKO MJESTO BR. 23;KUĆA MIJE KAPELIĆA;GRŠĆAKI 1;64;29;29;28;1;0;4;7;17;0
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;024;BIRAČKO MJESTO BR. 24;"KLUB ŠPORTSKIH RIBOLOVACA ""MREŽNICA""";SVETI PETAR MREŽNIČKI 28A;329;156;156;142;14;10;48;14;63;7
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;025;BIRAČKO MJESTO BR. 25;PROSTORIJE MO LIŠNICA;LIŠNICA BB;149;89;89;84;5;3;36;4;34;7
