Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA UMIROVLJENICI ZAJEDNO - AUZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA STRANKA PRAVA - HSP;MOŽEMO! - POLITIČKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;PROBUDI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, NARODNA STRANKA - REFORMISTI - REFORMISTI;ŽIVI ZID
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;054;BIRAČKO MJESTO BR. 54;PROSTORIJE MO CEROVAC VUKMANIĆKI;CEROVAC VUKMANIĆKI 58;822;262;262;251;11;13;20;159;5;14;14;0;14;12
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;055;BIRAČKO MJESTO BR. 55;PROSTORIJE MO VUKMANIĆ;VUKMANIĆ 88;188;124;124;115;9;8;8;77;1;1;1;1;4;14
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;056;BIRAČKO MJESTO BR. 56;PROSTORIJE MO  POPOVIĆ BRDO;POPOVIĆ BRDO 30 B;239;115;115;111;4;4;0;80;1;0;6;1;10;9
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;057;BIRAČKO MJESTO BR. 57;PROSTORIJE MO POPOVIĆ BRDO;POPOVIĆ BRDO 30 B;128;26;26;25;1;1;2;6;2;0;0;0;10;4
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;058;BIRAČKO MJESTO BR. 58;PROSTORIJE MO KABLAR;KABLAR 12;153;89;89;86;3;0;8;68;0;3;0;0;7;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;059;BIRAČKO MJESTO BR. 59;PRIVATNA KUĆA ANDRIJE KLOBUČARA;SLUNJSKA SELNICA 51;62;53;53;53;0;1;4;38;0;0;3;1;4;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;060;BIRAČKO MJESTO BR. 60;PRIVATNA KUĆA ŽELJKA BABURIĆA;BANSKA SELNICA 53;76;58;58;58;0;1;1;53;0;0;2;1;0;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;061;BIRAČKO MJESTO BR. 61;PROSTORIJE OSNOVNE ŠKOLE SKAKAVAC;SKAKAVAC 44;248;99;99;96;3;1;2;67;0;4;4;1;17;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;062;BIRAČKO MJESTO BR. 62;PRIVATNA KUĆA MATE JOHA;SLUNJSKI MORAVCI  3;66;38;38;34;4;1;4;25;0;0;1;0;3;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;063;BIRAČKO MJESTO BR. 63;PROSTORIJE MO SJENIČAK-UTINJA;GORNJI SJENIČAK 260;218;30;30;29;1;2;0;11;0;0;4;0;5;7
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;064;BIRAČKO MJESTO BR. 64;TRGOVINA TIBICEN;UTINJA 3 A;113;35;35;35;0;4;0;19;1;2;2;0;2;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;065;BIRAČKO MJESTO BR. 65;STARA ŠKOLA DUBOVAC;DUBOVAC 8;353;127;127;123;4;22;10;38;3;6;19;3;21;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;066;BIRAČKO MJESTO BR. 66;PROSTORIJE GČ DUBOVAC;DUBOVAC 11;809;350;350;338;12;31;30;88;6;6;60;15;99;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;067;BIRAČKO MJESTO BR. 67;OSNOVNA ŠKOLA DUBOVAC;PRIMORSKA 9;593;213;213;203;10;19;21;49;3;4;44;9;51;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;068;BIRAČKO MJESTO BR. 68;PROSTORIJE MJESNOG ODBORA, BORLIN;V.BOGOVIĆA 17;1308;587;587;567;20;26;74;221;18;14;66;7;124;17
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;069;BIRAČKO MJESTO BR. 69;PROSTORIJE MO ZAGRAD-KALVARIJA-VUČJAK;KALVARIJA 7 B;664;260;260;255;5;10;33;106;4;3;43;3;46;7
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;070;BIRAČKO MJESTO BR. 70;PROSTORIJE MO VELIKA JELSA;DONJA JELSA 186;1406;515;515;495;20;18;60;194;11;12;72;7;95;26
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;071;BIRAČKO MJESTO BR. 71;PROSTORIJE MO MALA JELSA;MALA JELSA 9 A;294;149;149;146;3;11;15;67;4;4;12;2;29;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;072;BIRAČKO MJESTO BR. 72;OSNOVNA ŠKOLA ZADOBARJE;ZADOBARJE;304;140;140;136;4;5;9;79;3;2;10;0;25;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;073;BIRAČKO MJESTO BR. 73;PROSTORIJE MO GORNJE STATIVE;GORNJE STATIVE 1 A;357;174;174;172;2;3;11;120;3;3;15;0;16;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;074;BIRAČKO MJESTO BR. 74;"OSNOVNA ŠKOLA ""BRAĆE SELJAN""";DOMOBRANSKA 2;567;241;240;232;8;14;23;52;2;6;56;6;68;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;075;BIRAČKO MJESTO BR. 75;"OSNOVNA ŠKOLA ""BRAĆA SELJAN""";DOMOBRANSKA 2;865;353;353;343;10;17;26;112;7;8;67;17;80;9
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;076;BIRAČKO MJESTO BR. 76;PROSTORIJE GČ ZVIJEZDA;GUNDULIĆEVA 8;462;204;204;201;3;14;16;67;3;0;62;3;31;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;077;BIRAČKO MJESTO BR. 77;OSNOVNA ŠKOLA BANIJA;DR.GAJE PETROVIĆA 5;418;168;168;162;6;11;18;59;3;2;32;3;31;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;078;BIRAČKO MJESTO BR. 78;PROSTORIJE GČ BANIJA;A.STARČEVIĆA 20;324;152;152;146;6;18;16;39;5;5;36;3;22;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;079;BIRAČKO MJESTO BR. 79;OSNOVNA ŠKOLA BANIJA;DR.GAJE PETROVIĆA 5;633;247;246;237;9;22;33;77;4;5;23;11;59;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;080;BIRAČKO MJESTO BR. 80;PROSTORIJE GČ BANIJA;A.STARČEVIĆA 20;444;153;153;150;3;17;19;36;3;5;25;6;34;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;081;BIRAČKO MJESTO BR. 81;OSNOVNA ŠKOLA BANIJA (PREDVORJE LIJEVO);DR.GAJE PETROVIĆA 5;355;121;121;118;3;17;17;36;1;3;17;2;22;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;082;BIRAČKO MJESTO BR. 82;PRIVATNA KUĆA NIKOLE I MIRE ŠKRGIĆ;BANIJA 99;284;151;151;148;3;8;15;61;6;4;20;1;31;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;083;BIRAČKO MJESTO BR. 83;ŠERIF EXPORT-IMPORT D.O.O.;ZAGREBAČKA 19;242;74;74;70;4;7;6;24;0;3;12;2;16;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;084;BIRAČKO MJESTO BR.84;GRADSKA ČETVRT DREŽNIK;DUBROVAČKA 5 B;818;343;343;326;17;25;53;94;8;6;68;9;58;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;085;BIRAČKO MJESTO BR.85;PROSTORIJE GČ DREŽNIK;DUBROVAČKA 5 B;328;128;128;125;3;14;21;37;0;3;21;2;19;8
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;086;BIRAČKO MJESTO BR. 86;OSNOVNA ŠKOLA HRNETIĆ;HRNETIĆ 20;569;248;248;233;15;12;22;92;4;7;32;4;56;4
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;087;BIRAČKO MJESTO BR.87;PROSTORIJE MO DONJE POKUPJE;DONJE POKUPJE 72;440;268;268;253;15;11;43;110;7;3;42;8;23;6
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;088;BIRAČKO MJESTO BR 88;PROSTORIJE MO MAHIČNO-TUŠKANI;MAHIČNO 92;405;143;143;139;4;6;20;53;2;2;24;2;27;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;089;BIRAČKO MJESTO BR 89;OSNOVNA ŠKOLA MAHIČNO;MAHIČNO 1 C;244;90;90;85;5;7;8;43;1;3;8;1;14;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;090;BIRAČKO MJESTO 90;VATROGASNI DOM DVD PRISELCI;PRISELCI 43 A;86;39;39;37;2;2;1;24;2;0;2;0;6;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;091;BIRAČKO MJESTO BR 91;OSNOVNA ŠKOLA GORŠĆAKI;GORŠĆAKI 10;210;89;89;87;2;3;11;46;2;3;2;7;11;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;092;BIRAČKO MJESTO BR.92;VATROGASNI DOM DVD TUŠKANI;TUŠKANI 11;264;104;104;98;6;8;14;52;0;3;13;0;6;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;093;BIRAČKO MJESTO BR 93;PROSTORIJE MO KNEZ GORICA;KNEZ GORICA 40 A;106;76;76;76;0;5;4;60;0;1;4;0;1;1
