Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA UMIROVLJENICI ZAJEDNO - AUZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA STRANKA PRAVA - HSP;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS;ŽIVI ZID
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;025;BIRAÈKO MJESTO BR. 25;PROSTORIJE MO LIŠNICA;LIŠNICA BB;149;89;89;84;5;4;10;41;6;1;1;2;16;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;001;BIRAÈKO MJESTO BR. 1;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;550;236;236;226;10;8;25;73;8;6;38;13;47;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;002;BIRAÈKO MJESTO BR. 2;"GRADSKA KNJIŽNICA ""I.G.KOVAÈIÆ""";LJ. ŠESTIÆA 1;1467;657;657;633;24;31;47;180;29;8;131;20;171;16
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;003;BIRAÈKO MJESTO BR. 3;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;585;265;265;257;8;16;14;82;7;3;44;12;70;9
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;004;BIRAÈKO MJESTO BR. 4;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;742;299;299;293;6;20;23;97;8;1;59;4;73;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;005;BIRAÈKO MJESTO BR. 5;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;1525;698;696;666;30;32;48;222;29;10;109;8;182;26
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;006;BIRAÈKO MJESTO BR. 6;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1209;535;535;521;14;31;34;144;27;13;104;17;136;15
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;007;BIRAÈKO MJESTO BR. 7;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1139;475;475;456;19;24;34;150;22;8;85;12;110;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;008;BIRAÈKO MJESTO BR. 8;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1378;566;566;556;10;16;44;217;20;10;127;14;97;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;009;BIRAÈKO MJESTO BR. 9;GRADSKA ÈETVRT ZVIJEZDA;BANJAVÈIÆEVA 8 (ÈITAONICA);397;163;163;156;7;11;12;53;8;2;30;4;32;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;010;BIRAÈKO MJESTO BR 10;EKONOMSKA ŠKOLA KARLOVAC;KURELÈEVA 2;417;183;183;178;5;15;10;50;5;2;58;1;33;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;011;BIRAÈKO MJESTO BR. 11;PROSTORIJE TVRTKI VODOVOD I KANALIZACIJA D.O.O I ÈISTOÆA D.O.O.;GAŽANSKI TRG 8 (U PRIZEMLJU);356;123;123;122;1;9;3;38;5;0;28;2;32;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;012;BIRAÈKO MJESTO BR. 12;PROSTORIJE G.È. GAZA;GAŽANSKI TRG 11;846;334;334;317;17;11;33;104;12;8;50;12;84;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;013;BIRAÈKO MJESTO BR. 13;PROSTORIJE PRIRODOSLOVNE ŠKOLE KARLOVAC;STJEPANA MIHALIÆA 43;454;171;171;160;11;15;14;62;4;4;13;7;37;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;014;BIRAÈKO MJESTO BR. 14;PROSTORIJE MJESNOG ODBORA GRADAC;GRADAC 31;349;153;153;147;6;4;26;71;8;2;10;1;23;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;015;BIRAÈKO MJESTO BR. 15;PROSTORIJE MJESNOG ODBORA ORLOVAC;REÈIÈKA 55;716;298;297;285;12;17;22;191;19;2;10;1;19;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;016;BIRAÈKO MJESTO BR. 16;DRUŠTVENI DOM HUSJE;HUSJE 29 B;148;97;97;95;2;3;16;65;2;2;4;0;1;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;017;BIRAÈKO MJESTO BR. 17;VATROGASNI DOM DVD POKUPSKI KOBILIÆ;KOBILIÆ POKUPSKI 29 A;35;22;22;21;1;1;2;9;1;0;0;0;7;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;018;BIRAÈKO MJESTO BR. 18;PROSTORIJE MO POKUPSKA DOLINA;DONJE MEKUŠJE 33 A;176;119;119;115;4;9;8;75;2;3;9;0;7;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;019;BIRAÈKO MJESTO BR. 19;PROSTORIJE DRUŠTVENOG DOMA VODOSTAJ;VODOSTAJ 42 C;227;120;120;119;1;5;5;78;5;3;4;0;17;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;020;BIRAÈKO MJESTO BR. 20;DRUŠTVENI DOM ÈURJACI;VODOSTAJ 140 B;51;24;24;23;1;0;1;9;1;0;0;0;12;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;021;BIRAÈKO MJESTO BR. 21;PROSTORIJE MO REÈICA;POKUPSKA LUKA  9;313;101;101;100;1;2;15;52;8;3;7;0;8;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;022;BIRAÈKO MJESTO BR. 22;DRUŠTVENI DOM KARASI;KARASI 13 A;53;37;37;34;3;2;4;22;0;0;1;0;3;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;023;BIRAÈKO MJESTO BR. 23;"PROSTORIJE ""ZUK"" ZAMRŠJE";ZAMRŠJE 30 B;144;75;75;74;1;2;10;44;4;0;4;0;10;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;024;BIRAÈKO MJESTO BR. 24;PROSTORIJE ZDRAVSTVENE AMB.REÈICA;REÈICA 47 B;271;168;168;161;7;1;14;120;13;3;1;1;8;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;025;BIRAÈKO MJESTO BR. 25;VATROGASNI DOM DVD DONJA REÈICA;REÈICA 166;164;92;92;88;4;1;6;65;5;3;2;0;3;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;026;BIRAÈKO MJESTO BR. 26;VATROGASNI DOM DVD KORITINJA;KORITINJA 23 A;131;70;70;66;4;1;6;48;4;0;3;0;3;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;027;BIRAÈKO MJESTO BR. 27;PROSTORIJE MO ŠIŠLJAVIÆ;ŠIŠLJAVIÆ 67;407;186;186;178;8;2;17;134;4;4;3;0;12;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;028;BIRAÈKO MJESTO BR. 28;DRUŠTVENI DOM RIBARI;RIBARI 29 A;123;106;106;104;2;2;3;93;3;0;1;0;2;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;029;BIRAÈKO MJESTO BR. 29;VATROGASNI DOM DVD BROÐANI;BROÐANI 38 A;30;21;21;21;0;0;3;18;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;030;BIRAÈKO MJESTO BR. 30;"LOVAÈKI DOM ""LISICA""";BREŽANI 9 A;101;71;71;70;1;0;7;55;0;4;1;1;2;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;031;BIRAÈKO MJESTO BR. 31;GIMNAZIJA KARLOVAC;RAKOVAC 4;1185;449;449;437;12;18;37;152;19;8;95;9;88;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;032;BIRAÈKO MJESTO BR. 32;EKONOMSKA ŠKOLA KARLOVAC;KURELÈEVA 2;231;103;103;99;4;5;7;13;6;0;30;2;33;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;033;BIRAÈKO MJESTO BR. 33;PROSTORIJE GRADSKE ÈETVRTI RAKOVAC;DOMOBRANSKA 20 C;1230;578;577;553;24;15;47;186;18;9;130;10;124;14
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;034;BIRAÈKO MJESTO BR. 34;GIMNAZIJA KARLOVAC;RAKOVAC 4;506;207;207;200;7;5;18;51;7;8;48;4;55;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;035;BIRAÈKO MJESTO BR. 35;PROSTORIJE MO LOGORIŠTE;LOGORIŠTE 38;320;154;154;152;2;9;13;70;7;1;23;0;26;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;036;BIRAÈKO MJESTO BR. 36;PROSTORIJE MO MALA ŠVARÈA;MALA ŠVARÈA 84;691;290;290;283;7;7;32;122;13;9;37;0;51;12
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;037;BIRAÈKO MJESTO BR. 37;PROSTORIJE GÈ ŠVARÈA;TRG SV.FRANJE KSAVERSKOG 2;915;394;394;382;12;18;27;158;26;5;59;2;75;12
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;038;BIRAÈKO MJESTO BR. 38;PROSTORIJE GÈ ŠVARÈA;TRG SV.FRANJE KSAVERSKOG 2;1815;657;655;636;19;23;70;232;24;13;117;10;131;16
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;039;BIRAÈKO MJESTO BR. 39;PROSTORIJE GÈ LUŠÈIÆ-JAMADOL;MEDOVIÆEVA 5 C;1075;474;474;458;16;14;25;151;29;1;105;5;112;16
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;040;BIRAÈKO MJESTO BR. 40;PROSTORIJE GÈ LUŠÈIÆ-JAMADOL;MEDOVIÆEVA 5 C;1178;484;484;463;21;22;48;141;23;10;76;14;107;22
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;041;BIRAÈKO MJESTO BR. 41;ŠPORTSKA STRELJANA;JAMADOLSKA 2 A;844;389;389;374;15;9;32;145;28;8;58;5;84;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;042;BIRAÈKO MJESTO BR. 42;MO LADVENJAK-DOM SELIŠÆE;LADVENJAK 56 B;163;72;72;72;0;2;9;41;5;2;5;2;6;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;043;BIRAÈKO MJESTO BR. 43;DRUŠTVENI DOM LADVENJAK;LADVENJAK 101 B;177;52;52;52;0;1;8;26;7;0;2;0;7;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;044;BIRAÈKO MJESTO BR. 44;OSNOVNA ŠKOLA TUŠILOVIÆ;TUŠILOVIÆ 58;788;246;246;233;13;6;17;138;9;2;11;32;11;7
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;045;BIRAÈKO MJESTO BR. 45;PROSTORIJE GRADSKE ÈETVRTI MOSTANJE;MOSTANJE 94;515;212;212;208;4;6;17;71;6;5;42;0;54;7
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;046;BIRAÈKO MJESTO BR. 46;PROSTORIJE GRADSKE ÈETVRTI MOSTANJE-KUD-A MOSTANJE;MOSTANJE 94;555;244;244;226;18;15;20;109;13;2;31;4;29;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;047;BIRAÈKO MJESTO BR. 47;PRIVATNA KUÆA ŽELJKA STAVLJENIÆA;JELAŠI 74;356;145;145;142;3;6;24;61;4;5;24;1;11;6
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;048;BIRAÈKO MJESTO BR. 48;DRUŠTVENI DOM TURANJSKI GOLJAKI;TURANJSKI GOLJAKI;262;108;108;105;3;3;13;58;4;1;12;0;8;6
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;049;BIRAÈKO MJESTO BR. 49;DRUŠTVENI DOM ZASTINJA;ZASTINJA 11;125;77;77;76;1;2;6;58;4;1;0;0;4;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;050;BIRAÈKO MJESTO BR. 50;PROSTORIJE GÈ TURANJ;BRAÆE GOJAK 4;1179;441;441;432;9;16;58;168;32;7;52;4;76;19
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;051;BIRAÈKO MJESTO BR. 51;PROSTORIJE GÈ TURANJ,PROSTORIJA SAJEVAC;BRAÆE GOJAK 111;483;138;138;133;5;5;15;66;11;2;14;1;14;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;052;BIRAÈKO MJESTO BR. 52;PROSTORIJE MO KAMENSKO;KAMENSKO 73 B;411;195;194;189;5;8;24;88;24;7;7;1;22;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;053;BIRAÈKO MJESTO BR. 53;PROSTORIJE MO GORNJE MEKUŠJE;MEKUŠANSKA CESTA 63;417;181;181;173;8;12;20;75;7;3;19;4;25;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;054;BIRAÈKO MJESTO BR. 54;PROSTORIJE MO CEROVAC VUKMANIÆKI;CEROVAC VUKMANIÆKI 58;822;262;262;253;9;8;21;165;11;8;13;4;13;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;055;BIRAÈKO MJESTO BR. 55;PROSTORIJE MO VUKMANIÆ;VUKMANIÆ 88;188;124;124;115;9;6;9;80;2;2;2;0;3;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;056;BIRAÈKO MJESTO BR. 56;PROSTORIJE MO  POPOVIÆ BRDO;POPOVIÆ BRDO 30 B;239;115;115;110;5;3;1;78;2;1;3;14;4;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;057;BIRAÈKO MJESTO BR. 57;PROSTORIJE MO POPOVIÆ BRDO;POPOVIÆ BRDO 30 B;128;26;26;24;2;1;2;5;2;0;0;4;9;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;058;BIRAÈKO MJESTO BR. 58;PROSTORIJE MO KABLAR;KABLAR 12;153;89;89;86;3;0;8;68;0;2;0;0;8;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;059;BIRAÈKO MJESTO BR. 59;PRIVATNA KUÆA ANDRIJE KLOBUÈARA;SLUNJSKA SELNICA 51;62;53;53;53;0;0;4;37;0;1;4;0;4;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;060;BIRAÈKO MJESTO BR. 60;PRIVATNA KUÆA ŽELJKA BABURIÆA;BANSKA SELNICA 53;76;58;58;58;0;1;1;52;0;0;3;0;1;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;061;BIRAÈKO MJESTO BR. 61;PROSTORIJE OSNOVNE ŠKOLE SKAKAVAC;SKAKAVAC 44;248;99;99;95;4;1;3;66;0;3;3;1;17;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;062;BIRAÈKO MJESTO BR. 62;PRIVATNA KUÆA MATE JOHA;SLUNJSKI MORAVCI  3;66;38;38;32;6;0;4;22;0;0;0;2;4;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;063;BIRAÈKO MJESTO BR. 63;PROSTORIJE MO SJENIÈAK-UTINJA;GORNJI SJENIÈAK 260;218;30;30;30;0;1;0;7;2;1;1;14;2;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;064;BIRAÈKO MJESTO BR. 64;TRGOVINA TIBICEN;UTINJA 3 A;113;33;33;32;1;4;0;9;15;0;1;3;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;065;BIRAÈKO MJESTO BR. 65;STARA ŠKOLA DUBOVAC;DUBOVAC 8;353;127;127;126;1;24;12;41;7;6;19;1;15;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;066;BIRAÈKO MJESTO BR. 66;PROSTORIJE GÈ DUBOVAC;DUBOVAC 11;809;350;349;337;12;26;35;104;25;5;52;2;84;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;067;BIRAÈKO MJESTO BR. 67;OSNOVNA ŠKOLA DUBOVAC;PRIMORSKA 9;593;213;213;204;9;15;16;64;5;5;43;9;44;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;068;BIRAÈKO MJESTO BR. 68;PROSTORIJE MJESNOG ODBORA, BORLIN;V.BOGOVIÆA 17;1308;587;587;563;24;18;63;237;39;17;49;1;123;16
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;069;BIRAÈKO MJESTO BR. 69;PROSTORIJE MO ZAGRAD-KALVARIJA-VUÈJAK;KALVARIJA 7 B;664;260;260;254;6;6;29;110;19;2;38;2;37;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;070;BIRAÈKO MJESTO BR. 70;PROSTORIJE MO VELIKA JELSA;DONJA JELSA 186;1406;515;514;496;18;22;75;202;20;11;56;0;80;30
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;071;BIRAÈKO MJESTO BR. 71;PROSTORIJE MO MALA JELSA;MALA JELSA 9 A;294;149;149;146;3;7;16;74;5;0;10;1;28;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;072;BIRAÈKO MJESTO BR. 72;OSNOVNA ŠKOLA ZADOBARJE;ZADOBARJE;304;140;140;135;5;2;10;74;10;1;6;1;29;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;073;BIRAÈKO MJESTO BR. 73;PROSTORIJE MO GORNJE STATIVE;GORNJE STATIVE 1 A;357;174;174;172;2;2;5;118;8;2;14;0;20;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;074;BIRAÈKO MJESTO BR. 74;"OSNOVNA ŠKOLA ""BRAÆE SELJAN""";DOMOBRANSKA 2;567;240;239;230;9;16;22;60;13;5;51;5;57;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;075;BIRAÈKO MJESTO BR. 75;"OSNOVNA ŠKOLA ""BRAÆA SELJAN""";DOMOBRANSKA 2;865;352;352;337;15;19;20;128;14;5;69;6;67;9
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;076;BIRAÈKO MJESTO BR. 76;PROSTORIJE GÈ ZVIJEZDA;GUNDULIÆEVA 8;462;204;204;202;2;13;15;75;7;1;52;2;32;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;077;BIRAÈKO MJESTO BR. 77;OSNOVNA ŠKOLA BANIJA;DR.GAJE PETROVIÆA 5;418;168;167;158;9;8;19;57;3;3;30;6;30;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;078;BIRAÈKO MJESTO BR. 78;PROSTORIJE GÈ BANIJA;A.STARÈEVIÆA 20;324;152;152;144;8;16;17;42;7;5;31;5;17;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;079;BIRAÈKO MJESTO BR. 79;OSNOVNA ŠKOLA BANIJA;DR.GAJE PETROVIÆA 5;633;247;246;236;10;21;31;82;9;8;24;5;51;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;080;BIRAÈKO MJESTO BR. 80;PROSTORIJE GÈ BANIJA;A.STARÈEVIÆA 20;444;153;153;149;4;12;20;36;12;5;23;7;29;5
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;081;BIRAÈKO MJESTO BR. 81;OSNOVNA ŠKOLA BANIJA (PREDVORJE LIJEVO);DR.GAJE PETROVIÆA 5;355;121;121;117;4;8;18;43;2;2;15;1;24;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;082;BIRAÈKO MJESTO BR. 82;PRIVATNA KUÆA NIKOLE I MIRE ŠKRGIÆ;BANIJA 99;284;151;151;147;4;9;14;60;7;1;24;1;27;4
